date,Open,High,Low,Close,Volume
2015-03-09,0.822,0.822,0.7627,0.8553,1277095.0
2015-03-06,0.931,0.9858,0.8982,0.8896,2062006.0
2015-03-05,0.8505,0.865,0.8308,0.8676,1033136.0
2015-03-04,0.8837,0.9141,0.8735,0.8768,1469488.0
2015-03-03,0.798,0.8066,0.7294,0.8615,3057842.0
2015-03-02,0.9334,0.9839,0.9213,0.9292,1751927.0
2015-02-27,0.9709,0.9803,0.9049,1.0,1864583.0
2015-02-26,1.0881,1.1495,1.0494,1.03,2995111.0
2015-02-25,0.9256,0.93,0.8877,0.95,905110.0
2015-02-24,0.9376,0.9465,0.9084,0.9443,785763.0
2015-02-23,0.93,0.9702,0.9288,0.925,864012.0
2015-02-20,0.8914,0.9201,0.8553,0.92,1491773.0
2015-02-19,0.8861,0.8861,0.8082,0.946,1169329.0
2015-02-18,1.0552,1.1507,1.0433,0.98,1940156.0
2015-02-17,0.8486,0.8486,0.7956,0.9026,1896170.0
2015-02-13,0.9426,0.9804,0.9049,0.9709,2592000.0
2015-02-12,1.0908,1.2107,1.0704,0.9963,2800046.0
2015-02-11,0.8761,0.8761,0.8449,0.8845,1242193.0
2015-02-10,0.8473,0.8473,0.7884,0.8798,2434358.0
2015-02-09,0.8528,0.8618,0.8056,0.9001,2724764.0
2015-02-06,0.9102,0.9763,0.8806,0.9304,3379595.0
2015-02-05,1.1366,1.2303,1.116,1.05,2181176.0
2015-02-04,1.0137,1.0548,1.0021,0.987,2014374.0
2015-02-03,0.9304,0.9496,0.8633,0.95,2862097.0
2015-02-02,0.9416,0.9508,0.877,0.98,3159511.0
2015-01-30,0.9733,0.9733,0.9019,1.03,2851299.0
2015-01-29,1.0701,1.1007,1.0293,1.06,3455901.0
2015-01-28,0.9901,0.9901,0.8911,1.09,2751321.0
2015-01-27,1.2843,1.3632,1.2618,1.21,2708255.0
2015-01-26,1.1301,1.1403,1.069,1.12,3466597.0
2015-01-23,1.0665,1.0751,0.9547,1.15,3385499.0
2015-01-22,1.2119,1.2489,1.1564,1.26,2888093.0
2015-01-21,1.1901,1.1985,1.0058,1.3,5457750.0
2015-01-20,1.3601,1.3804,1.3195,1.35,7010837.0
2015-01-16,1.25,1.29,1.21,1.25,5836056.0
2015-01-15,1.1903,1.229,1.0936,1.21,4171521.0
2015-01-14,0.9505,0.9885,0.7908,1.09,3887479.0
2015-01-13,1.1429,1.1791,1.0068,1.2,5569058.0
2015-01-12,1.3487,1.6955,1.3487,1.19,6857601.0
2015-01-09,1.05,1.07,1.03,1.05,2182408.0
2015-01-08,1.0716,1.1474,1.0615,1.03,2951412.0
2015-01-07,0.9898,1.0798,0.95,0.9899,3868871.0
2015-01-06,1.0955,1.2414,1.071,0.993,4995927.0
2015-01-05,0.8619,0.8657,0.7986,0.9001,2067174.0
2015-01-02,0.9491,0.9982,0.9189,0.9087,1476962.0
2014-12-31,0.8504,0.86,0.823,0.87,2529453.0
2014-12-30,0.8462,0.8744,0.8204,0.8727,3286993.0
2014-12-29,0.7668,0.7668,0.6754,0.8602,2872781.0
2014-12-26,0.7841,0.808,0.7099,0.8631,2832554.0
2014-12-24,0.8873,0.923,0.8771,0.8786,1089924.0
2014-12-23,0.8128,0.8395,0.7586,0.8553,3242999.0
2014-12-22,0.7957,0.7957,0.7127,0.8556,3772133.0
2014-12-19,0.8138,0.8138,0.7199,0.92,12548464.0
2014-12-18,1.0925,1.1477,1.0833,1.04,4441069.0
2014-12-17,1.083,1.2297,1.0596,0.97,5028589.0
2014-12-16,0.8656,0.8864,0.7926,0.8476,4842746.0
2014-12-15,0.8539,0.9547,0.8539,0.7841,5303053.0
2014-12-12,0.6795,0.6795,0.6201,0.7373,4760659.0
2014-12-11,0.7135,0.7219,0.6471,0.7783,4361715.0
2014-12-10,0.7242,0.7538,0.632,0.83,7529590.0
2014-12-09,0.8664,0.901,0.7538,0.9308,23695916.0
2014-12-08,1.4001,1.4609,1.3189,1.39,3675954.0
2014-12-05,1.2868,1.3215,1.139,1.38,5788457.0
2014-12-04,1.4067,1.4222,1.2522,1.56,2864195.0
2014-12-03,1.71,1.8,1.69,1.71,2946223.0
2014-12-02,1.6501,1.7093,1.5908,1.66,3241127.0
2014-12-01,2.0499,2.6326,2.0499,1.73,5349721.0
2014-11-28,1.5011,1.702,1.4906,1.46,3137402.0
2014-11-26,1.5138,1.5592,1.4232,1.59,1973788.0
2014-11-25,1.6409,1.66,1.5741,1.68,2335901.0
2014-11-24,1.7201,1.7605,1.6594,1.71,1744284.0
2014-11-21,1.5538,1.5788,1.3953,1.7,4001906.0
2014-11-20,1.8426,2.0685,1.8426,1.69,4966127.0
2014-11-19,1.1624,1.1745,0.9068,1.49,11180604.0
2014-11-18,2.312,2.6203,2.2992,2.04,9144078.0
2014-11-17,2.0064,2.4539,2.0064,1.67,7121396.0
2014-11-14,1.618,1.9388,1.5343,1.37,4833066.0
2014-11-13,1.2743,1.3984,1.2743,1.2,2796747.0
2014-11-12,1.0821,1.1371,1.0088,1.13,4334400.0
2014-11-11,1.1608,1.2347,1.1503,1.13,2834496.0
2014-11-10,1.1415,1.3354,1.0877,1.1,5764602.0
2014-11-07,1.1855,1.4022,1.16,1.05,8004118.0
2014-11-06,0.7879,0.8133,0.7201,0.856,7447307.0
2014-11-05,0.7398,0.7398,0.6293,0.8601,8001251.0
2014-11-04,0.8047,0.8224,0.5992,1.05,10249591.0
2014-11-03,1.3801,1.4294,1.3406,1.39,4162555.0
2014-10-31,1.39,1.51,1.33,1.39,7655974.0
2014-10-30,1.4486,1.4486,1.2158,1.56,10143557.0
2014-10-29,1.2663,1.2722,0.96,1.65,12978988.0
2014-10-28,2.0936,2.1212,1.9183,2.18,3500714.0
2014-10-27,2.2307,2.2307,2.0858,2.27,2224772.0
2014-10-24,2.177,2.1859,2.0605,2.3,1320076.0
2014-10-23,2.41,2.4302,2.2689,2.4,2077886.0
2014-10-22,2.2726,2.282,2.1791,2.35,2388022.0
2014-10-21,2.3639,2.4285,2.2439,2.46,2139199.0
2014-10-20,2.5407,2.6233,2.4684,2.5,2384720.0
2014-10-17,2.187,2.187,1.9116,2.43,4054473.0
2014-10-16,2.7006,2.8346,2.6285,2.66,2497825.0
2014-10-15,2.61,2.7,2.56,2.61,2943986.0
2014-10-14,2.5414,2.5796,2.4649,2.6,1902317.0
2014-10-13,2.819,3.0773,2.8077,2.66,2604592.0
2014-10-10,2.3864,2.4949,2.2689,2.51,2492399.0
