date,Open,High,Low,Close,Volume
2010-05-12,44.5636,45.8746,44.5636,43.34,48400.0
2010-05-11,42.6973,43.5596,42.6973,42.14,50600.0
2010-05-10,41.71,42.1096,41.4203,41.73,139900.0
2010-05-07,40.2358,40.4506,39.2985,40.72,307000.0
2010-05-06,40.0311,40.3464,38.139,40.95,215700.0
2010-05-05,41.7705,42.0883,41.4528,41.92,201200.0
2010-05-04,42.2104,42.4921,41.8582,42.08,142600.0
2010-05-03,42.3502,42.4807,42.1293,42.26,182700.0
2010-04-30,41.8303,42.1387,41.7209,41.94,230500.0
2010-04-29,41.882,41.9017,41.3987,42.17,309500.0
2010-04-28,41.8465,41.9343,41.3101,42.37,478000.0
2010-04-27,42.4403,42.5995,42.3309,42.55,230300.0
2010-04-26,42.89,43.0001,42.8199,42.87,82600.0
2010-04-23,43.0604,43.2616,43.0101,42.93,298300.0
2010-04-22,43.1521,43.4564,43.1521,42.85,101500.0
2010-04-21,42.66,42.9406,42.63,42.62,96300.0
2010-04-20,42.5803,42.5803,42.3813,42.69,40200.0
2010-04-19,42.8502,42.9506,42.6795,42.76,40500.0
2010-04-16,42.6208,42.7695,42.3235,42.81,80200.0
2010-04-15,43.1403,43.4923,43.0901,43.02,40900.0
2010-04-14,43.1104,43.3921,43.0802,42.98,131700.0
2010-04-13,42.9001,43.9335,42.8299,42.83,95000.0
2010-04-12,42.88,43.0702,42.82,42.86,124200.0
2010-04-09,42.8,42.81,42.63,42.8,70200.0
2010-04-08,42.7901,42.8803,42.6998,42.74,89100.0
2010-04-07,42.8902,42.9906,42.7496,42.8,95500.0
2010-04-06,42.9003,43.0209,42.8902,42.79,109300.0
2010-04-05,42.8302,43.0913,42.79,42.74,199400.0
2010-04-01,42.7502,42.9311,42.7402,42.65,306700.0
2010-03-31,42.7207,42.9425,42.7207,42.55,89600.0
2010-03-30,42.7606,42.9218,42.7606,42.6,171200.0
2010-03-29,42.5202,42.6407,42.5202,42.43,101200.0
2010-03-26,42.3902,42.4906,42.34,42.3,44400.0
2010-03-25,42.1003,42.1003,41.9611,42.22,166200.0
2010-03-24,42.22,42.22,42.1602,42.26,82600.0
2010-03-23,42.3701,42.4704,42.34,42.3,51700.0
2010-03-22,42.4813,42.7947,42.4813,42.25,154300.0
2010-03-19,42.12,42.2198,42.0102,42.16,136400.0
2010-03-18,42.1201,42.13,41.9804,42.17,90600.0
2010-03-17,42.0102,42.1695,41.9305,42.09,74300.0
2010-03-16,42.0701,42.11,42.0002,42.12,51200.0
2010-03-15,42.1202,42.1202,41.9311,42.22,28300.0
2010-03-12,42.34,42.4903,42.31,42.3,287000.0
2010-03-11,42.571,42.7831,42.571,42.36,180600.0
2010-03-10,42.27,42.33,42.24,42.26,124800.0
2010-03-09,42.4907,42.6621,42.4907,42.32,38400.0
2010-03-08,42.1501,42.19,42.0403,42.2,131300.0
2010-03-05,42.3401,42.4103,42.29,42.27,319100.0
2010-03-04,41.8901,41.92,41.7305,41.95,62800.0
2010-03-03,42.01,42.12,41.95,42.01,80100.0
2010-03-02,42.2205,42.3614,42.1198,42.08,181600.0
2010-03-01,42.2817,42.5654,42.2817,42.01,204300.0
2010-02-26,42.1116,42.3749,42.0104,41.85,175500.0
2010-02-25,42.2394,42.8783,42.023,41.61,116300.0
2010-02-24,41.21,41.23,41.0403,41.24,48500.0
2010-02-23,41.23,41.4503,41.1799,41.2,300400.0
2010-02-22,41.3801,41.5404,41.37,41.33,88300.0
2010-02-19,41.4409,41.7739,41.4409,41.25,114700.0
2010-02-18,41.3505,41.5722,41.3505,41.2,33700.0
2010-02-17,41.3714,41.7053,41.2803,41.13,148700.0
2010-02-16,40.8301,40.9995,40.5311,40.9,504800.0
2010-02-12,41.1525,41.4776,41.0713,40.83,273900.0
2010-02-11,40.9913,41.2644,40.9913,40.76,351400.0
2010-02-10,40.66,40.9104,40.66,40.63,150200.0
2010-02-09,40.8301,41.0106,40.6696,40.77,372100.0
2010-02-08,40.2227,40.2817,39.8488,40.55,115400.0
2010-02-05,40.9001,41.0796,40.4312,40.95,238400.0
2010-02-04,40.6337,40.6337,40.251,41.02,277600.0
2010-02-03,41.6506,41.9227,41.6506,41.49,129000.0
2010-02-02,41.6119,42.0985,41.6119,41.33,197900.0
2010-02-01,41.03,41.1701,40.99,41.02,216500.0
2010-01-29,40.801,40.9198,40.5138,41.0,254800.0
2010-01-28,41.0504,41.1597,40.9014,41.18,168900.0
2010-01-27,41.4002,41.6212,41.4002,41.31,199900.0
2010-01-26,41.33,41.4602,41.2799,41.3,351600.0
2010-01-25,41.1605,41.2101,40.9618,41.3,539900.0
2010-01-22,41.4802,41.6508,41.3998,41.4,847700.0
2010-01-21,41.2701,41.5093,41.1605,41.34,856000.0
2010-01-20,41.7412,42.0343,41.7109,41.52,2354000.0
2010-01-19,41.2323,41.3308,40.6412,41.54,6042900.0
2010-01-15,31.44,31.5201,31.1096,31.42,78800.0
2010-01-14,31.2603,31.4292,31.0218,31.36,50400.0
2010-01-13,31.3913,31.3913,30.8877,31.59,53800.0
2010-01-12,31.2758,31.2758,30.7014,31.7,48200.0
2010-01-11,32.0121,32.0908,31.648,32.27,50400.0
2010-01-08,32.3118,32.4202,31.819,32.55,53200.0
2010-01-07,32.642,32.7503,32.3073,32.9,49500.0
2010-01-06,33.6744,34.4111,33.4493,33.29,48100.0
2010-01-05,33.4259,34.0526,33.3746,32.98,90000.0
2010-01-04,32.4109,32.6583,31.9655,32.58,123600.0
2009-12-31,32.953,34.0232,32.8001,32.64,115100.0
2009-12-30,32.0628,32.1806,31.4443,32.36,31200.0
2009-12-29,33.0415,33.4368,32.9199,32.82,61400.0
2009-12-28,33.4667,34.2408,33.4562,32.72,63700.0
2009-12-24,31.416,31.523,30.8322,31.85,29800.0
2009-12-23,31.9059,31.9059,31.3998,32.34,50000.0
2009-12-22,32.9012,33.4277,32.8709,32.7,62300.0
2009-12-21,33.0469,34.2823,33.016,32.57,50900.0
2009-12-18,31.9001,32.0706,30.8367,31.85,182900.0
2009-12-17,31.1738,31.3177,30.0995,31.83,76700.0
2009-12-16,31.9873,32.2784,31.4535,32.47,51800.0
2009-12-15,32.87,32.9799,32.6301,32.88,100300.0
2009-12-14,33.0502,33.1607,32.6985,32.97,70600.0
2009-12-11,32.6304,32.7595,32.3823,32.75,53600.0
2009-12-10,32.5606,32.7886,32.3623,32.7,42700.0
2009-12-09,32.63,32.9794,32.3505,32.66,72600.0
2009-12-08,32.8902,33.2321,32.5785,32.8,70500.0
