date,Open,High,Low,Close,Volume
2021-03-12,211.5676,214.5862,210.5546,209.15,1706591.0
2021-03-11,205.9305,208.0872,203.7437,205.61,1823608.0
2021-03-10,203.8288,204.5359,198.8861,206.64,1989983.0
2021-03-09,207.0733,208.5255,203.9239,209.72,2500182.0
2021-03-08,212.6188,214.799,208.8728,213.1254,2450968.0
2021-03-05,218.0202,224.9468,217.1752,213.0059,3186175.0
2021-03-04,206.3447,207.542,203.541,206.1354,2136842.0
2021-03-03,204.3348,206.7096,203.4833,204.9156,1406130.0
2021-03-02,203.531,204.0376,200.7932,205.757,1593382.0
2021-03-01,216.6989,226.9194,216.6882,208.8039,2418599.0
2021-02-26,192.6065,192.6158,185.4691,198.8467,2676775.0
2021-02-25,205.8649,210.5024,204.9922,203.9249,2380500.0
2021-02-24,200.7024,203.7806,199.7784,199.8424,1681992.0
2021-02-23,201.2215,205.6377,199.7083,197.9007,3454378.0
2021-02-22,196.1045,197.9998,193.5774,194.6347,2016397.0
2021-02-19,194.3361,195.8212,192.2628,194.2364,1432424.0
2021-02-18,197.1656,201.5124,196.8232,193.1611,1497254.0
2021-02-17,192.0514,194.5659,189.8177,190.3232,1511385.0
2021-02-16,193.0026,198.0182,190.818,188.6006,2677819.0
2021-02-12,185.0981,186.8493,184.339,183.5822,1441415.0
2021-02-11,178.9422,179.4527,173.0949,181.9293,2515077.0
2021-02-10,178.6965,179.697,170.7864,184.4086,2626336.0
2021-02-09,190.1296,192.6318,188.3859,191.1497,2018580.0
2021-02-08,189.7332,190.4511,187.0781,190.9207,2071079.0
2021-02-05,187.9211,188.2697,182.4362,190.5722,1741445.0
2021-02-04,193.2923,195.1958,192.5109,192.703,1394310.0
2021-02-03,189.9723,190.1493,187.3174,191.1696,1296762.0
2021-02-02,193.773,198.0586,193.5378,191.1895,1617250.0
2021-02-01,189.4694,193.8404,187.6903,186.6391,1582747.0
2021-01-29,181.9344,184.2392,179.056,180.9634,1829452.0
2021-01-28,183.6631,188.4859,182.9611,181.6903,1514571.0
2021-01-27,174.4356,175.4394,169.9043,178.026,2261347.0
2021-01-26,182.1137,182.8301,180.5463,182.9648,1248937.0
2021-01-25,184.2618,185.6962,182.6367,183.5822,1350742.0
2021-01-22,181.8015,182.2327,180.2138,183.2536,1135631.0
2021-01-21,182.2238,182.2238,178.9727,185.4043,1424347.0
2021-01-20,186.6104,187.0568,183.2912,189.0188,1217549.0
2021-01-19,190.3684,191.4818,188.2108,191.3787,1528190.0
2021-01-15,190.1676,191.1744,188.6672,191.0003,1376746.0
2021-01-14,189.3124,189.9665,185.0055,193.3104,1330025.0
2021-01-13,192.7039,195.1595,188.1355,197.1041,1973945.0
2021-01-12,202.8438,205.7039,202.111,200.629,1629540.0
2021-01-11,198.509,200.3189,197.0016,198.0899,1399217.0
2021-01-08,201.5504,205.5188,201.5504,198.8267,1867415.0
2021-01-07,199.5362,201.6202,197.2802,197.9605,2788805.0
2021-01-06,205.0329,219.9354,204.5249,192.5537,4452408.0
2021-01-05,177.8581,177.9868,175.7688,178.3546,1683179.0
2021-01-04,174.8286,174.8954,169.6582,178.5338,1437733.0
2020-12-31,184.8151,188.6032,184.3493,181.2721,1400106.0
2020-12-30,175.4162,175.7381,173.3875,177.2394,813394.0
2020-12-29,175.854,176.1841,173.4755,178.0957,872086.0
2020-12-28,180.8624,182.8008,180.4182,179.6192,945814.0
2020-12-24,178.3669,179.39,177.6849,177.7173,466097.0
2020-12-23,176.0056,177.8049,174.7931,177.0889,1290016.0
2020-12-22,176.9159,178.0347,175.7192,177.737,1001913.0
2020-12-21,178.6897,179.9789,176.81,178.4931,1831183.0
2020-12-18,179.4634,181.1979,176.2271,180.6633,3581305.0
2020-12-17,183.451,185.6354,182.5692,181.6059,1954227.0
2020-12-16,178.7194,180.4825,178.286,178.444,1223639.0
2020-12-15,180.9632,183.8621,180.1727,178.1199,1440825.0
2020-12-14,170.3577,170.8921,166.4482,174.3492,1382247.0
2020-12-11,175.9756,178.8869,174.4521,177.0201,2010585.0
2020-12-10,180.2174,182.5317,179.9492,179.1903,1831127.0
2020-12-09,177.2264,177.4187,173.9953,179.0921,1406984.0
2020-12-08,180.4887,182.6493,177.8672,179.2387,1545759.0
2020-12-07,181.6714,184.8212,181.2286,179.0432,1210984.0
2020-12-04,181.5412,184.299,180.9239,179.874,1323190.0
2020-12-03,177.9786,179.4803,176.0548,177.6064,1449830.0
2020-12-02,180.7136,184.784,180.6732,177.7726,1673761.0
2020-12-01,177.221,180.5245,176.0998,175.114,2354094.0
2020-11-30,172.5362,174.1169,171.9397,171.0773,1925468.0
2020-11-27,171.0483,172.6015,170.2153,170.8232,920999.0
2020-11-25,172.431,174.1435,169.9418,170.8427,1827985.0
2020-11-24,172.1721,176.0955,171.8181,169.2691,2072285.0
2020-11-23,165.0271,167.2865,164.049,164.9684,1752702.0
2020-11-20,164.6911,166.5562,163.2366,163.688,1282776.0
2020-11-19,162.7812,164.1203,161.0089,162.1828,972839.0
2020-11-18,159.5626,160.79,156.9988,162.0362,1225403.0
2020-11-17,165.6842,167.5136,164.501,164.2745,1372559.0
2020-11-16,165.1936,165.9875,162.8313,164.9587,1660281.0
2020-11-13,166.2286,171.489,165.9793,162.2121,1548834.0
2020-11-12,154.1757,154.973,149.5884,157.3739,1500088.0
2020-11-11,158.659,159.5021,154.7246,162.0655,1952056.0
2020-11-10,171.6983,178.9465,170.7234,164.9,3366032.0
2020-11-09,160.2918,165.8229,159.6938,158.7423,4198359.0
2020-11-06,146.0063,146.0256,143.5923,147.1892,1566148.0
2020-11-05,145.505,146.0409,143.5432,147.0524,2023652.0
2020-11-04,143.4151,145.1941,139.6542,147.1012,2485987.0
2020-11-03,148.7251,150.0701,147.1976,150.0139,1770506.0
2020-11-02,148.1406,149.8641,146.0492,148.841,2100671.0
2020-10-30,148.867,150.5837,147.5195,147.3163,1947888.0
2020-10-29,147.3395,150.637,145.0194,146.6028,2348095.0
2020-10-28,140.8883,141.6328,133.9429,146.1825,3241809.0
2020-10-27,155.1197,156.2813,154.2581,155.8687,1565838.0
2020-10-26,154.641,155.5232,150.6064,156.5431,1342060.0
2020-10-23,159.3524,159.8265,157.0011,160.1595,1061836.0
2020-10-22,158.3353,158.4217,156.3103,159.7881,1440604.0
2020-10-21,162.283,163.9838,161.358,160.873,2142133.0
2020-10-20,158.6775,159.7521,157.7112,159.4362,1956357.0
2020-10-19,154.4872,154.4872,149.4169,159.6513,1284716.0
2020-10-16,164.598,166.4838,162.7416,164.1963,1006380.0
2020-10-15,165.4555,167.7929,164.9739,163.3166,1339659.0
2020-10-14,161.7805,162.7821,160.3544,162.9354,1146511.0
2020-10-13,161.5854,162.7279,159.0051,163.7173,1263006.0
