date,Open,High,Low,Close,Volume
2021-03-12,46.8002,46.8898,46.0335,46.9,2176699.0
2021-03-11,46.4732,46.8863,45.9814,46.86,2487730.0
2021-03-10,49.0671,51.3777,48.9363,47.0,3388465.0
2021-03-09,44.3923,44.8162,43.9289,44.71,3973915.0
2021-03-08,44.4643,45.4155,43.9935,44.9,3485328.0
2021-03-05,45.3354,46.0152,43.8532,44.84,2853605.0
2021-03-04,42.6441,42.8805,40.7337,43.85,3530294.0
2021-03-03,45.1211,45.5172,44.6655,45.34,2842431.0
2021-03-02,45.2365,45.7052,44.6409,45.78,2935832.0
2021-03-01,46.7244,47.6626,46.6632,46.27,2553405.0
2021-02-26,45.0801,45.6384,44.2327,45.15,4856433.0
2021-02-25,43.9696,43.9696,42.4336,45.2298,2919828.0
2021-02-24,46.1971,46.853,46.0282,46.2768,3217034.0
2021-02-23,46.2171,46.5996,45.591,46.2967,6306042.0
2021-02-22,47.6693,48.9034,47.1777,46.546,4296994.0
2021-02-19,46.474,48.0454,46.4111,45.3395,3558446.0
2021-02-18,43.3763,43.5405,41.9565,44.0731,3106420.0
2021-02-17,44.8309,45.0053,44.0539,44.8509,1870947.0
2021-02-16,46.128,47.2052,46.1176,45.15,2532400.0
2021-02-12,45.0757,46.0124,45.0498,44.2426,1973643.0
2021-02-11,44.0011,44.8615,43.9192,43.415,3030170.0
2021-02-10,42.5017,42.5897,41.3086,42.9164,3233048.0
2021-02-09,43.0673,43.373,42.6137,43.3053,4501357.0
2021-02-08,43.1582,43.3547,42.5296,43.4848,2719501.0
2021-02-05,43.0098,43.2504,42.1145,43.774,3533277.0
2021-02-04,43.3608,44.8943,42.6874,42.5375,3403335.0
2021-02-03,42.0715,42.6894,41.76,41.7398,2668653.0
2021-02-02,41.5813,42.1656,41.3799,41.3709,2451351.0
2021-02-01,41.1696,42.1439,40.8824,40.5931,2761917.0
2021-01-29,39.6759,40.133,39.1294,39.7456,3686822.0
2021-01-28,41.2388,42.6887,41.1232,40.1743,4019079.0
2021-01-27,38.4398,38.4794,36.1728,38.5789,5413581.0
2021-01-26,37.3694,37.5851,35.4646,39.3667,3252156.0
2021-01-25,40.8256,41.0118,39.287,41.1814,4729569.0
2021-01-22,42.7317,43.7669,42.4936,41.9392,5238957.0
2021-01-21,39.5008,40.015,37.2818,41.5304,6190580.0
2021-01-20,43.3164,43.3361,42.734,43.5347,2660876.0
2021-01-19,43.2362,43.345,42.4447,43.405,2507927.0
2021-01-15,43.4951,43.6042,42.6724,43.6244,3792192.0
2021-01-14,43.9836,44.4104,43.7354,44.0831,2113071.0
2021-01-13,43.6571,44.1282,42.6559,44.0033,2634721.0
2021-01-12,45.5556,46.9694,45.1158,44.452,4506458.0
2021-01-11,44.4944,45.6631,44.3014,43.4948,3624073.0
2021-01-08,43.8662,44.7019,43.5051,43.1258,4667516.0
2021-01-07,41.8301,42.6737,41.5589,41.68,3986208.0
2021-01-06,42.7747,45.1571,42.4157,40.9521,4991444.0
2021-01-05,39.2546,40.0442,39.1931,38.7085,2647663.0
2021-01-04,37.7283,38.0486,36.9712,38.2399,3693717.0
2020-12-31,38.6688,38.9788,38.2987,38.6088,2316766.0
2020-12-30,38.5806,39.0857,38.3987,38.3296,3396803.0
2020-12-29,37.1169,37.3569,36.1619,37.8311,3183934.0
2020-12-28,37.2492,37.4384,36.2557,38.2399,2516496.0
2020-12-24,39.8609,40.392,39.8609,39.3866,847621.0
2020-12-23,39.1374,39.5677,39.1374,39.0675,2330783.0
2020-12-22,38.2499,38.3513,37.6126,38.8681,2713807.0
2020-12-21,40.3443,41.3462,39.9906,39.4365,2894338.0
2020-12-18,39.2869,39.546,38.6939,39.2969,9395218.0
2020-12-17,39.9182,40.2937,39.7984,39.5661,4322032.0
2020-12-16,38.7497,38.7497,38.0792,38.9678,3164683.0
2020-12-15,39.0875,39.1656,38.0914,39.1074,3789059.0
2020-12-14,37.4506,37.6659,36.2475,38.6487,3593995.0
2020-12-11,38.3597,38.7502,38.1094,38.2798,3131011.0
2020-12-10,38.6987,39.2591,38.5186,38.6288,3124009.0
2020-12-09,39.444,40.3668,39.4338,38.898,3293831.0
2020-12-08,38.9793,39.6967,38.8245,38.3097,4178090.0
2020-12-07,37.2905,37.5666,36.6559,37.8311,3012869.0
2020-12-04,38.8,39.2346,38.6585,38.539,3633546.0
2020-12-03,38.1502,38.6101,37.8503,38.1003,2874223.0
2020-12-02,38.3002,38.8477,38.0793,38.1601,3503803.0
2020-12-01,37.815,38.5381,37.3656,38.2,3355883.0
2020-11-30,38.1205,38.2991,37.4555,38.21,4864602.0
2020-11-27,38.1705,38.5964,37.9526,38.2997,1368518.0
2020-11-25,38.2708,38.3794,37.8218,38.4692,2738902.0
2020-11-24,39.5405,40.4213,39.2815,38.7883,4358182.0
2020-11-23,37.9426,38.721,37.9324,37.6815,2712124.0
2020-11-20,37.279,37.6172,37.1932,37.0533,2536475.0
2020-11-19,37.1758,37.8556,36.9221,36.8539,3274134.0
2020-11-18,36.0443,36.3347,35.512,36.5847,2329434.0
2020-11-17,36.9237,37.208,36.4747,36.9137,3706195.0
2020-11-16,37.8586,38.546,37.2841,37.3225,3498139.0
2020-11-13,36.8061,37.9481,36.8061,35.9066,3362175.0
2020-11-12,33.728,33.728,32.359,34.9593,3750481.0
2020-11-11,36.65,37.1841,36.4284,36.3899,4494531.0
2020-11-10,37.5254,39.2964,37.5254,35.9925,6713314.0
2020-11-09,34.0687,35.3248,33.689,34.4129,4633890.0
2020-11-06,32.9993,33.1912,32.4443,33.4791,2576803.0
2020-11-05,34.5211,35.8748,34.4586,33.7175,3876232.0
2020-11-04,32.3873,32.8049,31.5521,32.5651,3832378.0
2020-11-03,32.2538,32.3987,31.4137,32.7142,3620630.0
2020-11-02,33.4604,34.0235,33.2795,33.2606,3722347.0
2020-10-30,33.3606,33.9683,33.0722,32.7638,4327679.0
2020-10-29,33.2065,34.3467,33.1435,32.287,3935998.0
2020-10-28,32.0536,32.7261,31.7479,31.6512,3974030.0
2020-10-27,31.6968,31.7548,31.2616,32.128,2268415.0
2020-10-26,32.3768,32.5445,31.7604,32.4956,2679153.0
2020-10-23,32.9725,33.3156,32.8631,32.9526,3552384.0
2020-10-22,33.1027,33.5348,32.9117,32.9128,2646252.0
2020-10-21,32.4869,32.6733,32.1247,32.6844,3451405.0
2020-10-20,32.2008,32.2104,31.4183,32.8532,3697381.0
2020-10-19,32.581,32.8473,31.5635,33.3003,5716511.0
2020-10-16,33.6101,33.6884,33.3555,33.8566,2802175.0
2020-10-15,34.5915,35.5455,34.5915,33.7672,3035106.0
2020-10-14,33.6282,34.1954,33.3097,33.5983,3363739.0
2020-10-13,33.8711,34.3388,33.5681,33.4791,5405359.0
2020-10-12,33.35,33.598,33.0523,33.3698,3968146.0
2020-10-09,34.2139,35.5213,34.0452,33.2109,5323332.0
2020-10-08,32.6688,33.5476,32.1662,32.1181,7033580.0
2020-10-07,30.4496,31.1204,30.4095,30.3299,5575586.0
2020-10-06,29.6465,30.052,29.3435,29.8928,4972401.0
2020-10-05,30.2543,30.7726,30.2543,29.9126,5166316.0
2020-10-02,30.174,31.6402,30.0572,29.1775,4851511.0
2020-10-01,28.2947,28.716,28.0302,28.492,4918397.0
2020-09-30,28.661,29.428,28.4169,28.6212,8009369.0
2020-09-29,28.2249,28.4702,27.9453,28.4026,1972054.0
2020-09-28,28.9299,29.4318,28.8596,28.7801,2714421.0
2020-09-25,29.2344,30.4787,29.1703,28.194,2556320.0
2020-09-24,27.6188,28.1167,27.3372,27.4489,3031670.0
2020-09-23,26.8402,27.2248,26.3401,27.28,4874210.0
2020-09-22,27.9059,28.0549,27.6277,27.9059,5703542.0
2020-09-21,28.0649,28.3934,27.7911,28.035,6130210.0
2020-09-18,28.1779,28.2635,27.4409,28.8,7175644.0
2020-09-17,30.0776,30.9726,29.911,29.3861,5728463.0
2020-09-16,28.6851,29.0438,28.244,29.0384,5771304.0
2020-09-15,29.6496,30.2924,29.619,29.257,3128210.0
2020-09-14,28.6417,28.9566,28.381,28.7801,3917858.0
2020-09-11,28.5153,28.6223,28.1169,28.8298,3131393.0
2020-09-10,29.3723,29.9246,29.3417,28.949,4137964.0
