date,Open,High,Low,Close,Volume
2021-03-12,368.644,376.8771,368.1229,361.11,683140.0
2021-03-11,357.0609,360.7435,353.4182,357.4396,990589.0
2021-03-10,358.302,362.4313,354.1125,357.0007,1582074.0
2021-03-09,368.4793,385.0379,366.0037,353.1607,1405128.0
2021-03-08,336.1822,342.9059,331.7304,332.6441,991178.0
2021-03-05,329.4325,330.6297,318.9765,329.3826,736143.0
2021-03-04,327.2953,333.1839,321.1314,329.6718,768457.0
2021-03-03,323.8366,325.4132,315.5736,331.8661,802188.0
2021-03-02,339.585,341.4816,335.0352,342.1194,592219.0
2021-03-01,339.7336,339.7725,334.8304,344.1641,1157724.0
2021-02-26,352.9961,362.7558,350.7486,345.6103,1318139.0
2021-02-25,337.1254,341.275,328.4196,338.1198,2621892.0
2021-02-24,360.9113,362.0116,353.6999,363.6434,624813.0
2021-02-23,368.5413,373.634,362.8309,365.7878,639131.0
2021-02-22,358.4788,359.4354,348.9999,364.2119,767991.0
2021-02-19,364.0084,364.1624,357.1919,370.4956,501158.0
2021-02-18,377.6327,380.8796,376.4164,376.1608,303910.0
2021-02-17,374.9051,374.9051,368.5125,375.5125,534195.0
2021-02-16,368.886,370.1183,360.776,376.9388,469557.0
2021-02-12,384.2697,387.2435,381.5155,384.17,355166.0
2021-02-11,386.1346,388.8273,383.8375,384.1999,462202.0
2021-02-10,379.1231,381.5517,376.2305,381.068,463799.0
2021-02-09,384.6374,388.683,383.363,381.9657,398819.0
2021-02-08,383.8913,389.2104,383.0934,379.0732,443551.0
2021-02-05,379.429,387.574,378.8407,376.2506,518670.0
2021-02-04,371.2652,371.9555,368.5137,372.0316,456482.0
2021-02-03,369.0491,372.1549,364.4639,372.3607,495562.0
2021-02-02,378.8721,387.2364,377.9011,376.2406,448073.0
2021-02-01,371.8774,377.8978,370.1197,370.4557,471728.0
2021-01-29,369.2297,374.8478,367.6189,369.7974,506348.0
2021-01-28,364.1287,364.1287,352.8267,370.6352,763335.0
2021-01-27,375.9713,380.0915,370.1552,375.9314,635706.0
2021-01-26,378.1958,380.6838,373.6994,377.8564,581595.0
2021-01-25,374.7842,377.4975,370.272,377.5073,424224.0
2021-01-22,378.1893,378.1893,372.5299,379.3824,341370.0
2021-01-21,382.2568,386.029,379.231,380.1305,500710.0
2021-01-20,383.5825,389.462,381.015,378.016,412757.0
2021-01-19,366.5189,368.1822,361.3591,371.6825,510426.0
2021-01-15,374.6852,377.1144,371.2262,374.2558,494807.0
2021-01-14,361.5797,361.5797,350.5193,372.8295,655773.0
2021-01-13,377.7623,380.5979,374.642,380.8686,443006.0
2021-01-12,378.2103,380.5264,370.7698,384.4991,560256.0
2021-01-11,390.5561,398.4673,388.9919,389.526,629808.0
2021-01-08,394.4654,401.3377,393.3407,387.8205,491557.0
2021-01-07,387.33,396.7338,387.33,382.1951,528984.0
2021-01-06,390.8371,398.7881,390.2271,383.8708,629734.0
2021-01-05,383.7107,387.9944,383.5127,380.3499,547314.0
2021-01-04,375.0557,375.3446,369.1997,378.5147,663412.0
2020-12-31,381.3307,382.1239,376.3931,382.4644,425726.0
2020-12-30,382.5472,386.6931,380.4842,383.6214,491947.0
2020-12-29,369.2588,370.1472,353.8839,383.3621,929351.0
2020-12-28,399.2108,402.7129,395.6439,399.141,587278.0
2020-12-24,390.0081,391.9847,383.3613,395.7,184260.0
2020-12-23,408.5197,415.2633,406.6516,402.7017,566925.0
2020-12-22,400.0426,402.4144,396.3487,397.6848,438608.0
2020-12-21,400.6885,406.5966,397.3416,396.1488,527787.0
2020-12-18,395.4009,396.5165,390.9289,395.68,997127.0
2020-12-17,403.78,414.2168,402.4662,394.134,804713.0
2020-12-16,377.6958,379.0252,373.1017,381.5269,515210.0
2020-12-15,383.8509,388.3831,382.618,383.6812,510690.0
2020-12-14,383.4658,389.0672,382.9739,382.235,512401.0
2020-12-11,378.0968,378.2922,373.2597,381.598,350291.0
2020-12-10,387.4572,391.3229,383.9658,384.2656,424299.0
2020-12-09,380.8558,383.4812,377.6896,383.1906,391186.0
2020-12-08,385.5108,388.6361,383.2541,384.9026,360727.0
2020-12-07,383.9407,392.6133,382.9793,382.7725,594680.0
2020-12-04,380.7624,383.1654,379.8687,381.2197,390883.0
2020-12-03,377.1126,380.544,372.3787,381.6079,393673.0
2020-12-02,380.9589,382.2288,374.9198,386.0374,442346.0
2020-12-01,390.6872,392.9554,386.5855,389.9392,595406.0
2020-11-30,394.7678,399.3394,392.2483,390.7554,948887.0
2020-11-27,392.1501,397.7131,390.1437,388.6652,283129.0
2020-11-25,380.3385,380.9612,376.5132,381.6676,369627.0
2020-11-24,377.1946,377.1946,369.5604,381.3591,662154.0
2020-11-23,381.6843,384.6031,376.003,385.4202,487467.0
2020-11-20,390.4555,394.5229,388.0585,387.7594,395800.0
2020-11-19,383.9883,387.3554,382.6893,383.2602,392681.0
2020-11-18,377.5334,379.1339,374.254,380.6922,382330.0
2020-11-17,381.71,387.5031,380.6702,382.6929,381435.0
2020-11-16,383.5695,391.9139,382.2919,383.0413,669064.0
2020-11-13,387.2326,390.8254,384.7862,387.7992,321293.0
2020-11-12,384.7256,390.9358,377.1409,388.7448,608119.0
2020-11-11,404.014,417.0474,403.256,392.8457,647608.0
2020-11-10,386.6631,398.9538,381.7757,379.9058,811574.0
2020-11-09,364.4909,366.6418,347.5564,374.8095,1336822.0
2020-11-06,403.901,412.4298,400.3131,398.0018,477692.0
2020-11-05,396.7719,401.2147,393.7899,394.3886,616584.0
2020-11-04,396.5655,404.5128,393.7762,390.7057,473581.0
2020-11-03,385.1062,391.9335,382.5701,381.4686,467450.0
2020-11-02,372.5482,375.0727,365.4234,374.2919,601220.0
2020-10-30,370.0376,371.7292,358.9172,376.5713,689793.0
2020-10-29,386.0005,393.1069,382.5373,384.9325,484839.0
2020-10-28,371.722,371.722,361.1686,382.2251,718959.0
2020-10-27,395.2546,396.987,390.8437,395.1948,421807.0
2020-10-26,394.3149,397.9864,390.7738,392.786,500663.0
2020-10-23,396.4023,401.0169,392.6721,392.2784,466569.0
2020-10-22,391.669,395.1438,388.8369,389.9293,442714.0
2020-10-21,384.4797,384.5188,379.7332,388.1476,523361.0
2020-10-20,392.4277,395.6452,389.6429,392.5869,487382.0
2020-10-19,387.3364,387.3364,380.3964,393.0647,380657.0
2020-10-16,395.3569,397.276,390.1224,397.6036,530872.0
2020-10-15,399.2176,402.2153,396.8378,399.9826,664984.0
2020-10-14,396.2362,399.1399,390.5703,401.3463,872032.0
2020-10-13,420.373,435.6022,419.4223,405.8354,1255311.0
