date,Open,High,Low,Close,Volume
2021-03-12,58.0625,58.5692,57.6876,57.68,1185803.0
2021-03-11,56.8301,57.4817,56.6597,56.76,1315133.0
2021-03-10,57.2011,57.6652,56.8682,56.95,2297657.0
2021-03-09,57.0139,57.6647,56.9123,56.54,2632422.0
2021-03-08,57.1021,58.3894,56.752,56.27,2171364.0
2021-03-05,56.1206,57.1486,55.908,55.35,1833905.0
2021-03-04,54.614,55.7163,54.1129,54.2952,2585658.0
2021-03-03,53.5046,53.9906,52.9736,53.1958,1566391.0
2021-03-02,52.8601,52.9976,52.0454,53.0968,1585867.0
2021-03-01,53.2362,53.7669,52.8726,53.4434,2358051.0
2021-02-26,51.9541,52.5321,50.6275,53.1166,3489448.0
2021-02-25,52.4434,53.5224,51.5186,53.176,3144423.0
2021-02-24,54.3266,54.8072,54.0261,54.0278,1746869.0
2021-02-23,55.0969,56.4976,54.962,53.8297,2360886.0
2021-02-22,50.194,50.3329,48.0825,51.9083,2428492.0
2021-02-19,52.6716,52.843,51.5667,53.7108,1327812.0
2021-02-18,54.9501,55.59,54.7401,54.6914,1524469.0
2021-02-17,54.3448,54.5831,53.9973,54.2754,1118759.0
2021-02-16,53.8199,54.0174,53.4644,53.899,1390852.0
2021-02-12,53.7312,54.1445,53.3672,53.9089,799603.0
2021-02-11,53.8224,54.0764,53.3437,54.1962,907824.0
2021-02-10,54.8697,55.0583,54.5431,54.8102,999991.0
2021-02-09,54.5754,54.9976,54.0327,54.1763,609147.0
2021-02-08,53.1035,53.365,52.319,53.7009,1199218.0
2021-02-05,54.0494,54.2159,53.5306,54.3645,1992615.0
2021-02-04,55.9589,57.5162,55.5304,54.4735,1641254.0
2021-02-03,53.1562,53.6966,52.948,53.1265,1448168.0
2021-02-02,53.3048,54.5603,53.0873,53.3543,1510961.0
2021-02-01,53.0675,53.4121,52.3783,53.2255,1367294.0
2021-01-29,53.4744,54.5445,53.2444,53.2156,4334689.0
2021-01-28,54.0779,55.9216,53.8232,53.3246,1880879.0
2021-01-27,51.5987,52.1887,50.6799,52.2153,1925960.0
2021-01-26,52.2372,52.29,51.0261,53.0274,1670803.0
2021-01-25,54.504,55.3903,54.1474,53.7406,2803918.0
2021-01-22,53.7848,54.8948,53.578,53.285,2569255.0
2021-01-21,53.1067,53.2853,52.7992,53.0671,1702959.0
2021-01-20,54.107,55.0333,53.9442,53.3741,1062862.0
2021-01-19,51.7066,51.7066,50.475,52.869,1409170.0
2021-01-15,55.0474,56.5779,54.8295,53.7802,1732832.0
2021-01-14,51.7417,51.7417,50.5623,52.7997,1002403.0
2021-01-13,54.9559,56.4163,54.8783,53.7406,1200817.0
2021-01-12,52.8332,53.4679,52.5712,52.3837,1654266.0
2021-01-11,51.6425,52.0685,51.0452,51.938,1871958.0
2021-01-08,52.5918,52.9088,51.9854,52.4926,1889449.0
2021-01-07,51.313,51.4772,49.8306,52.7204,2520628.0
2021-01-06,54.7464,55.5145,54.2512,54.1962,2703386.0
2021-01-05,52.9783,53.2748,52.4268,53.1265,1294892.0
2021-01-04,51.6872,51.9486,49.988,53.2354,1564915.0
2020-12-31,56.4219,57.9553,56.2863,54.9786,4683547.0
2020-12-30,53.7312,54.2896,53.472,53.5524,4072502.0
2020-12-29,53.4434,53.8297,53.1413,53.4434,2917443.0
2020-12-28,53.2751,53.463,52.7707,53.3147,3246810.0
2020-12-24,53.4285,54.1251,52.5299,52.9185,1141407.0
2020-12-23,52.0774,52.6278,51.8513,52.2747,4648462.0
2020-12-22,51.9978,52.1948,51.5132,52.146,3137867.0
2020-12-21,52.1266,52.5402,51.0925,52.2747,5221410.0
2020-12-18,52.2032,52.4449,51.3815,52.8393,2240196.0
2020-12-17,53.5722,54.0733,53.1555,53.5227,1742341.0
2020-12-16,52.0032,52.4819,50.714,53.1562,1776563.0
2020-12-15,54.1466,54.7906,53.7107,54.1367,1708000.0
2020-12-14,52.5561,53.0366,51.2561,53.8891,1194554.0
2020-12-11,54.7313,55.0796,54.3929,54.6022,1176358.0
2020-12-10,54.2476,54.3944,53.8855,54.5725,2315532.0
2020-12-09,55.1775,55.5268,55.0477,54.9687,1479410.0
2020-12-08,54.8006,55.0471,54.3077,54.9291,2659473.0
2020-12-07,54.8211,55.2905,54.6014,54.5923,750653.0
2020-12-04,53.8646,54.02,53.1362,54.3942,834388.0
2020-12-03,54.7026,54.9772,54.1925,54.9687,1644281.0
2020-12-02,56.5406,57.5559,56.2944,55.5629,1322058.0
2020-12-01,54.479,55.0906,53.8529,55.0281,1350839.0
2020-11-30,54.7807,55.1458,54.2774,54.8795,4262601.0
2020-11-27,54.6676,54.6773,53.4549,55.2361,1145053.0
2020-11-25,56.0915,56.6752,55.5077,55.6422,2121113.0
2020-11-24,55.2658,55.6422,54.7944,55.2658,2996685.0
2020-11-23,54.7826,55.4745,54.215,54.4438,4098778.0
2020-11-20,54.8536,56.1521,54.4855,53.9882,2572144.0
2020-11-19,52.4242,52.5806,51.2787,53.176,3115851.0
2020-11-18,52.1173,52.1356,50.3416,53.9458,1663528.0
2020-11-17,54.9319,55.278,54.3357,55.4756,1469585.0
2020-11-16,56.2031,56.271,54.9423,56.5151,1640467.0
2020-11-13,57.5884,59.3407,57.5884,56.0052,1826399.0
2020-11-12,53.5277,53.5277,51.7868,54.6421,2614749.0
2020-11-11,54.9637,55.0575,53.1998,56.1915,2789475.0
2020-11-10,58.0711,59.9243,57.6704,57.4566,5778291.0
2020-11-09,58.0085,63.8043,57.9575,56.8682,3588032.0
2020-11-06,53.7215,54.4501,52.6917,53.9752,1329174.0
2020-11-05,52.7554,53.9015,50.9106,54.1223,2621109.0
2020-11-04,53.6616,54.6151,52.3776,54.6911,1566943.0
2020-11-03,55.8973,56.2997,55.3969,55.8777,1109886.0
2020-11-02,55.5165,55.8634,54.6839,55.2207,1339512.0
2020-10-30,54.2501,54.4766,53.5902,54.1322,1453627.0
2020-10-29,54.5455,55.4969,53.6734,54.2596,1384507.0
2020-10-28,53.9966,54.5784,53.4535,54.2989,2228338.0
2020-10-27,55.944,57.4093,55.5536,55.2991,2051062.0
2020-10-26,54.4172,54.6899,53.9499,54.6127,1432824.0
2020-10-23,54.7839,55.0247,53.7918,55.2795,718462.0
