date,Open,High,Low,Close,Volume
2021-03-12,7.7403,7.8518,7.6593,7.69,1723035.0
2021-03-11,7.9238,8.1015,7.8663,7.75,2619821.0
2021-03-10,7.7435,8.1356,7.6782,7.42,2442192.0
2021-03-09,7.0201,7.2082,6.9604,7.04,1647756.0
2021-03-08,7.1507,7.2527,7.0793,7.08,1885311.0
2021-03-05,7.2124,7.3681,7.0256,7.08,2507199.0
2021-03-04,6.934,7.0103,6.6307,7.1,2840003.0
2021-03-03,7.6081,7.9714,7.5974,7.36,2264909.0
2021-03-02,7.1702,7.2815,7.1601,7.13,1283499.0
2021-03-01,7.0001,7.0909,6.9497,6.97,1296360.0
2021-02-26,6.5947,6.6326,6.4049,6.77,1837275.0
2021-02-25,7.1201,7.3117,7.1,7.09,1907855.0
2021-02-24,7.0101,7.232,6.9849,6.98,2028799.0
2021-02-23,6.7745,6.8126,6.5275,6.95,2322590.0
2021-02-22,7.0511,7.1584,6.8561,7.14,2276816.0
2021-02-19,7.4405,7.6031,7.3338,7.38,2721732.0
2021-02-18,7.0439,7.063,6.8339,7.21,2330450.0
2021-02-17,7.5002,7.6239,7.3567,7.54,2626759.0
2021-02-16,7.6,7.7396,7.4221,7.61,5396228.0
2021-02-12,7.5314,7.9665,7.5035,7.13,3495383.0
2021-02-11,6.7202,6.8092,6.6016,6.76,1765394.0
2021-02-10,7.086,7.3088,7.0648,6.88,2639706.0
2021-02-09,6.5904,6.6396,6.4475,6.64,2633281.0
2021-02-08,6.751,6.9046,6.6691,6.67,2328767.0
2021-02-05,6.49,6.545,6.4,6.49,2755334.0
2021-02-04,6.1603,6.2343,6.0467,6.2,1592507.0
2021-02-03,6.3842,6.6581,6.3737,6.22,2547930.0
2021-02-02,6.0701,6.1456,5.9795,6.05,1244777.0
2021-02-01,6.0001,6.0605,5.9397,5.98,1374823.0
2021-01-29,6.0017,6.4156,5.9241,5.9,2997866.0
2021-01-28,5.7802,5.8296,5.7109,5.81,2493332.0
2021-01-27,5.92,6.0589,5.8548,5.91,2348185.0
2021-01-26,6.06,6.1603,6.0099,6.05,2017443.0
2021-01-25,6.1206,6.1818,5.9778,6.06,2977041.0
2021-01-22,6.2713,6.3743,6.2095,6.18,1330082.0
2021-01-21,6.18,6.22,6.08,6.18,1486589.0
2021-01-20,6.0716,6.1006,5.936,6.17,1762821.0
2021-01-19,6.1113,6.1404,5.9753,6.2,2862875.0
2021-01-15,6.1916,6.2109,6.0302,6.29,2108391.0
2021-01-14,6.733,6.9418,6.7226,6.59,1681244.0
2021-01-13,6.4015,6.4209,6.2269,6.5,1460291.0
2021-01-12,6.7635,7.0252,6.7425,6.61,2003204.0
2021-01-11,6.3302,6.3698,6.2513,6.37,1736297.0
2021-01-08,6.5701,6.6395,6.4611,6.6,1983234.0
2021-01-07,6.4,6.48,6.355,6.4,1472800.0
2021-01-06,6.203,6.2509,6.0404,6.34,2160517.0
2021-01-05,6.52,6.62,6.385,6.52,2400697.0
2021-01-04,6.321,6.399,6.1649,6.4,2221363.0
2020-12-31,6.2603,6.3413,6.1792,6.22,2000047.0
2020-12-30,6.0719,6.1588,5.9175,6.18,1865860.0
2020-12-29,6.1219,6.1219,5.9674,6.23,1303845.0
2020-12-28,6.1716,6.1909,6.0553,6.27,1237236.0
2020-12-24,6.5523,6.6769,6.5044,6.43,641389.0
2020-12-23,6.5032,6.6913,6.5032,6.36,1358923.0
2020-12-22,5.9757,5.9851,5.731,6.16,1999310.0
2020-12-21,6.3604,6.4518,6.269,6.31,2096525.0
2020-12-18,6.2754,6.3037,6.0395,6.46,2302267.0
2020-12-17,6.5325,6.5469,6.3112,6.66,1954950.0
2020-12-16,6.6118,6.6553,6.5053,6.72,1877739.0
2020-12-15,6.6601,6.7098,6.5706,6.68,2032242.0
2020-12-14,6.4858,6.5047,6.269,6.68,1559171.0
2020-12-11,6.527,6.5457,6.2831,6.74,1886399.0
2020-12-10,7.0987,7.3565,7.088,6.85,2140001.0
2020-12-09,6.3143,6.3333,6.096,6.48,1806446.0
2020-12-08,6.4412,6.4801,6.3537,6.53,1759324.0
2020-12-07,6.531,6.5505,6.3552,6.61,2783502.0
2020-12-04,6.794,7.109,6.794,6.63,4112998.0
2020-12-03,6.1303,6.1697,6.0514,6.17,2430244.0
2020-12-02,6.0901,6.1496,6.0007,6.11,2708429.0
2020-12-01,5.8906,5.8906,5.5408,6.14,2743496.0
2020-11-30,6.0096,6.0327,5.76,6.25,3490070.0
2020-11-27,6.5801,6.7189,6.4909,6.61,2504383.0
2020-11-25,6.7301,6.7896,6.6013,6.76,5750991.0
2020-11-24,7.4605,7.5621,7.3487,7.4,2693380.0
2020-11-23,7.5089,7.8307,7.4553,7.25,2064973.0
2020-11-20,7.0312,7.1851,6.9388,6.94,1586608.0
2020-11-19,7.0449,7.2558,6.971,6.86,1304660.0
2020-11-18,6.5515,6.6777,6.4544,6.65,1560963.0
2020-11-17,6.64,6.6799,6.5254,6.65,1282436.0
2020-11-16,6.9974,7.2965,6.944,6.77,2563289.0
2020-11-13,6.3,6.36,6.25,6.3,1252065.0
2020-11-12,5.9583,5.9954,5.7259,6.18,1725770.0
2020-11-11,6.4604,6.5638,6.3816,6.51,1602826.0
2020-11-10,6.6931,6.9123,6.5991,6.55,2922504.0
2020-11-09,6.2806,6.4641,6.2602,6.22,3242774.0
2020-11-06,5.5804,5.718,5.5117,5.63,1205775.0
2020-11-05,5.8422,5.9929,5.8126,5.73,1468090.0
2020-11-04,5.58,5.6896,5.4405,5.59,1578221.0
2020-11-03,5.5709,5.5709,5.3855,5.64,1378759.0
2020-11-02,5.6709,5.8657,5.6309,5.6,1742187.0
2020-10-30,5.1438,5.1438,4.7731,5.41,2425823.0
2020-10-29,5.9158,6.1184,5.7027,5.73,2401374.0
2020-10-28,5.5517,5.5904,5.3586,5.65,3101310.0
2020-10-27,5.9513,5.9998,5.8251,6.04,1055316.0
2020-10-26,6.0603,6.0701,5.9023,6.1,2232538.0
2020-10-23,6.034,6.034,5.8535,6.19,2605535.0
2020-10-22,6.6036,6.8447,6.5721,6.45,1254381.0
2020-10-21,6.2901,6.3596,6.1609,6.31,2322614.0
2020-10-20,6.4412,6.4607,6.2661,6.53,1421192.0
2020-10-19,6.4725,6.5591,6.3234,6.6,1382455.0
2020-10-16,6.5909,6.592,6.4933,6.67,1056859.0
2020-10-15,6.9022,7.0887,6.8193,6.78,1680666.0
2020-10-14,6.8001,7.0113,6.7699,6.78,1609218.0
2020-10-13,6.5425,6.5521,6.3308,6.67,1501698.0
2020-10-12,6.79,6.799,6.62,6.79,1360828.0
2020-10-09,6.5752,6.5941,6.3718,6.76,1106377.0
2020-10-08,7.0238,7.2335,6.9924,6.86,1355061.0
2020-10-07,6.6804,6.787,6.5687,6.63,1861390.0
2020-10-06,6.5621,6.6393,6.4367,6.68,1147715.0
2020-10-05,6.8815,7.0566,6.8197,6.78,1555166.0
2020-10-02,6.5602,6.6716,6.4691,6.52,1833609.0
2020-10-01,6.4505,6.4947,6.3131,6.51,1716315.0
2020-09-30,6.6535,7.0203,6.6535,6.5,2117949.0
2020-09-29,6.3101,6.4686,6.1516,6.34,2771638.0
2020-09-28,6.2426,6.2571,6.0409,6.37,2093834.0
2020-09-25,6.43,6.6,6.37,6.43,1807002.0
2020-09-24,6.411,6.6469,6.2777,6.33,2197075.0
2020-09-23,5.8807,5.906,5.5422,6.23,3107297.0
2020-09-22,6.5905,6.6298,6.512,6.65,2161964.0
2020-09-21,6.3156,6.3293,5.989,6.63,3320654.0
2020-09-18,7.0427,7.0908,6.8503,7.18,2185922.0
2020-09-17,7.34,7.5,7.26,7.34,1388475.0
2020-09-16,7.4301,7.6613,7.3597,7.41,1875892.0
2020-09-15,7.0576,7.0576,6.7129,7.41,2085197.0
2020-09-14,8.017,8.3249,8.0064,7.78,3408271.0
2020-09-11,7.5505,7.8655,7.5302,7.49,3522969.0
2020-09-10,7.4309,7.5433,7.3593,7.35,3397155.0
2020-09-09,7.2895,7.3403,7.1095,7.3406,3869755.0
2020-09-08,7.4989,7.8749,7.3586,7.247,4216434.0
2020-09-04,7.3767,7.6469,7.2065,7.1346,3197114.0
2020-09-03,6.8819,6.9005,6.6863,6.9006,2676273.0
2020-09-02,6.8222,6.831,6.5129,7.0223,3236640.0
2020-09-01,7.1287,7.1377,6.9045,7.2845,2342973.0
2020-08-31,7.4624,7.5468,7.4154,7.453,2466949.0
2020-08-28,7.3126,7.3592,7.1635,7.3313,2873942.0
2020-08-27,6.9105,6.9442,6.5641,7.2751,4722223.0
2020-08-26,7.5873,7.6143,7.3625,7.7432,2232845.0
2020-08-25,7.7903,7.8644,7.6701,7.8369,1476395.0
2020-08-24,7.8653,7.9695,7.6852,7.8182,1967702.0
2020-08-21,7.9129,8.076,7.865,7.8182,1255749.0
2020-08-20,7.9412,8.1287,7.8739,7.8369,1290965.0
2020-08-19,7.7441,7.7671,7.5975,7.8275,1441096.0
2020-08-18,7.9403,8.0049,7.811,7.9961,1123650.0
2020-08-17,8.1459,8.1835,8.033,8.1271,1148131.0
2020-08-14,8.3713,8.7432,8.2256,8.0803,1875395.0
2020-08-13,7.8469,7.9205,7.7183,7.9211,1322046.0
2020-08-12,8.2517,8.4461,8.1836,8.099,1654528.0
2020-08-11,7.9119,8.1288,7.8685,7.8837,2376435.0
2020-08-10,7.6312,7.6636,7.5479,7.6777,1315727.0
2020-08-07,7.7917,7.9508,7.6857,7.6777,1408531.0
2020-08-06,7.5204,7.6384,7.3844,7.6403,1943759.0
2020-08-05,7.7808,7.8563,7.7054,7.7526,1415360.0
2020-08-04,7.7931,7.9587,7.6956,7.6403,1815442.0
