date,Open,High,Low,Close,Volume
2021-03-12,41.5868,42.6387,41.3577,40.75,7048387.0
2021-03-11,40.7747,41.5644,40.7747,40.0,5959605.0
2021-03-10,39.3232,40.1021,39.2621,38.97,4538745.0
2021-03-09,38.8958,39.7568,38.8446,38.42,4267654.0
2021-03-08,37.4309,37.7082,37.0644,37.61,3550284.0
2021-03-05,37.47,37.6601,35.9892,37.46,3875280.0
2021-03-04,35.5833,35.6852,33.6646,36.96,6817963.0
2021-03-03,38.55,39.3234,38.3904,38.59,4567908.0
2021-03-02,38.0139,38.2257,37.2821,38.74,3859406.0
2021-03-01,40.069,40.9965,39.9083,39.47,5593936.0
2021-02-26,38.5119,39.3386,38.2837,38.24,7475883.0
2021-02-25,37.1382,37.2547,36.3032,37.69,6184960.0
2021-02-24,39.3847,40.64,39.2383,38.3856,4117239.0
2021-02-23,37.2535,37.3323,36.5096,37.4118,4285207.0
2021-02-22,37.8495,38.35,37.6493,37.7099,3204549.0
2021-02-19,38.1601,38.7114,38.0488,37.8192,3857346.0
2021-02-18,37.243,37.6784,37.0055,37.3223,4262535.0
2021-02-17,37.2278,37.6649,36.7906,37.6503,5728397.0
2021-02-16,38.5054,39.2164,38.4052,38.3558,8140557.0
2021-02-12,37.1095,37.6597,36.9872,36.6466,2865517.0
2021-02-11,36.2513,36.2513,35.4781,36.5274,3536923.0
2021-02-10,37.2099,37.8992,37.1793,36.7063,3897032.0
2021-02-09,34.8345,34.9547,33.5669,36.1001,7019591.0
2021-02-08,37.5912,37.9468,37.5411,37.4416,2294979.0
2021-02-05,37.1435,37.3617,37.0345,37.1832,2226541.0
2021-02-04,37.6296,38.3216,37.486,37.0441,3636915.0
2021-02-03,36.33,36.8027,35.817,36.1101,3891915.0
2021-02-02,36.0109,36.2779,35.6253,36.1001,4225771.0
2021-02-01,35.4163,35.6416,34.8679,35.6728,3455266.0
2021-01-29,35.3181,35.5815,34.6855,35.643,5565846.0
2021-01-28,36.5707,37.4019,36.4187,36.2094,5475958.0
2021-01-27,34.1162,34.8806,33.0592,35.0071,9009521.0
2021-01-26,35.438,35.4471,33.956,36.9348,5583175.0
2021-01-25,38.9457,39.7558,38.7497,38.2166,4799961.0
2021-01-22,37.4617,37.8003,37.2369,37.3621,4314938.0
2021-01-21,37.1516,37.2481,36.6112,37.6999,2823868.0
2021-01-20,38.0878,38.3545,37.6435,38.2067,3220216.0
2021-01-19,38.5967,39.1118,38.4857,38.2862,4017626.0
