date,Open,High,Low,Close,Volume
2021-03-12,90.9444,99.5085,90.6918,84.88,4784015.0
2021-03-11,82.9498,84.4215,79.1682,82.05,4913194.0
2021-03-10,73.6628,73.977,66.1055,81.01,9959048.0
2021-03-09,88.2515,88.44,83.9079,88.62,4127301.0
2021-03-08,85.641,89.6629,80.9638,85.94,9083503.0
2021-03-05,116.813,156.2844,113.4475,91.39,13999944.0
2021-03-04,83.5024,86.8563,79.3767,83.95,12152692.0
2021-03-03,77.2525,77.3628,65.57,87.01,11315154.0
2021-03-02,82.7906,83.0524,69.4238,98.42,12430338.0
2021-03-01,105.9596,108.3652,103.9929,104.95,2906236.0
2021-02-26,102.7002,103.3982,99.1805,102.85,6946013.0
2021-02-25,106.5185,111.8597,105.9505,101.92,2482750.0
2021-02-24,93.8647,94.606,87.505,95.04,2127810.0
2021-02-23,103.6768,110.5603,97.233,97.51,3972871.0
2021-02-22,97.3604,98.3966,95.8738,98.77,5875494.0
2021-02-19,105.9266,110.2613,105.5373,103.27,3097434.0
2021-02-18,100.381,100.9872,95.5408,100.69,2903814.0
2021-02-17,101.753,103.3547,97.8525,104.83,2568476.0
2021-02-16,111.0406,114.6219,109.4588,108.67,4231895.0
2021-02-12,111.1578,120.7092,110.2302,103.87,3436437.0
2021-02-11,98.649,103.6711,96.56,96.04,3532289.0
2021-02-10,94.5975,96.5914,91.1133,93.31,2375673.0
2021-02-09,91.35,92.9907,89.149,91.33,3380900.0
2021-02-08,92.8218,96.6172,90.9447,91.4,4055039.0
2021-02-05,93.2499,99.0149,92.5377,89.77,4150979.0
2021-02-04,89.644,94.156,85.7705,86.9,7244742.0
2021-02-03,87.2362,90.904,84.5061,85.46,7636861.0
2021-02-02,76.9336,77.2225,69.1502,83.46,8597590.0
2021-02-01,97.9321,102.9725,96.5612,96.46,6998538.0
2021-01-29,108.8559,116.5177,105.7396,105.01,9634519.0
2021-01-28,93.945,104.5442,74.9501,104.76,16300082.0
2021-01-27,145.1824,154.2809,121.6237,142.7,32878280.0
2021-01-26,113.7998,123.7486,110.4311,104.94,8346804.0
2021-01-25,95.1431,108.5792,89.8214,98.12,22613915.0
2021-01-22,107.1392,126.3158,106.7053,92.0,15801035.0
2021-01-21,87.0927,98.6635,82.7505,78.08,6903884.0
2021-01-20,71.337,75.3932,71.0458,69.95,10711514.0
2021-01-19,69.1909,74.2745,68.5527,65.96,5903311.0
2021-01-15,58.694,60.0614,55.1347,59.6,10855611.0
2021-01-14,62.1227,71.9189,62.0316,58.24,7368592.0
2021-01-13,61.9401,81.4295,61.1358,53.5,7595821.0
2021-01-12,44.1739,44.5851,41.8345,46.21,2650556.0
2021-01-11,48.725,49.8171,47.8677,48.23,2042393.0
2021-01-08,49.6874,51.1923,49.4148,48.52,2544952.0
2021-01-07,46.5502,47.6444,46.0482,46.46,2302796.0
2021-01-06,44.7064,44.7064,41.8231,46.43,3488458.0
