date,Open,High,Low,Close,Volume
2021-03-12,127.8246,129.5002,127.8246,126.46,480487.0
2021-03-11,125.5822,128.0628,125.3603,125.06,776578.0
2021-03-10,127.0413,129.6133,126.0354,124.75,731048.0
2021-03-09,124.6523,127.7917,123.6233,121.65,839688.0
2021-03-08,119.4419,122.4109,119.0338,118.25,710491.0
2021-03-05,117.5345,120.3295,116.0697,115.52,624714.0
2021-03-04,110.2526,111.0158,106.6942,112.88,678304.0
2021-03-03,115.4412,117.5749,114.782,115.07,459331.0
2021-03-02,113.9333,114.7544,112.9342,114.55,556056.0
2021-03-01,113.398,114.0184,111.5563,115.18,716417.0
2021-02-26,112.3275,112.4799,109.5874,115.08,699653.0
2021-02-25,115.6368,116.2546,113.2237,117.7,517693.0
2021-02-24,122.5244,126.2159,121.7168,119.5367,809496.0
2021-02-23,116.5142,117.5007,114.9137,116.023,565435.0
2021-02-22,119.0829,123.1757,118.4679,115.5438,808064.0
2021-02-19,111.2596,111.7994,110.1605,112.2098,389787.0
2021-02-18,113.0431,114.4589,110.9699,112.3096,944364.0
2021-02-17,112.749,113.1393,110.6075,112.6091,572547.0
2021-02-16,111.7161,113.1886,109.7365,113.0283,583041.0
2021-02-12,115.086,116.0408,114.292,114.6954,513360.0
2021-02-11,118.4517,122.4267,117.9097,114.7952,769218.0
2021-02-10,108.8512,109.0158,106.0137,110.5128,591513.0
2021-02-09,113.8318,117.2892,113.1286,111.8405,1040576.0
2021-02-08,109.7806,110.7741,109.5373,108.9356,691131.0
2021-02-05,105.7431,106.4271,103.1235,107.2586,580618.0
2021-02-04,108.9228,110.3969,108.6566,107.5581,680233.0
2021-02-03,106.9597,108.8732,106.5829,105.9011,618403.0
2021-02-02,107.8867,111.2568,107.3738,105.362,607130.0
2021-02-01,100.8047,100.8047,98.549,101.4789,935178.0
2021-01-29,98.0228,98.495,94.5382,100.7802,1060938.0
2021-01-28,103.0938,103.0938,100.8082,104.4437,1127108.0
2021-01-27,102.403,102.884,99.5748,104.3139,1127011.0
2021-01-26,106.4636,106.5596,104.0181,108.6162,426072.0
2021-01-25,109.6858,109.9831,108.1897,110.0936,366066.0
2021-01-22,111.0123,111.6134,109.6097,110.8123,412552.0
2021-01-21,109.7761,110.3823,108.3585,110.9221,428720.0
2021-01-20,111.8205,112.21,110.8417,111.7905,366832.0
2021-01-19,111.8315,113.3882,111.47,111.4911,502038.0
2021-01-15,109.0143,109.1712,106.9748,109.9937,687448.0
