date,Open,High,Low,Close,Volume
2021-03-12,37.6946,37.7533,36.9902,38.11,8966856.0
2021-03-11,37.9375,38.0396,37.3442,38.47,5939573.0
2021-03-10,38.9948,39.0834,38.3275,39.1034,7276729.0
2021-03-09,39.0064,39.7193,38.5546,38.7273,8743653.0
2021-03-08,39.1322,40.2186,39.1322,38.2721,6780730.0
2021-03-05,37.7397,38.3926,37.4886,37.4605,7562767.0
2021-03-04,36.0425,36.8578,34.8386,36.8271,11336191.0
2021-03-03,38.4911,39.5185,38.4341,37.5892,6537086.0
2021-03-02,37.085,37.544,36.8056,36.936,5416652.0
2021-03-01,37.0177,37.6317,36.7963,36.7083,6195295.0
2021-02-26,35.1647,35.3157,34.334,36.0056,7854833.0
2021-02-25,36.2446,36.7893,35.5575,36.8865,10435022.0
2021-02-24,37.8063,38.4294,37.4488,37.2131,5835571.0
2021-02-23,36.463,36.8529,35.5563,36.738,7042772.0
2021-02-22,36.7187,36.8828,36.4238,36.8469,6717363.0
2021-02-19,36.1209,36.2711,34.8916,37.0943,14349641.0
2021-02-18,40.4595,42.7369,40.1653,38.5591,22518555.0
2021-02-17,38.3157,40.1991,38.1209,36.639,10613790.0
2021-02-16,34.9862,35.2681,34.7686,34.9961,6347818.0
2021-02-12,34.6828,35.3621,34.2461,35.0258,8821860.0
2021-02-11,36.5204,38.7139,36.1683,35.1743,20381012.0
2021-02-10,33.5314,33.7035,33.3385,33.5412,6032391.0
2021-02-09,33.1663,33.3522,32.7066,33.3631,4661538.0
2021-02-08,33.5511,33.6501,33.2445,33.561,5084784.0
2021-02-05,33.9239,34.7483,33.7407,33.4522,8080982.0
2021-02-04,32.4041,32.688,32.1593,32.5812,9149394.0
2021-02-03,32.415,32.415,31.9278,32.6703,4327301.0
2021-02-02,32.7299,34.3443,32.2181,32.8188,8490432.0
2021-02-01,32.7013,33.0531,32.4667,32.9078,5619327.0
2021-01-29,33.0862,33.8348,32.766,33.1652,6544551.0
