date,Open,High,Low,Close,Volume
2021-03-12,50.131,50.2192,49.7446,50.36,17506878.0
2021-03-11,49.939,49.9584,49.3561,50.4592,17417652.0
2021-03-10,51.2737,51.7245,50.8078,51.0145,21331589.0
2021-03-09,49.6006,49.7541,48.7375,50.4393,23082680.0
2021-03-08,51.382,52.4003,51.0726,51.2129,25084870.0
2021-03-05,51.1146,52.0338,50.9615,50.3699,21310758.0
2021-03-04,49.1627,49.9249,48.4884,49.5269,22036421.0
2021-03-03,49.8258,50.6676,49.8158,49.5666,15410665.0
2021-03-02,49.9448,50.6663,49.8045,49.6856,11755132.0
2021-03-01,49.9477,50.958,49.9073,49.4873,13904859.0
2021-02-26,47.4137,47.4232,46.252,48.5848,23564536.0
2021-02-25,49.4593,49.7288,48.9791,49.755,14154823.0
2021-02-24,50.6099,51.1222,50.3488,50.2906,14441998.0
2021-02-23,49.6699,50.1666,49.105,50.122,16222250.0
2021-02-22,50.9969,52.0506,50.8128,50.2112,14146489.0
2021-02-19,49.0302,49.064,48.2386,49.6955,15968769.0
2021-02-18,50.9624,51.6584,50.8319,50.3501,12749841.0
2021-02-17,49.8446,50.3281,49.73,49.7154,12775807.0
2021-02-16,49.5095,49.6073,49.0596,49.8542,15093406.0
2021-02-12,50.39,50.6671,50.2107,50.2707,13137059.0
2021-02-11,50.3747,51.1635,50.3646,49.884,21928581.0
2021-02-10,48.3994,48.5626,47.5545,49.1898,22830916.0
2021-02-09,49.1406,49.3082,48.9238,49.2889,14496599.0
2021-02-08,49.4675,49.6754,49.0021,49.5071,17833222.0
2021-02-05,49.3886,49.6679,49.1591,49.2393,12742032.0
2021-02-04,48.6543,48.7636,48.3462,48.6046,20597413.0
2021-02-03,48.1888,48.3249,47.9131,48.3666,12274115.0
2021-02-02,48.7143,49.2633,48.5445,48.5551,13274371.0
2021-02-01,48.2882,48.7084,48.1982,48.079,12183609.0
2021-01-29,46.8947,46.9808,46.0148,47.7518,18670257.0
2021-01-28,49.204,50.0225,49.1231,48.7435,17498867.0
2021-01-27,47.7742,48.1944,47.1293,48.1286,21242412.0
2021-01-26,49.2621,49.7556,48.9599,48.8823,12922626.0
2021-01-25,48.7362,49.159,48.555,48.3765,16604213.0
2021-01-22,47.7737,47.9009,47.4605,48.0889,15400347.0
2021-01-21,48.7143,49.0239,48.3947,48.5451,19707198.0
2021-01-20,48.4166,48.6959,48.1872,48.2774,23115796.0
