date,Open,High,Low,Close,Volume
2021-03-12,52.2488,52.9776,51.6021,51.57,1134824.0
2021-03-11,50.3504,50.8582,49.8677,50.21,755208.0
2021-03-10,51.9399,53.5901,51.7495,50.5,811955.0
2021-03-09,48.6457,49.3014,47.5866,49.17,1048727.0
2021-03-08,50.0306,50.8153,49.6134,50.2,1411915.0
2021-03-05,50.4634,51.2157,50.0059,50.05,990851.0
2021-03-04,48.4847,48.6514,47.2294,48.96,772330.0
2021-03-03,49.8918,51.1166,49.7501,49.59,777908.0
2021-03-02,49.2802,49.6487,49.0561,49.38,812734.0
2021-03-01,50.4367,51.8164,50.4199,49.52,1017866.0
2021-02-26,47.1007,47.2123,46.2038,47.81,1920246.0
2021-02-25,46.6984,46.6984,44.6505,48.73,1067364.0
2021-02-24,50.33,50.7093,50.1205,50.38,860110.0
2021-02-23,51.0572,51.9278,50.5041,50.45,1446483.0
2021-02-22,50.9531,52.5458,50.8576,49.4188,1531231.0
2021-02-19,48.3425,48.9098,48.1501,48.0005,772813.0
2021-02-18,46.4,46.4,45.439,47.3014,905510.0
2021-02-17,48.2214,48.2313,47.3116,48.46,1052184.0
2021-02-16,48.402,48.614,47.9188,48.7097,919691.0
2021-02-12,49.0848,49.6257,49.0338,48.5598,634493.0
2021-02-11,48.3912,48.7642,47.9777,48.1603,471417.0
2021-02-10,47.6625,47.702,47.06,47.9306,520771.0
2021-02-09,47.9508,48.2692,47.8513,48.0405,574801.0
2021-02-08,48.1909,48.4488,46.8359,48.3601,739488.0
2021-02-05,47.2271,47.3639,46.6993,47.7409,836982.0
2021-02-04,48.4809,49.3149,48.3986,47.7508,693185.0
2021-02-03,47.7792,48.9119,47.7584,46.842,657287.0
2021-02-02,46.053,46.312,45.4454,46.1129,657162.0
2021-02-01,46.0743,46.6095,45.6048,45.8232,667237.0
2021-01-29,44.7792,45.4447,44.1527,45.234,1602447.0
2021-01-28,46.0932,46.8759,45.9928,45.983,657294.0
2021-01-27,45.1247,45.9525,44.8174,45.2939,816126.0
2021-01-26,45.5032,45.8429,44.756,46.1628,513531.0
2021-01-25,47.5161,48.3857,47.2677,46.6722,740302.0
2021-01-22,46.9781,47.6376,46.8146,46.4325,645305.0
2021-01-21,45.8128,46.0845,45.143,46.4724,533738.0
2021-01-20,47.1024,47.3402,46.5476,47.2914,535619.0
2021-01-19,47.5712,47.9919,47.2506,47.5012,445531.0
2021-01-15,47.4838,48.2137,46.9566,47.1316,557914.0
2021-01-14,47.2516,47.399,46.8536,47.3414,486744.0
2021-01-13,47.4643,48.1545,47.0786,47.0817,602362.0
2021-01-12,47.0223,47.324,46.6201,46.8619,606463.0
2021-01-11,47.0278,47.7432,46.7519,46.4924,885182.0
2021-01-08,46.1754,46.1754,45.2013,46.5224,616396.0
2021-01-07,46.2764,46.2764,45.4229,46.6922,1005378.0
2021-01-06,48.0736,49.622,48.0315,46.812,1076759.0
2021-01-05,44.8351,45.5798,44.7848,44.6647,927989.0
2021-01-04,43.7149,44.0352,42.8608,44.3451,982814.0
2020-12-31,45.7054,46.5619,45.6848,44.9643,590521.0
2020-12-30,44.7377,45.4334,44.6158,44.365,742514.0
2020-12-29,43.4435,43.7452,42.8107,44.0055,586698.0
2020-12-28,44.4852,45.1178,44.3848,44.365,517582.0
2020-12-24,43.836,43.9652,43.4683,43.9456,300127.0
2020-12-23,44.6632,45.5875,44.6632,44.0454,1043902.0
2020-12-22,42.4641,42.844,41.9185,42.9967,920080.0
2020-12-21,43.8159,44.1671,43.0534,43.7158,1206704.0
2020-12-18,43.1644,43.3977,42.2017,43.7458,3606971.0
2020-12-17,44.2157,44.4042,43.6698,44.3551,1253060.0
2020-12-16,44.2552,44.4496,43.9264,44.3051,1060778.0
2020-12-15,45.3807,46.7238,45.365,44.2751,1246230.0
2020-12-14,41.3881,41.3974,39.9976,42.817,1251452.0
2020-12-11,44.2856,45.2333,44.2753,43.606,870148.0
2020-12-10,44.4822,45.4903,44.2431,43.606,965858.0
2020-12-09,42.8485,43.0113,42.4143,43.1066,868695.0
2020-12-08,44.5067,45.8669,44.4646,43.3163,1077034.0
2020-12-07,42.4786,42.7948,42.1525,42.7071,876115.0
2020-12-04,43.863,44.7036,43.7451,43.2964,1025407.0
2020-12-03,42.6774,43.3601,42.5168,42.5673,793526.0
2020-12-02,42.7786,43.1729,42.3843,42.5173,869321.0
2020-12-01,42.1116,42.5527,41.6606,42.5073,1107555.0
2020-11-30,40.693,41.1461,39.3998,41.8581,3555988.0
2020-11-27,42.514,42.6127,41.6017,43.3563,493556.0
2020-11-25,44.136,44.1856,43.1354,44.3151,705320.0
2020-11-24,45.2783,45.8385,45.0338,44.8345,1244092.0
2020-11-23,43.9202,44.502,43.7467,43.4157,955361.0
2020-11-20,42.0212,42.6118,41.6176,42.2986,808336.0
2020-11-19,42.8677,43.1441,42.0739,42.7076,846570.0
2020-11-18,42.2602,42.5884,41.5749,42.9569,574361.0
2020-11-17,44.2237,45.0463,43.7816,43.5553,654554.0
2020-11-16,43.3268,43.3268,42.2095,43.5154,590702.0
2020-11-13,42.8576,43.7119,42.4768,42.1889,611520.0
2020-11-12,40.9522,41.506,40.4932,40.9422,829350.0
2020-11-11,40.0501,40.0548,38.611,41.2414,915605.0
2020-11-10,41.649,42.0949,40.9124,42.2488,1086287.0
2020-11-09,43.6382,45.8317,43.2744,42.4383,1272265.0
2020-11-06,37.255,37.8035,36.8729,37.591,764012.0
2020-11-05,39.1225,40.8327,39.1225,37.7905,895026.0
2020-11-04,35.9198,36.8858,35.3733,36.3144,1022494.0
2020-11-03,37.6514,37.8791,37.1861,37.7905,813318.0
2020-11-02,38.4579,39.9796,37.6598,37.232,1242176.0
2020-10-30,35.1052,35.8346,35.0024,34.5889,907873.0
2020-10-29,35.3384,36.9369,35.0176,34.1301,863415.0
2020-10-28,33.2426,33.9537,33.1675,33.1727,972311.0
2020-10-27,33.2712,33.4805,32.5003,34.0603,758458.0
2020-10-26,34.459,34.4804,33.6583,35.0378,706803.0
2020-10-23,36.105,36.4037,35.8162,36.1349,545520.0
2020-10-22,36.3106,37.0068,36.1775,35.8356,739014.0
2020-10-21,35.8692,36.5105,35.7471,35.5065,775297.0
2020-10-20,35.0679,35.6834,34.9189,35.1475,688156.0
2020-10-19,34.1255,34.4124,33.3699,34.8482,409820.0
2020-10-16,35.7662,36.3587,35.4349,35.6461,357107.0
2020-10-15,36.4044,37.325,36.3207,35.5464,399813.0
2020-10-14,34.8432,35.34,34.4049,35.2572,763160.0
2020-10-13,34.7872,35.117,33.7127,35.7858,621235.0
2020-10-12,37.7673,38.4129,37.6751,37.2619,599131.0
2020-10-09,36.5567,36.684,35.9296,36.8829,527289.0
2020-10-08,37.4086,38.0034,37.2446,36.8929,465821.0
2020-10-07,36.3272,36.8146,36.2765,36.0052,588097.0
2020-10-06,34.3896,34.4273,33.3829,35.4068,706063.0
2020-10-05,36.115,36.4753,35.5646,36.0551,447160.0
2020-10-02,36.6776,38.3125,36.3886,35.4068,561132.0
2020-10-01,34.7187,34.9275,34.1816,34.7685,808064.0
