date,Open,High,Low,Close,Volume
2019-12-03,9.6303,9.6303,9.5214,9.68,47917.0
2019-12-02,9.77,9.8187,9.6998,9.75,38290.0
2019-11-29,9.75,9.77,9.7217,9.75,19843.0
2019-11-27,9.72,9.72,9.6702,9.74,48132.0
2019-11-26,9.7856,9.8565,9.7856,9.7226,21225.0
2019-11-25,9.69,9.6961,9.6366,9.7,40800.0
2019-11-22,9.6902,9.7426,9.6399,9.65,17949.0
2019-11-21,9.5202,9.5202,9.4805,9.56,22183.0
2019-11-20,9.6303,9.701,9.6303,9.58,39148.0
2019-11-19,9.5203,9.5203,9.4708,9.57,32876.0
2019-11-18,9.5302,9.5353,9.4905,9.57,24825.0
2019-11-15,9.6,9.66,9.5883,9.6,22196.0
2019-11-14,9.55,9.5899,9.5301,9.57,21596.0
2019-11-13,9.5403,9.5699,9.4908,9.59,60939.0
2019-11-12,9.7,9.72,9.69,9.71,16597.0
2019-11-11,9.7101,9.7598,9.6803,9.74,28311.0
2019-11-08,9.76,9.78,9.75,9.76,10673.0
2019-11-07,9.762,9.8216,9.762,9.762,31635.0
2019-11-06,9.7322,9.7322,9.7233,9.7322,11385.0
2019-11-05,9.7024,9.7321,9.6727,9.7222,19792.0
2019-11-04,9.6826,9.7221,9.6529,9.7123,14224.0
2019-11-01,9.6924,9.7123,9.6825,9.6924,13573.0
2019-10-31,9.5535,9.5535,9.5024,9.6029,15373.0
2019-10-30,9.6626,9.6826,9.6327,9.6427,21447.0
2019-10-29,9.633,9.7134,9.623,9.5831,95049.0
2019-10-28,9.5832,9.6233,9.5832,9.5433,10902.0
2019-10-25,9.5535,9.628,9.5535,9.5035,16681.0
2019-10-24,9.5136,9.5836,9.5136,9.4837,6823.0
2019-10-23,9.4439,9.5172,9.4141,9.4439,49626.0
2019-10-22,9.424,9.445,9.3943,9.4339,49827.0
2019-10-21,9.3843,9.3942,9.3496,9.4041,32701.0
2019-10-18,9.315,9.315,9.2561,9.3743,9779.0
2019-10-17,9.3348,9.3348,9.2659,9.3842,19860.0
2019-10-16,9.2656,9.2656,9.1581,9.3445,35262.0
