date,Open,High,Low,Close,Volume
2021-03-12,212.6404,214.8467,212.0187,212.34,2818192.0
2021-03-11,208.4856,209.0003,205.3685,211.57,3618040.0
2021-03-10,218.0009,223.1293,217.4996,213.31,3447188.0
2021-03-09,206.4905,207.0493,204.1867,208.55,3646703.0
2021-03-08,210.5296,213.46,209.9619,209.11,3157129.0
2021-03-05,209.0028,211.522,206.1678,207.37,3608200.0
2021-03-04,203.5285,204.8415,200.1422,204.84,3926187.0
2021-03-03,204.1339,205.5799,202.2551,205.82,3488639.0
2021-03-02,209.3422,211.2544,207.5205,208.67,3016563.0
2021-03-01,209.1539,212.2103,209.1539,208.25,2827891.0
2021-02-26,201.6308,202.4775,197.2203,206.14,5318758.0
2021-02-25,207.9133,208.1284,205.0199,209.6381,3123704.0
2021-02-24,214.3864,217.7012,213.9593,211.9437,2887130.0
2021-02-23,206.8924,208.0499,202.9668,210.0058,3243046.0
2021-02-22,211.2992,212.7978,209.4909,210.7412,2909527.0
2021-02-19,207.932,208.357,204.7255,210.9201,3181592.0
2021-02-18,216.2383,218.8439,215.5894,214.0902,2190987.0
2021-02-17,211.6169,212.5368,210.3015,212.1226,3262449.0
2021-02-16,214.3507,216.9204,213.8107,213.6927,2893080.0
2021-02-12,212.4704,213.1654,211.4677,212.5698,2781322.0
2021-02-11,212.6695,212.9272,210.5481,212.9375,2583649.0
2021-02-10,210.6303,211.0479,207.6487,213.0667,3147379.0
2021-02-09,218.5942,222.8306,218.2849,214.6368,3029604.0
2021-02-08,209.3243,209.7774,206.7931,210.2642,2696298.0
2021-02-05,211.248,212.828,210.6717,211.258,2600218.0
2021-02-04,210.7462,212.8637,209.4115,209.7176,2777644.0
2021-02-03,207.7704,209.4059,207.3516,207.412,3020703.0
2021-02-02,210.1284,214.7129,209.6791,208.4555,2764028.0
2021-02-01,206.0918,207.2879,204.2333,206.6369,2812476.0
2021-01-29,209.2966,213.6741,207.2558,206.5475,5203314.0
2021-01-28,203.7507,205.4402,200.3325,205.5338,5401592.0
2021-01-27,200.4921,201.2096,195.4041,205.7127,5464011.0
2021-01-26,216.9312,219.9936,216.5842,214.0406,2907817.0
2021-01-25,213.1322,214.97,211.465,212.0132,2615384.0
2021-01-22,212.9211,214.5543,211.5785,212.053,2196479.0
2021-01-21,211.6767,213.5555,210.9449,212.2021,2676309.0
2021-01-20,215.8171,220.1919,215.283,212.3014,4077731.0
2021-01-19,206.2215,206.5347,203.4807,207.7897,3331595.0
2021-01-15,210.5505,213.3144,209.994,208.6046,3593732.0
2021-01-14,203.6865,204.2338,199.7491,207.2033,3666716.0
2021-01-13,211.9502,214.1812,211.9448,210.771,2069926.0
2021-01-12,208.2274,208.851,205.5477,210.2841,2934036.0
2021-01-11,212.0465,213.0619,210.1077,212.8977,2545893.0
2021-01-08,217.5202,220.8101,216.8357,214.5275,2639146.0
2021-01-07,209.4366,209.4366,206.8238,210.6617,3142014.0
2021-01-06,209.3901,209.7947,207.1406,209.6878,3083426.0
2021-01-05,211.4647,213.2455,210.9013,210.1648,2576065.0
2021-01-04,204.7537,204.9732,198.7683,208.9126,4055409.0
2020-12-31,216.607,220.3803,216.1251,213.2455,2610914.0
2020-12-30,208.8622,209.2545,207.2145,210.2443,1854990.0
2020-12-29,209.4864,210.599,207.349,211.3872,1665725.0
2020-12-28,213.7176,215.614,212.9148,212.689,2515447.0
2020-12-24,209.3524,209.9643,208.3852,210.0754,1047650.0
2020-12-23,210.4236,211.5473,209.9181,210.7015,1658765.0
2020-12-22,211.32,213.026,210.4896,210.6021,2773709.0
2020-12-21,211.4023,213.3395,208.7826,210.3536,4342480.0
2020-12-18,213.6729,215.3612,212.352,213.7424,7929060.0
2020-12-17,211.7907,212.1791,209.9618,212.9176,2558810.0
2020-12-16,211.4025,213.9899,210.2022,212.4704,2681984.0
2020-12-15,215.1661,218.1834,214.6809,213.5238,3799294.0
2020-12-14,211.7914,215.8216,211.2687,210.6021,4744960.0
2020-12-11,206.7565,208.2215,206.0191,206.4679,2770817.0
2020-12-10,206.2901,206.5473,204.8752,206.7462,2956368.0
2020-12-09,206.6002,206.6368,204.47,207.3922,3011056.0
2020-12-08,208.9389,211.5184,208.7973,207.094,2709447.0
2020-12-07,207.9493,208.5277,205.6158,207.5909,3826001.0
2020-12-04,208.5782,210.3328,207.0997,209.4294,3151060.0
2020-12-03,210.7626,213.0507,210.381,210.1946,3732543.0
2020-12-02,206.474,206.8599,201.7753,209.5487,6223661.0
2020-12-01,212.107,212.1554,208.8606,214.7958,4139869.0
2020-11-30,217.0661,218.1792,215.0304,216.0877,3413588.0
2020-11-27,215.0131,216.3678,213.6779,215.6926,1394366.0
2020-11-25,216.06,216.6591,214.0367,216.6904,1889200.0
2020-11-24,217.7497,219.9768,216.994,217.0559,3817394.0
2020-11-23,216.2321,218.7046,215.7396,214.3786,3011272.0
2020-11-20,211.2078,212.0206,210.4542,211.5038,3932954.0
2020-11-19,212.7786,213.4124,211.283,212.5115,2840460.0
2020-11-18,212.3451,214.0548,211.6671,212.9165,3095154.0
2020-11-17,213.8064,215.5815,212.2396,213.4006,2443547.0
2020-11-16,215.334,216.583,213.4655,214.1119,3702131.0
2020-11-13,210.2304,210.85,208.8339,210.7036,3072628.0
2020-11-12,206.1519,206.3983,199.8222,210.4961,4257495.0
2020-11-11,218.6049,223.1234,218.0859,215.3863,4127212.0
2020-11-10,208.3695,208.6013,204.1104,210.7431,4255577.0
2020-11-09,198.0404,198.964,180.9076,210.6443,7981211.0
2020-11-06,214.4986,216.3705,212.7608,213.944,3916076.0
2020-11-05,213.9343,216.0433,212.5581,213.697,3622023.0
2020-11-04,212.146,216.5567,210.4686,212.2744,3360836.0
2020-11-03,215.3832,217.8907,213.7447,214.1811,2615017.0
2020-11-02,206.7628,207.1842,201.8878,209.9923,2983362.0
2020-10-30,209.8359,211.4273,206.206,210.427,3451419.0
2020-10-29,212.6106,215.5419,211.0063,212.3534,2477582.0
2020-10-28,208.5032,210.6051,204.7511,212.0966,3273074.0
2020-10-27,218.8046,219.5454,217.0987,220.2765,1801922.0
2020-10-26,219.1086,219.5627,213.4951,221.5608,2538058.0
2020-10-23,224.2801,224.2801,221.7396,225.9472,2278124.0
2020-10-22,227.7635,229.4035,226.8785,226.3819,1961450.0
2020-10-21,226.3859,228.6375,226.366,225.4335,1518200.0
2020-10-20,225.406,228.6469,225.0979,224.7024,1883639.0
2020-10-19,219.817,221.2247,215.6228,223.2699,2009635.0
2020-10-16,226.2047,228.3115,225.5945,226.5992,2162939.0
2020-10-15,230.367,234.2888,229.7966,226.866,2178247.0
2020-10-14,224.0926,225.1427,223.0526,224.8704,1862687.0
2020-10-13,226.2456,229.1326,225.4737,224.6036,2098972.0
2020-10-12,224.6703,226.3693,222.9814,223.3786,2412627.0
2020-10-09,220.0489,220.3204,216.3449,222.1141,3237709.0
2020-10-08,222.7862,223.7617,221.0125,223.0723,3195785.0
2020-10-07,224.6368,227.455,224.1837,223.7441,1972777.0
2020-10-06,218.7088,220.4733,215.5944,221.383,2453627.0
2020-10-05,224.5409,226.1786,223.6921,223.3391,2913824.0
2020-10-02,225.1988,231.2451,224.7743,219.9802,3833110.0
2020-10-01,214.9794,216.3473,211.2927,216.9374,2443348.0
2020-09-30,217.4528,220.7613,216.9958,216.8386,3034100.0
2020-09-29,214.3329,214.8532,212.4449,216.0384,1732275.0
2020-09-28,217.8564,219.8171,216.886,217.5993,2112107.0
2020-09-25,218.4277,222.435,216.7537,215.5444,2196831.0
2020-09-24,214.8714,218.5334,213.7107,213.5093,1727041.0
2020-09-23,209.7389,211.6805,206.4338,212.3732,2777715.0
2020-09-22,213.776,214.2995,211.9191,213.7958,2475978.0
2020-09-21,213.077,213.9651,209.407,213.7958,2831750.0
2020-09-18,216.2836,218.1866,214.8295,217.6091,3861750.0
2020-09-17,218.7903,218.8197,215.6605,219.8912,3376985.0
2020-09-16,224.7334,229.3359,223.8534,222.0943,3464160.0
2020-09-15,220.2881,222.1556,219.9305,219.6838,2640872.0
2020-09-14,218.7287,221.5857,218.3504,217.8956,2544140.0
2020-09-11,215.6733,217.1495,214.2763,215.3666,3616483.0
2020-09-10,216.128,219.8951,216.128,214.6157,3325601.0
2020-09-09,213.808,216.9604,213.2511,213.1042,3213195.0
2020-09-08,213.3979,218.5717,213.2767,211.0,4107917.0
2020-09-04,205.7135,208.0927,201.385,209.1723,3828823.0
2020-09-03,207.0435,207.0435,201.1486,211.2173,3126675.0
2020-09-02,216.6031,220.5441,216.0343,213.6179,4091998.0
2020-09-01,211.9644,214.7492,211.7046,210.1207,2926889.0
2020-08-31,210.9407,212.3929,210.2393,210.9407,2900867.0
2020-08-28,213.1511,217.0471,212.0994,211.0782,3212491.0
2020-08-27,206.3162,208.0103,204.1601,208.4067,3226762.0
2020-08-26,211.6018,213.9265,211.113,209.9487,2316855.0
2020-08-25,207.5797,207.798,205.8916,208.8585,2302456.0
2020-08-24,209.1832,210.4052,207.8725,208.829,2463937.0
2020-08-21,209.3912,211.6101,208.6931,207.7977,3484853.0
2020-08-20,207.8811,210.7478,207.8611,206.1379,2085063.0
2020-08-19,205.0795,206.0063,203.5381,205.7745,2711113.0
2020-08-18,207.6164,208.7772,205.6023,206.57,2921676.0
2020-08-17,206.6628,209.2194,206.5729,204.9494,2541592.0
2020-08-14,204.405,205.7746,203.6606,203.3387,2060237.0
2020-08-13,203.3302,204.6037,202.728,202.8083,1795023.0
2020-08-12,201.525,202.0511,200.0832,202.3467,2167353.0
2020-08-11,201.3449,203.7217,200.6083,201.3449,2478383.0
2020-08-10,200.2549,201.0487,198.478,200.4806,2783695.0
2020-08-07,202.1773,203.9669,202.1028,200.952,2979950.0
2020-08-06,203.9745,208.9205,203.5538,199.5573,3159323.0
2020-08-05,194.9831,195.4706,192.9455,195.7072,2281830.0
2020-08-04,200.2348,205.1136,199.6083,195.8054,3700233.0
2020-08-03,191.0027,192.2509,190.2753,190.9339,3143754.0
2020-07-31,190.9438,191.4601,188.4755,190.816,3195486.0
2020-07-30,192.3294,193.7121,190.278,191.9259,2705661.0
2020-07-29,192.6233,194.7428,192.0443,192.7116,3342859.0
2020-07-28,190.4507,191.6878,187.4779,192.7411,6051015.0
2020-07-27,199.8564,203.3507,199.5251,197.6617,4541727.0
2020-07-24,196.9909,199.012,195.8253,195.1769,2200026.0
2020-07-23,193.138,193.9263,190.7537,194.0277,2702178.0
2020-07-22,200.541,207.2253,200.3749,195.0786,3484707.0
2020-07-21,190.1798,192.721,189.8535,189.5392,3505366.0
2020-07-20,188.8936,190.7439,188.3691,188.1936,2175600.0
2020-07-17,188.2035,188.7544,187.0134,188.0659,1972648.0
2020-07-16,187.3197,188.9271,186.369,187.5159,2109672.0
2020-07-15,186.2817,186.3778,182.4197,188.3508,3734137.0
2020-07-14,193.0173,199.0136,192.6419,187.3195,4135951.0
2020-07-13,180.9575,184.2237,180.0897,181.6229,3223109.0
2020-07-10,182.6705,184.3205,181.9051,181.5836,2714066.0
2020-07-09,179.206,179.562,175.7416,181.0434,2331912.0
2020-07-08,182.8807,184.5863,182.1413,182.5363,2775197.0
2020-07-07,180.9971,181.4608,178.9492,182.5069,2398224.0
2020-07-06,187.6275,190.3713,185.7512,185.1391,3170459.0
2020-07-02,176.8935,176.8935,172.9773,180.2479,2689215.0
2020-07-01,181.0832,182.542,179.8789,181.3675,2193008.0
2020-06-30,182.7162,184.9937,181.6873,181.1809,3163070.0
2020-06-29,181.758,184.0329,180.3488,179.5407,2622177.0
2020-06-26,173.9894,174.4092,170.6598,176.5353,5106402.0
2020-06-25,178.7678,179.3231,175.67,179.5014,3141265.0
2020-06-24,180.3485,181.0798,176.8187,181.0041,4144862.0
2020-06-23,180.4593,180.6307,177.3842,183.2926,2950934.0
2020-06-22,185.5628,187.3287,184.4555,184.1176,3220707.0
2020-06-19,177.7735,177.8382,172.4484,183.2337,6267477.0
2020-06-18,185.6021,186.3152,183.5313,186.1114,3152684.0
2020-06-17,186.2849,187.2167,184.829,187.3882,3152759.0
