date,Open,High,Low,Close,Volume
2021-03-12,237.5029,239.34,236.7113,235.75,22591232.0
2021-03-11,239.32,243.6082,238.658,237.13,29907586.0
2021-03-10,227.9285,227.9285,223.1584,232.42,29746812.0
2021-03-09,234.6835,237.2068,233.4641,233.78,33080531.0
2021-03-08,223.4785,225.4054,219.3831,227.39,35267440.0
2021-03-05,233.7024,237.5244,230.5902,231.6,41872770.0
2021-03-04,226.725,232.4797,224.2501,226.73,44727785.0
2021-03-03,223.0559,224.425,218.3528,227.56,34029526.0
2021-03-02,230.7716,231.054,227.3053,233.87,22812459.0
2021-03-01,237.9846,239.5685,235.2103,236.94,25332837.0
2021-02-26,233.2382,237.1116,231.2385,232.38,37545055.0
2021-02-25,225.9411,228.3801,221.8522,228.99,39118089.0
2021-02-24,239.1796,244.5765,238.1293,234.55,26339746.0
2021-02-23,236.2527,240.8736,234.6166,233.27,30228704.0
2021-02-22,231.6357,232.1332,226.738,234.51,36182764.0
2021-02-19,238.2217,238.3292,234.7327,240.97,25262600.0
2021-02-18,245.7964,247.9616,244.8408,243.79,16925563.0
2021-02-17,247.1144,250.1762,246.7252,244.2,21451617.0
2021-02-16,241.8227,242.9083,239.7403,243.1424,26728487.0
2021-02-12,245.4884,246.8639,244.2776,244.4295,16561079.0
2021-02-11,243.6416,244.0099,241.0239,243.9306,15751059.0
2021-02-10,240.1088,241.0104,236.0808,242.2644,22117240.0
2021-02-09,245.1228,248.0517,244.6262,243.2123,23471475.0
2021-02-08,241.2387,241.7645,238.9171,241.9152,22211929.0
2021-02-05,241.6159,242.6633,239.8105,241.6459,18054752.0
2021-02-04,240.8095,241.385,238.537,241.4563,25296100.0
2021-02-03,245.9152,251.5814,245.597,242.444,27158104.0
2021-02-02,237.1894,238.1821,234.6238,238.962,25678356.0
2021-02-01,243.7706,251.4863,241.0432,239.1017,33314193.0
2021-01-29,227.4772,229.4339,223.0045,231.4293,42503138.0
2021-01-28,241.7424,248.9554,241.2089,238.3833,49111159.0
2021-01-27,227.3878,229.719,219.8783,232.3671,69870638.0
2021-01-26,232.2683,234.5924,230.4852,231.7984,49169601.0
2021-01-25,229.4146,230.0755,224.5083,229.0048,33152095.0
2021-01-22,224.3112,227.2648,223.0468,225.433,30172663.0
2021-01-21,224.725,226.3252,222.4447,224.4553,30749553.0
2021-01-20,230.6536,239.225,230.22,223.8267,37777260.0
2021-01-19,218.6624,221.9666,217.5167,215.9448,30480859.0
2021-01-15,211.299,212.2787,209.8245,212.1635,31746512.0
2021-01-14,209.6878,211.1932,206.6092,212.5326,29346737.0
2021-01-13,218.1848,220.9781,218.0896,215.845,20087080.0
2021-01-12,212.8832,213.4732,209.7565,214.4382,23148341.0
2021-01-11,216.019,216.4541,214.2985,216.9924,23047029.0
2021-01-08,220.0594,221.9714,218.3951,219.1175,22956206.0
2021-01-07,222.115,227.615,221.7726,217.7906,27694480.0
2021-01-06,211.8442,216.1575,211.6146,211.7644,35930653.0
2021-01-05,218.0419,219.3064,216.4763,217.4015,23822953.0
2021-01-04,212.468,212.9168,205.0971,217.1919,37130139.0
2020-12-31,222.6318,223.9373,220.6033,221.9111,20942132.0
2020-12-30,217.6868,218.0734,214.0527,221.1728,20272337.0
2020-12-29,221.5027,222.3542,218.8307,223.6372,17403213.0
2020-12-28,224.9553,226.5388,223.5221,224.4453,17762701.0
2020-12-24,223.5753,225.7866,223.3531,222.2404,10550572.0
