date,Open,High,Low,Close,Volume
2012-12-10,38.8,38.8,38.8,38.8,0.0
2012-12-07,38.8,38.8,38.8,38.8,0.0
2012-12-06,38.8,38.8,38.8,38.8,0.0
2012-12-05,38.8,38.8,38.8,38.8,0.0
2012-12-04,38.8,38.8,38.8,38.8,0.0
2012-12-03,38.8,38.8,38.8,38.8,0.0
2012-11-30,38.8,38.8,38.8,38.8,0.0
2012-11-29,38.8,38.8,38.8,38.8,0.0
2012-11-28,38.8,38.8,38.8,38.8,0.0
2012-11-27,38.8,38.8,38.8,38.8,0.0
2012-11-26,38.8,38.8,38.8,38.8,0.0
2012-11-23,38.8,38.8,38.8,38.8,0.0
2012-11-21,38.8,38.8,38.8,38.8,0.0
2012-11-20,38.8,38.8,38.8,38.8,0.0
2012-11-19,38.8,38.8,38.8,38.8,0.0
2012-11-16,38.8,38.8,38.8,38.8,0.0
2012-11-15,38.8,38.8,38.8,38.8,0.0
2012-11-14,38.8,38.8,38.8,38.8,0.0
2012-11-13,38.8,38.8,38.8,38.8,0.0
2012-11-12,38.8,38.8,38.8,38.8,0.0
2012-11-09,38.8,38.8,38.8,38.8,0.0
2012-11-08,38.8,38.8,38.8,38.8,0.0
2012-11-07,38.8,38.8,38.8,38.8,0.0
2012-11-06,38.8,38.8,38.8,38.8,0.0
2012-11-05,38.8,38.8,38.8,38.8,0.0
2012-11-02,38.8,38.8,38.8,38.8,0.0
2012-11-01,38.8,38.8,38.8,38.8,0.0
2012-10-31,38.8,38.8,38.8,38.8,0.0
2012-10-26,38.8,38.8,38.8,38.8,0.0
2012-10-25,38.8,38.8,38.8,38.8,0.0
2012-10-24,38.8,38.8,38.8,38.8,0.0
2012-10-23,38.8,38.8,38.8,38.8,0.0
2012-10-22,38.8,38.8,38.8,38.8,0.0
2012-10-19,38.8,38.8,38.8,38.8,0.0
2012-10-18,38.8,38.8,38.8,38.8,0.0
2012-10-17,38.8,38.8,38.8,38.8,0.0
2012-10-16,38.8,38.8,38.8,38.8,0.0
2012-10-15,38.8,38.8,38.8,38.8,0.0
2012-10-12,38.8,38.8,38.8,38.8,0.0
2012-10-11,38.8,38.8,38.8,38.8,0.0
2012-10-10,38.8,38.8,38.8,38.8,0.0
2012-10-09,38.8,38.8,38.8,38.8,0.0
2012-10-08,38.8,38.8,38.8,38.8,0.0
2012-10-05,38.8,38.8,38.8,38.8,0.0
2012-10-04,38.8,38.8,38.8,38.8,0.0
2012-10-03,38.8,38.8,38.8,38.8,0.0
2012-10-02,38.8,38.8,38.8,38.8,0.0
2012-10-01,38.8,38.8,38.8,38.8,0.0
2012-09-28,38.8,38.8,38.8,38.8,0.0
2012-09-27,38.8,38.8,38.8,38.8,0.0
2012-09-26,38.8,38.8,38.8,38.8,0.0
2012-09-25,38.8,38.8,38.8,38.8,0.0
2012-09-24,38.8,38.8,38.8,38.8,0.0
2012-09-21,38.8,38.8,38.8,38.8,0.0
2012-09-20,38.8,38.8,38.8,38.8,0.0
2012-09-19,38.8,38.8,38.8,38.8,0.0
2012-09-18,38.8,38.8,38.8,38.8,0.0
2012-09-17,38.8,38.8,38.8,38.8,0.0
2012-09-14,38.8,38.8,38.8,38.8,0.0
2012-09-13,38.8,38.8,38.8,38.8,0.0
2012-09-12,38.8,38.8,38.8,38.8,0.0
2012-09-11,38.8,38.8,38.8,38.8,0.0
2012-09-10,38.8,38.8,38.8,38.8,0.0
2012-09-07,38.8,38.8,38.8,38.8,0.0
2012-09-06,38.8,38.8,38.8,38.8,0.0
2012-09-05,38.8,38.8,38.8,38.8,0.0
2012-09-04,38.8,38.8,38.8,38.8,0.0
2012-08-31,38.8,38.8,38.8,38.8,0.0
2012-08-30,38.8,38.8,38.8,38.8,0.0
2012-08-29,38.8,38.8,38.8,38.8,0.0
2012-08-28,38.8,38.8,38.8,38.8,0.0
2012-08-27,38.8,38.8,38.8,38.8,0.0
2012-08-24,38.8,38.8,38.8,38.8,0.0
2012-08-23,38.8,38.8,38.8,38.8,0.0
2012-08-22,38.8,38.8,38.8,38.8,0.0
2012-08-21,38.8,38.8,38.8,38.8,0.0
2012-08-20,38.8,38.8,38.8,38.8,0.0
2012-08-17,38.8,38.8,38.8,38.8,0.0
2012-08-16,38.8,38.8,38.8,38.8,0.0
