date,Open,High,Low,Close,Volume
2021-03-12,522.6865,532.6251,520.2793,514.24,6080708.0
2021-03-11,521.4858,525.3618,512.8078,519.74,7497857.0
2021-03-10,484.2717,489.5328,469.8271,498.73,9609414.0
2021-03-09,516.9116,537.643,513.886,500.81,13045638.0
2021-03-08,431.6804,432.4172,401.0467,463.5819,13577792.0
2021-03-05,494.7869,494.7869,460.4574,498.3008,13570971.0
2021-03-04,478.0164,484.5234,451.2416,494.652,14333629.0
2021-03-03,488.3248,489.2431,465.502,512.0264,9439757.0
2021-03-02,517.0364,517.7989,498.2891,536.0787,6602853.0
2021-03-01,552.1668,554.1566,539.3624,553.4932,8829575.0
2021-02-26,546.8895,550.9457,531.3209,548.4048,12468975.0
2021-02-25,504.173,515.9947,474.4093,532.13,20304906.0
2021-02-24,595.2208,611.4049,579.7637,579.7748,11207977.0
2021-02-23,568.1811,574.7812,540.4992,565.4993,9794483.0
2021-02-22,557.7671,571.301,540.7884,574.0466,8041814.0
2021-02-19,592.9761,598.9948,585.9588,596.8693,6793103.0
2021-02-18,596.9964,602.8432,590.7545,592.9706,5852020.0
2021-02-17,585.6381,587.6654,570.5445,596.0496,6786368.0
2021-02-16,623.8386,636.6038,619.1073,613.0142,8048988.0
2021-02-12,594.7309,604.26,583.8638,598.2589,9368937.0
2021-02-11,620.847,632.9488,618.5572,609.8352,11270693.0
2021-02-10,602.668,621.0753,597.5896,590.3814,12047762.0
2021-02-09,567.2705,576.868,562.5978,570.3478,7128078.0
2021-02-08,607.2926,640.3194,607.2926,577.3655,10865571.0
2021-02-05,538.1604,538.6407,531.132,543.4664,4228841.0
2021-02-04,551.7762,557.5872,543.9003,546.3954,5033462.0
2021-02-03,536.8611,548.5051,532.1563,541.0471,6135232.0
2021-02-02,548.4893,555.5814,543.8532,542.0968,5451603.0
2021-02-01,536.7584,545.6985,530.5662,529.3109,5430108.0
2021-01-29,516.0374,526.289,509.5846,519.4241,6788801.0
2021-01-28,524.0718,537.9234,522.6302,521.8733,5707899.0
2021-01-27,504.3537,504.4585,487.7229,516.545,9281821.0
2021-01-26,531.4947,534.0116,523.9436,537.2384,4099510.0
2021-01-25,540.8651,542.6998,519.466,545.9556,6277779.0
2021-01-22,547.2239,551.2721,542.7299,548.3248,6170464.0
2021-01-21,573.0734,597.8758,566.0009,554.5228,8458490.0
2021-01-20,544.8128,558.0573,542.5274,534.4592,6464272.0
2021-01-19,521.2037,524.3163,514.3064,520.8436,5654672.0
2021-01-15,499.8909,503.566,485.5495,514.2157,6944532.0
2021-01-14,513.2698,514.2056,498.3538,527.8414,7078007.0
2021-01-13,542.7732,548.2062,538.55,541.0971,5250711.0
2021-01-12,528.7196,528.7965,513.0531,539.2177,7178074.0
2021-01-11,552.9159,575.2592,550.5981,544.686,12975720.0
2021-01-08,527.4935,529.8027,514.8415,530.9004,7313215.0
2021-01-07,549.0818,566.453,545.6522,533.5895,11537037.0
2021-01-06,481.2245,482.0434,458.0595,504.4188,14510575.0
2021-01-05,548.4988,562.892,547.965,536.0188,8068998.0
2021-01-04,524.7426,546.6965,519.0664,524.3725,14016045.0
2020-12-31,518.7945,519.3721,510.0469,522.0332,4810610.0
2020-12-30,531.952,541.1019,528.1208,525.6621,5634929.0
2020-12-29,518.2954,524.2102,514.9772,517.5646,4259304.0
2020-12-28,509.4181,509.4181,497.7449,515.8352,5286655.0
2020-12-24,517.8504,521.6338,513.9379,519.584,2447088.0
2020-12-23,510.5206,511.2524,500.854,520.2038,4478569.0
2020-12-22,529.3259,530.0412,518.7798,530.9604,4657872.0
2020-12-21,543.6192,555.895,539.16,533.1197,7558304.0
2020-12-18,526.466,527.4891,514.3265,530.7104,8551616.0
2020-12-17,532.4618,532.9697,524.9629,533.4796,5784597.0
2020-12-16,522.4297,523.0039,514.2562,529.5308,5577867.0
