date,Open,High,Low,Close,Volume
2019-07-31,2.4414,2.6321,2.3365,2.5,94000.0
2019-07-30,2.4414,2.6321,2.3365,2.5,94045.0
2019-07-29,2.4583,2.5515,2.4076,2.51,49747.0
2019-07-26,2.8377,3.0046,2.8377,2.69,16475.0
2019-07-25,2.4143,2.4143,2.0349,2.6,65293.0
2019-07-24,3.108,3.4743,3.108,2.95,46333.0
2019-07-23,2.8748,3.0629,2.8748,2.6983,810.0
2019-07-22,2.79,2.79,2.69,2.79,2030.0
2019-07-19,3.0692,3.4006,3.0692,2.77,3411.0
2019-07-18,2.7,2.8209,2.7,2.69,13752.0
2019-07-17,2.6302,2.6505,2.62,2.61,3816.0
2019-07-16,2.61,2.68,2.6,2.61,21291.0
2019-07-15,2.8134,2.9756,2.8134,2.66,6212.0
2019-07-12,2.5843,2.5843,2.3767,2.69,10512.0
2019-07-11,2.8247,3.0311,2.7269,2.71,24567.0
2019-07-10,2.8803,3.4621,2.6603,2.85,204986.0
2019-07-09,2.5748,2.5748,2.4285,2.73,3606.0
2019-07-08,2.9,2.9,2.9,2.9,1212.0
2019-07-05,2.9613,3.0238,2.9613,2.9,420.0
2019-07-03,2.79,2.79,2.79,2.79,1.0
2019-07-02,2.78,2.78,2.7701,2.79,2571.0
2019-07-01,2.9303,2.9609,2.8333,2.9,21477.0
2019-06-28,2.81,2.9,2.78,2.81,1434.0
2019-06-27,2.7103,2.7397,2.6516,2.74,6981.0
2019-06-26,2.893,3.0424,2.8823,2.8,24767.0
2019-06-25,2.81,2.82,2.68,2.81,11628.0
2019-06-24,2.9145,3.0337,2.8939,2.8,22496.0
2019-06-21,2.7703,2.7703,2.692,2.8,12422.0
2019-06-20,2.7607,2.8272,2.7026,2.82,13534.0
2019-06-19,2.82,2.82,2.82,2.82,188.0
2019-06-18,2.8522,2.8531,2.7571,2.91,7731.0
2019-06-17,3.0012,3.0846,2.97,2.94,3608.0
2019-06-14,2.7526,2.8307,2.6964,2.81,6469.0
2019-06-13,2.9929,3.0887,2.9929,2.9,17145.0
2019-06-12,2.9206,2.9617,2.8794,2.88,2563.0
2019-06-11,2.7513,2.7513,2.665,2.81,7775.0
2019-06-10,2.8713,2.939,2.8713,2.81,5600.0
2019-06-07,2.8511,2.9031,2.8511,2.8001,11337.0
2019-06-06,2.7147,2.7245,2.6874,2.7422,2355.0
2019-06-05,2.7109,2.754,2.6144,2.76,12762.0
2019-06-04,2.5591,2.5591,2.3049,2.78,33388.0
2019-06-03,2.8104,2.8498,2.659,2.8891,15834.0
2019-05-31,3.1512,3.2552,3.0368,3.09,53076.0
2019-05-30,3.3275,3.6029,3.2133,3.17,157015.0
2019-05-29,2.9526,2.9526,2.8778,3.0,37989.0
2019-05-28,3.2185,3.6513,3.2185,2.9966,7204.0
2019-05-24,2.7504,2.7504,2.4607,2.89,15267.0
2019-05-23,2.9037,3.4952,2.8929,2.8,93191.0
2019-05-22,2.7509,2.8028,2.7509,2.7,1562.0
2019-05-21,2.8446,2.964,2.6383,2.73,25839.0
2019-05-20,2.3537,2.3537,2.0729,2.59,43147.0
2019-05-17,2.6985,2.6985,2.3758,2.85,285355.0
2019-05-16,2.6904,2.6983,2.2221,3.02,65196.0
2019-05-15,3.3,3.3,3.3,3.3,222.0
2019-05-14,3.2127,3.2127,3.1185,3.305,6976.0
2019-05-13,3.3105,3.457,3.1347,3.35,7475.0
2019-05-10,3.5011,3.5736,3.4389,3.44,14664.0
2019-05-09,3.3668,3.3668,3.3668,3.3668,405.0
2019-05-08,3.404,3.4416,3.404,3.3668,354.0
2019-05-07,3.5202,3.5506,3.4492,3.495,8151.0
2019-05-06,3.5113,3.5113,3.3523,3.58,24861.0
2019-05-03,3.7469,3.8464,3.7469,3.65,727.0
2019-05-02,3.5027,3.5027,3.408,3.6,3600.0
2019-05-01,3.7201,3.801,3.6898,3.7,10357.0
2019-04-30,3.997,4.1712,3.997,3.83,934.0
2019-04-29,3.8422,3.9367,3.8422,3.75,3110.0
2019-04-26,3.7602,3.8111,3.7094,3.73,9373.0
2019-04-25,3.84,3.84,3.84,3.84,150.0
2019-04-24,3.6113,3.6113,3.5439,3.68,3854.0
2019-04-23,3.8948,3.9799,3.8682,3.8115,3108.0
2019-04-22,3.623,3.623,3.5097,3.7299,6079.0
2019-04-18,3.6714,3.7791,3.5735,3.7105,11961.0
2019-04-17,3.7216,3.7408,3.6065,3.8,14676.0
2019-04-16,3.9404,3.9502,3.8424,3.98,26693.0
2019-04-15,3.9374,3.9374,3.8135,4.0326,18645.0
2019-04-12,4.107,4.4264,4.0874,3.9865,20025.0
2019-04-11,3.9204,3.94,3.8812,3.96,7300.0
2019-04-10,4.0732,4.1372,4.0732,4.03,4699.0
2019-04-09,3.8416,3.8416,3.7648,3.92,10938.0
2019-04-08,3.7479,3.7479,3.4919,3.92,23282.0
2019-04-05,4.2557,4.6651,4.1688,4.1,53937.0
2019-04-04,3.9202,4.0389,3.9101,3.89,15589.0
2019-04-03,3.8028,4.0488,3.642,3.9099,30651.0
2019-04-02,4.0813,4.3519,4.0812,3.9999,18800.0
2019-04-01,4.0,4.16,3.89,4.0,15653.0
2019-03-29,3.5124,3.5124,3.2045,3.85,15836.0
2019-03-28,3.698,3.7071,3.5154,3.87,41343.0
2019-03-27,4.0093,4.093,3.969,4.05,2223.0
2019-03-26,4.0312,4.1182,3.8976,4.1,37568.0
2019-03-25,4.3342,4.4726,4.217,4.2,26321.0
2019-03-22,3.9879,4.1475,3.7894,4.07,27344.0
2019-03-21,4.4413,4.946,4.4413,4.15,26261.0
2019-03-20,4.3004,4.752,3.9625,4.2499,98840.0
2019-03-19,5.3819,7.1307,5.135,4.15,160284.0
2019-03-18,3.1819,3.2357,3.1057,3.26,10426.0
2019-03-15,3.5742,4.2747,3.5742,3.28,29350.0
2019-03-14,3.1679,3.3783,3.1679,3.01,6179.0
2019-03-13,3.0835,3.1905,3.0835,2.98,618.0
2019-03-12,3.1459,3.2879,3.1429,3.01,4392.0
2019-03-11,2.8097,2.9348,2.7038,2.8643,7206.0
2019-03-08,3.1192,3.4322,3.1192,2.95,13142.0
2019-03-07,2.9999,2.9999,2.9999,2.9999,1203.0
2019-03-06,2.8939,2.9776,2.4752,3.0,36042.0
2019-03-05,2.7457,2.7457,2.4319,3.1,6424.0
2019-03-04,2.9705,2.9705,2.5352,3.3993,74090.0
2019-03-01,3.43,3.78,3.22,3.43,35661.0
2019-02-28,4.0153,5.002,4.0153,3.43,195046.0
2019-02-27,3.3462,4.8672,3.3141,3.0335,236335.0
2019-02-26,2.843,3.0461,2.7896,2.75,21035.0
2019-02-25,2.519,2.5341,2.2787,2.67,12102.0
2019-02-22,3.0966,3.5412,3.0945,2.7768,6819.0
2019-02-21,2.5324,2.61,2.5324,2.4883,4825.0
2019-02-20,2.5502,2.5705,2.5502,2.53,13469.0
2019-02-19,2.4348,2.4715,2.14,2.5401,68322.0
2019-02-15,2.9739,4.3624,2.8624,2.66,187667.0
2019-02-14,2.29,2.29,2.29,2.29,105.0
2019-02-13,2.29,2.29,2.29,2.29,67.0
2019-02-12,2.2445,2.2445,2.1999,2.29,542.0
2019-02-11,2.2115,2.2115,2.1736,2.25,723.0
2019-02-08,2.33,2.33,2.33,2.33,551.0
2019-02-07,2.42,2.42,2.42,2.42,60.0
2019-02-06,2.42,2.42,2.42,2.42,2674.0
2019-02-05,2.5,2.5196,2.5,2.5,3396.0
2019-02-04,2.451,2.451,2.3837,2.5,1626.0
2019-02-01,2.8205,3.0954,2.8205,2.58,1535.0
2019-01-31,2.273,2.273,2.0381,2.431,3543.0
