date,Open,High,Low,Close,Volume
2021-03-12,79.0435,79.9251,78.7192,78.52,6047213.0
2021-03-11,77.533,79.062,77.1584,77.05,6314890.0
2021-03-10,77.7378,79.5421,77.3151,76.56,6776597.0
2021-03-09,73.6393,74.2784,72.39,74.83,6558270.0
2021-03-08,75.1133,76.3272,74.5507,75.61,7232303.0
2021-03-05,75.13,75.4646,73.0029,75.18,6661930.0
2021-03-04,73.8248,75.2419,71.5811,74.42,8284190.0
2021-03-03,75.341,76.9374,75.193,75.07,5960710.0
2021-03-02,75.0317,76.1514,74.9207,74.67,5792320.0
2021-03-01,75.2198,77.0924,74.8003,74.36,10910488.0
2021-02-26,70.1009,70.1009,68.2614,71.99,7897550.0
2021-02-25,70.1255,70.5463,66.7318,73.32,9408589.0
2021-02-24,80.7898,85.1239,80.0602,77.1701,11159303.0
2021-02-23,74.0946,74.7002,73.2064,73.5137,11686692.0
2021-02-22,73.283,75.3218,73.2526,72.5301,10482398.0
2021-02-19,74.6668,75.6131,74.3819,73.782,6275907.0
2021-02-18,72.8206,73.4034,72.3684,72.4109,4904599.0
2021-02-17,73.3629,74.2966,73.1498,72.5897,5180976.0
2021-02-16,71.9148,72.3196,71.125,72.1426,6110513.0
2021-02-12,72.663,73.3988,72.3858,72.1426,4207544.0
2021-02-11,71.7256,72.4382,70.439,71.8644,4535812.0
2021-02-10,71.7165,72.0911,71.1054,72.0035,3925401.0
2021-02-09,73.3634,74.4671,72.6678,72.5699,6260292.0
2021-02-08,72.2327,72.6324,71.763,72.0234,4964256.0
2021-02-05,70.8651,71.377,69.5608,71.8644,7952948.0
2021-02-04,73.8481,75.6561,73.4948,72.2122,9024262.0
2021-02-03,70.95,72.1247,70.5537,70.1257,8369994.0
2021-02-02,72.2322,75.1676,72.1041,69.6885,8022286.0
2021-02-01,65.8991,65.8991,64.4661,66.529,5993950.0
2021-01-29,65.9251,66.3671,64.9427,66.3005,15649057.0
2021-01-28,69.4948,72.4759,69.2543,67.7312,8753242.0
2021-01-27,64.0516,65.2162,62.8004,65.0784,12376957.0
2021-01-26,64.8378,66.4587,62.9545,66.7675,13322200.0
2021-01-25,66.0927,66.5731,65.0719,65.8534,10514045.0
2021-01-22,67.0062,67.3921,66.4125,67.145,4558065.0
2021-01-21,67.4537,67.819,66.9799,67.6716,7375133.0
2021-01-20,67.7766,67.8352,66.9425,68.3969,4657716.0
2021-01-19,68.4988,68.7638,67.8803,68.9135,7381835.0
2021-01-15,67.6691,67.6884,66.3602,68.7546,6980754.0
2021-01-14,70.4238,71.7827,69.9775,70.4834,9712524.0
2021-01-13,69.2603,69.406,67.7886,70.0462,7032644.0
2021-01-12,72.9256,75.0499,72.8,71.0596,5348963.0
2021-01-11,70.3689,71.4523,70.0928,69.3507,4569327.0
2021-01-08,69.3111,69.43,68.0628,69.4103,5158100.0
2021-01-07,68.7691,69.2774,68.1239,69.3308,8771409.0
2021-01-06,71.6421,74.7693,71.5897,69.8276,8753767.0
2021-01-05,69.6352,70.7695,69.2706,68.9732,6436782.0
2021-01-04,65.1797,65.344,62.3763,67.9895,7660481.0
2020-12-31,71.209,71.5583,70.7998,71.0497,4177011.0
2020-12-30,71.7656,72.926,71.6027,70.9007,5015547.0
2020-12-29,69.2376,69.3351,67.9406,69.8872,3670270.0
2020-12-28,70.1059,70.8595,69.7511,70.1754,2907294.0
2020-12-24,69.1485,69.1485,68.1155,69.8177,1758644.0
