date,Open,High,Low,Close,Volume
2021-03-12,2.8206,2.8206,2.6552,2.86,682636.0
2021-03-11,2.9823,3.0669,2.9611,2.9,1124706.0
2021-03-10,2.9345,3.1402,2.9128,2.82,1366594.0
2021-03-09,2.6803,2.6803,2.6119,2.71,555699.0
2021-03-08,2.6706,2.6706,2.5735,2.71,521939.0
2021-03-05,2.7803,2.8212,2.6832,2.75,620706.0
2021-03-04,2.6335,2.6521,2.5126,2.73,860628.0
2021-03-03,2.8203,2.8203,2.6832,2.85,565684.0
2021-03-02,2.8206,2.8206,2.7041,2.86,692981.0
2021-03-01,2.8703,2.9112,2.8499,2.84,482586.0
2021-02-26,2.6078,2.6168,2.4279,2.75,676978.0
2021-02-25,2.87,3.0577,2.8055,2.88,1013425.0
2021-02-24,2.8603,2.9318,2.84,2.83,485402.0
2021-02-23,2.665,2.665,2.3617,2.78,1231866.0
2021-02-22,2.9,2.92,2.84,2.9,904474.0
2021-02-19,2.79,2.82,2.66,2.79,899856.0
2021-02-18,2.6287,2.7181,2.4679,2.78,1357101.0
2021-02-17,2.9032,2.9501,2.7347,3.0,1517775.0
2021-02-16,3.2448,3.407,3.0501,3.12,2170594.0
2021-02-12,3.1557,3.6065,3.0806,2.82,1954160.0
2021-02-11,2.7434,3.0954,2.7434,2.49,964271.0
2021-02-10,2.3004,2.362,2.1977,2.27,768703.0
2021-02-09,2.2804,2.3908,2.1571,2.25,812125.0
2021-02-08,2.2211,2.2881,2.1158,2.27,821452.0
2021-02-05,2.5766,2.8129,2.5411,2.37,801824.0
2021-02-04,2.3269,2.4724,2.2262,2.2,601733.0
2021-02-03,2.2187,2.445,2.2073,2.08,1314751.0
2021-02-02,2.02,2.1009,1.8887,2.01,917964.0
2021-02-01,1.9808,2.0642,1.8662,1.94,1114801.0
2021-01-29,1.9162,2.5832,1.9041,1.74,1904588.0
2021-01-28,1.6802,1.7212,1.6598,1.66,194443.0
2021-01-27,1.6301,1.6498,1.551,1.64,603779.0
2021-01-26,1.7101,1.7101,1.6359,1.72,222028.0
2021-01-25,1.6814,1.6814,1.5208,1.73,313844.0
2021-01-22,1.8814,1.9343,1.7757,1.83,425694.0
2021-01-21,1.83,1.87,1.76,1.83,268381.0
2021-01-20,1.83,1.8699,1.77,1.83,263838.0
2021-01-19,1.8805,1.9528,1.8598,1.85,345524.0
2021-01-15,1.7434,1.8168,1.6608,1.82,651039.0
2021-01-14,2.1309,2.4511,2.1185,1.92,860121.0
2021-01-13,1.7014,1.7014,1.588,1.75,387718.0
2021-01-12,1.9286,2.0663,1.9171,1.8,868100.0
2021-01-11,1.6602,1.7384,1.5637,1.68,872061.0
2021-01-08,2.005,2.3104,2.005,1.74,803137.0
2021-01-07,1.6765,1.9231,1.6642,1.51,794196.0
2021-01-06,1.38,1.41,1.32,1.38,367857.0
2021-01-05,1.3501,1.3796,1.3304,1.36,502563.0
2021-01-04,1.3807,1.433,1.3702,1.35,356487.0
2020-12-31,1.3,1.32,1.3,1.3,147829.0
2020-12-30,1.3101,1.3405,1.2898,1.3,301949.0
2020-12-29,1.2901,1.3104,1.2799,1.28,136193.0
2020-12-28,1.333,1.4211,1.333,1.27,555042.0
2020-12-24,1.2203,1.2514,1.2203,1.2,74078.0
2020-12-23,1.2203,1.241,1.1997,1.2,135985.0
2020-12-22,1.1701,1.1897,1.1405,1.18,369282.0
2020-12-21,1.2208,1.2629,1.2208,1.19,391207.0
2020-12-18,1.2414,1.3591,1.2039,1.2,1072438.0
2020-12-17,1.16,1.175,1.14,1.16,211296.0
2020-12-16,1.1014,1.1107,1.064,1.14,241284.0
2020-12-15,1.16,1.19,1.15,1.16,96585.0
2020-12-14,1.1403,1.15,1.121,1.16,154759.0
2020-12-11,1.1401,1.1696,1.1303,1.15,114548.0
2020-12-10,1.1801,1.2106,1.1597,1.17,96707.0
2020-12-09,1.1908,1.2435,1.1803,1.16,194108.0
2020-12-08,1.15,1.17,1.13,1.15,166696.0
2020-12-07,1.1501,1.1582,1.1206,1.16,168620.0
2020-12-04,1.2544,1.3448,1.2205,1.18,642020.0
2020-12-03,1.0814,1.0907,1.0441,1.12,240790.0
2020-12-02,1.1701,1.2108,1.1464,1.16,170245.0
2020-12-01,1.0367,1.071,0.9339,1.12,347640.0
2020-11-30,1.2101,1.2203,1.1999,1.2,197830.0
2020-11-27,1.1901,1.2003,1.1697,1.18,156113.0
2020-11-25,1.1303,1.1303,1.0724,1.15,144294.0
2020-11-24,1.1601,1.2008,1.1092,1.15,363749.0
2020-11-23,1.1408,1.2042,1.1303,1.11,241501.0
2020-11-20,1.1009,1.1326,1.1009,1.07,92042.0
2020-11-19,1.1125,1.1675,1.0974,1.06,151575.0
2020-11-18,0.9909,1.0003,0.9531,1.02,89602.0
2020-11-17,1.0004,1.01,0.9811,1.02,103466.0
2020-11-16,1.0704,1.0912,1.0392,1.05,179814.0
2020-11-13,0.9901,1.0195,0.9617,1.0,164200.0
2020-11-12,0.9909,1.0003,0.9362,1.02,241475.0
2020-11-11,0.9231,0.9407,0.8374,0.9845,279475.0
2020-11-10,1.0604,1.0916,1.0375,1.04,139211.0
2020-11-09,1.0005,1.021,0.961,1.0,323354.0
2020-11-06,0.8803,0.8821,0.8171,0.9135,133073.0
2020-11-05,1.0573,1.2007,1.0573,0.948,227880.0
2020-11-04,0.8381,0.866,0.8088,0.8685,132065.0
2020-11-03,0.8953,0.9428,0.8851,0.8876,114791.0
2020-11-02,0.8091,0.8187,0.7406,0.853,285637.0
2020-10-30,0.8544,0.8716,0.8173,0.8866,218818.0
2020-10-29,0.9284,0.9772,0.9284,0.9039,323751.0
2020-10-28,0.8512,0.859,0.8082,0.8801,191759.0
2020-10-27,0.8719,0.8794,0.826,0.9101,343551.0
2020-10-26,0.8658,0.8666,0.7983,0.93,203300.0
2020-10-23,0.9661,0.9954,0.9466,0.978,77632.0
2020-10-22,1.01,1.03,1.0,1.01,117292.0
2020-10-21,1.0404,1.0716,1.0196,1.02,185417.0
2020-10-20,0.9254,0.9254,0.8792,0.962,218696.0
2020-10-19,0.9659,0.9755,0.8815,0.9877,374779.0
2020-10-16,1.01,1.0201,1.01,1.01,106307.0
2020-10-15,1.0609,1.0927,1.0609,1.03,228113.0
2020-10-14,1.0004,1.01,0.9811,1.02,134016.0
2020-10-13,1.0204,1.03,0.9915,1.04,54142.0
2020-10-12,1.1004,1.1211,1.09,1.08,48260.0
2020-10-09,1.0901,1.1105,1.0799,1.08,70068.0
2020-10-08,1.0601,1.0601,1.0208,1.07,87144.0
2020-10-07,1.0904,1.1215,1.08,1.07,60814.0
2020-10-06,1.0501,1.0697,1.0305,1.06,100558.0
2020-10-05,1.0108,1.0297,0.9825,1.04,471756.0
2020-10-02,0.9932,0.9932,0.9396,1.05,170101.0
2020-10-01,1.1635,1.253,1.1635,1.1,160839.0
2020-09-30,1.03,1.07,1.03,1.03,37658.0
2020-09-29,1.0601,1.0805,1.0601,1.05,48606.0
2020-09-28,1.0809,1.1233,1.0703,1.05,153158.0
2020-09-25,1.0504,1.092,1.0504,1.03,91211.0
2020-09-24,1.0401,1.0707,1.0299,1.03,52817.0
2020-09-23,1.0004,1.0382,0.9715,1.02,117593.0
2020-09-22,1.0108,1.0297,0.9542,1.04,70085.0
2020-09-21,1.0222,1.0314,0.9583,1.07,91791.0
2020-09-18,1.1501,1.1704,1.1297,1.14,175509.0
2020-09-17,1.1201,1.1608,1.0997,1.11,73465.0
2020-09-16,1.1408,1.2042,1.1091,1.11,300171.0
2020-09-15,1.1109,1.1743,1.1003,1.08,198331.0
2020-09-14,1.03,1.05,1.02,1.03,70049.0
2020-09-11,1.02,1.05,1.01,1.02,55759.0
2020-09-10,1.02,1.055,0.9907,1.02,199467.0
2020-09-09,1.02,1.06,0.99,1.02,102220.0
2020-09-08,0.9815,0.9844,0.926,1.02,144312.0
2020-09-04,1.0701,1.0905,1.0599,1.06,50417.0
2020-09-03,0.9923,0.9923,0.9286,1.04,209298.0
2020-09-02,1.0504,1.0696,1.0111,1.07,202141.0
2020-09-01,1.0614,1.0686,1.0149,1.1,117373.0
2020-08-31,1.0904,1.1,1.0518,1.11,96441.0
2020-08-28,1.1715,1.2467,1.1715,1.13,79602.0
2020-08-27,1.0422,1.0605,0.9873,1.09,137360.0
2020-08-26,1.14,1.18,1.14,1.14,54521.0
2020-08-25,1.15,1.2,1.1401,1.15,112596.0
2020-08-24,1.14,1.18,1.13,1.14,164768.0
2020-08-21,1.1303,1.1303,1.1014,1.15,88220.0
2020-08-20,1.1903,1.211,1.1593,1.17,104580.0
2020-08-19,1.1121,1.1183,1.0477,1.16,88280.0
2020-08-18,1.22,1.24,1.185,1.22,34666.0
2020-08-17,1.2103,1.2297,1.1619,1.23,125066.0
2020-08-14,1.3021,1.378,1.2912,1.25,143883.0
2020-08-13,1.1813,1.186,1.1156,1.22,122284.0
2020-08-12,1.2703,1.3116,1.26,1.25,130065.0
2020-08-11,1.3271,1.4552,1.3271,1.23,281407.0
2020-08-10,1.0298,1.0381,0.8844,1.13,619939.0
2020-08-07,1.2503,1.2917,1.2503,1.23,61546.0
2020-08-06,1.2608,1.3133,1.2608,1.23,92287.0
2020-08-05,1.2012,1.2106,1.1449,1.24,156589.0
2020-08-04,1.34,1.34,1.29,1.34,135336.0
2020-08-03,1.2612,1.2612,1.1953,1.3,111985.0
2020-07-31,1.3103,1.3491,1.2618,1.33,147071.0
2020-07-30,1.4338,1.5561,1.4043,1.36,207592.0
2020-07-29,1.3203,1.3925,1.31,1.3,692884.0
2020-07-28,1.2721,1.381,1.2504,1.22,221539.0
2020-07-27,1.1801,1.1903,1.1597,1.17,40591.0
2020-07-24,1.16,1.18,1.13,1.16,59303.0
2020-07-23,1.15,1.18,1.12,1.15,163028.0
2020-07-22,1.1403,1.15,1.1162,1.16,98577.0
2020-07-21,1.1413,1.1413,1.0945,1.18,86593.0
2020-07-20,1.2101,1.2508,1.1694,1.2,158616.0
2020-07-17,1.1803,1.19,1.161,1.2,63087.0
2020-07-16,1.2003,1.2294,1.181,1.22,51295.0
2020-07-15,1.2203,1.2203,1.1913,1.24,96864.0
2020-07-14,1.2401,1.2502,1.2299,1.23,74019.0
2020-07-13,1.0893,1.0893,0.9971,1.19,96051.0
2020-07-10,1.3554,1.4579,1.3554,1.27,137841.0
2020-07-09,1.142,1.142,1.0683,1.19,118672.0
2020-07-08,1.2503,1.2917,1.24,1.23,102172.0
2020-07-07,1.2303,1.282,1.2303,1.21,77870.0
2020-07-06,1.2301,1.2596,1.2104,1.24,136908.0
