date,Open,High,Low,Close,Volume
2021-03-12,95.9991,98.7039,95.9991,93.3942,2095.0
2021-03-11,92.8266,93.5329,92.8266,92.4124,619.0
2021-03-10,89.8891,89.8891,88.6932,90.418,10481.0
2021-03-09,88.3501,88.3501,87.3523,88.8884,2125.0
2021-03-08,87.3142,89.6093,87.3142,86.8358,3691.0
2021-03-05,86.337,87.2816,84.1329,85.6659,1517.0
2021-03-04,83.4099,83.52,81.5768,83.3399,1558.0
2021-03-03,86.2779,86.2779,86.2779,86.2779,449.0
2021-03-02,87.0251,87.0251,84.9076,89.1955,458.0
2021-03-01,92.0621,93.9689,92.0621,90.6807,652.0
2021-02-26,87.5941,87.609,87.2877,87.9015,593.0
2021-02-25,82.4202,82.4202,78.4386,86.6039,1406.0
2021-02-24,93.2573,94.9035,92.2113,91.6396,3880.0
2021-02-23,94.6067,97.7115,91.3319,91.6006,16003.0
2021-02-22,92.7696,95.0991,92.7696,91.3743,2057.0
2021-02-19,92.6815,92.6815,91.6497,93.05,7541.0
2021-02-18,93.42,93.42,93.22,93.42,1251.0
2021-02-17,94.8656,96.3078,94.8656,93.4675,1852.0
2021-02-16,91.8063,91.8358,91.0389,92.5551,1707.0
2021-02-12,92.8769,93.1416,92.8769,92.6131,622.0
2021-02-11,91.8672,92.075,91.4017,92.3125,4706.0
2021-02-10,92.4965,92.4965,91.2093,92.9571,3885.0
2021-02-09,94.2269,95.0408,94.2269,93.42,1357.0
2021-02-08,93.3112,93.6688,92.7066,92.9549,37795.0
2021-02-05,92.6772,93.4914,92.6772,91.8701,598.0
2021-02-04,90.9943,91.4092,90.9842,90.5812,752.0
2021-02-03,87.011,87.1868,85.7974,88.2418,1387.0
2021-02-02,88.6428,88.6428,88.316,88.9708,499.0
2021-02-01,85.8922,85.8922,85.8922,85.8922,330.0
2021-01-29,82.0843,82.1037,80.8884,83.2686,1071.0
2021-01-28,85.203,85.203,83.5015,86.408,964.0
2021-01-27,81.1315,81.1692,78.7924,83.54,1851.0
2021-01-26,89.555,89.9142,89.555,89.1973,652.0
2021-01-25,87.855,87.855,87.1608,88.5547,432.0
2021-01-22,89.3014,89.6417,89.3014,89.2557,949.0
2021-01-21,89.5573,90.3617,88.8621,89.8681,13211.0
2021-01-20,91.1823,93.0493,88.5268,89.3528,1803.0
2021-01-19,85.0026,85.0039,85.0026,85.0013,344.0
2021-01-15,84.8423,84.8423,84.8423,84.8423,127.0
2021-01-14,84.7348,84.7348,83.5188,85.9684,410.0
2021-01-13,87.2058,87.506,87.2058,87.1779,819.0
2021-01-12,87.243,87.7235,86.7476,86.7652,1425.0
2021-01-11,87.6696,89.7823,84.1347,86.36,1541.0
2021-01-08,87.519,87.6437,87.4488,87.3944,13914.0
2021-01-07,86.9727,88.3652,85.9615,86.49,11396.0
2021-01-06,89.2482,94.4223,89.2482,84.9979,2782.0
2021-01-05,85.5988,86.4765,85.5988,84.73,774.0
2021-01-04,80.145,80.145,75.0156,83.89,10452.0
2020-12-31,87.2069,87.5474,87.2069,86.8678,197.0
2020-12-30,85.7845,86.7983,84.683,86.8852,14012.0
2020-12-29,86.8338,86.8338,86.5696,86.9693,841.0
2020-12-28,88.2187,90.3742,87.9801,86.6097,1188.0
2020-12-24,84.2617,84.464,84.2617,84.0599,555.0
2020-12-23,84.4389,84.5936,84.341,84.5369,512.0
2020-12-22,84.0704,84.1056,83.7417,84.0352,726.0
2020-12-21,83.0807,83.0807,79.4571,84.4048,1257.0
2020-12-18,83.2847,83.2847,81.0761,85.1221,667.0
2020-12-17,86.0052,86.0328,85.4198,85.9776,2316.0
2020-12-16,85.3304,85.3304,85.3304,85.3304,352.0
2020-12-15,84.9434,85.7411,84.5664,84.153,4316.0
2020-12-14,82.8648,82.9373,82.8136,82.9161,809.0
2020-12-11,82.2061,83.207,82.2061,81.7568,1607.0
2020-12-10,81.4226,81.4226,81.1438,81.6011,828.0
2020-12-09,80.2603,80.3532,78.934,81.6088,1134.0
2020-12-08,82.686,82.686,82.686,82.686,245.0
2020-12-07,82.5618,82.5618,81.5827,82.6009,665.0
2020-12-04,82.64,82.64,82.64,82.64,230.0
2020-12-03,81.97,82.2385,81.5492,82.3929,912.0
2020-12-02,83.4974,84.2923,83.4974,82.71,1177.0
2020-12-01,83.5901,84.5335,83.52,82.9521,1688.0
2020-11-30,80.5144,80.5144,79.9562,81.0057,1179.0
2020-11-27,80.9955,80.9955,80.1661,81.8334,384.0
2020-11-25,81.2807,81.2807,80.5577,81.6744,759.0
2020-11-24,81.3119,81.9451,81.0901,80.945,3084.0
2020-11-23,78.8196,79.023,78.8196,78.6168,1349.0
2020-11-20,76.8224,76.8224,76.2061,77.4437,712.0
2020-11-19,78.4525,78.8011,78.4273,78.1055,665.0
2020-11-18,76.6234,76.7403,75.6298,77.6301,732.0
2020-11-17,78.1213,78.1213,77.6466,78.5495,474.0
2020-11-16,79.5207,80.3884,79.5105,78.7567,1705.0
2020-11-13,77.8956,78.6544,77.8956,77.1442,998.0
2020-11-12,75.0536,75.0536,75.0536,75.0536,185.0
2020-11-11,76.5335,76.6355,76.3631,76.4317,471.0
2020-11-10,74.2787,74.2787,72.653,74.8323,1532.0
2020-11-09,73.3851,75.7223,70.8144,76.0492,12807.0
2020-11-06,78.3055,80.1084,77.7303,76.5736,2663.0
2020-11-05,76.084,76.3817,75.7828,76.3864,1537.0
2020-11-04,74.0471,75.711,74.0369,73.2897,1510.0
2020-11-03,69.927,70.2984,69.927,69.5575,428.0
2020-11-02,65.3149,67.138,63.1677,66.4132,2174.0
2020-10-30,65.6688,65.6788,65.4989,65.8392,1504.0
2020-10-29,71.832,73.5906,71.832,70.1155,858.0
2020-10-28,65.9375,65.9375,63.8673,68.0747,3357.0
2020-10-27,72.6008,72.9017,72.1393,72.4853,862.0
2020-10-26,70.4075,70.5249,69.1949,71.1993,10679.0
2020-10-23,75.0797,75.7176,74.0932,74.4472,1059.0
2020-10-22,73.5207,73.7512,73.5207,73.4353,1390.0
2020-10-21,73.3215,73.3215,73.3215,73.3215,64.0
2020-10-20,74.4622,74.6591,74.4622,74.2659,346.0
2020-10-19,71.2851,71.2851,69.0084,73.3981,1097.0
2020-10-16,74.1228,74.1228,72.2571,76.0367,4055.0
2020-10-15,78.5051,80.2446,77.0469,76.9216,44359.0
2020-10-14,74.6186,74.6186,70.8703,77.146,4778.0
2020-10-13,78.9696,80.0853,78.4692,79.4732,29002.0
2020-10-12,79.7851,81.2678,78.529,78.6292,3515.0
2020-10-09,75.7362,75.7362,75.6096,75.863,2209.0
2020-10-08,74.4328,74.7361,74.4328,74.1308,735.0
2020-10-07,73.7646,73.7646,73.7646,73.7646,142.0
2020-10-06,68.55,68.83,66.2239,70.9577,3639.0
2020-10-05,75.2427,77.0792,75.2427,73.45,902.0
2020-10-02,72.7209,74.2398,72.3285,71.5409,11356.0
2020-10-01,73.9451,74.8386,73.9451,73.0623,716.0
2020-09-30,71.8358,73.2308,71.8258,71.19,2035.0
2020-09-29,69.0288,69.0288,68.0567,70.0124,1244.0
2020-09-28,71.7985,72.9667,71.737,70.9239,8694.0
2020-09-25,71.5435,74.9201,71.5435,68.3191,597.0
2020-09-24,66.9195,68.4295,66.3073,66.2514,1827.0
2020-09-23,64.9804,65.1257,63.9649,66.012,739.0
2020-09-22,72.2747,74.9015,72.2747,69.8,1211.0
2020-09-21,67.676,69.055,65.3646,66.3245,7796.0
2020-09-18,69.2287,70.8481,68.4221,67.6463,1754.0
2020-09-17,68.1842,68.1842,65.4087,69.2143,2404.0
2020-09-16,71.2844,72.2042,70.8947,71.6761,1059.0
2020-09-15,72.9517,73.7522,72.9517,72.4743,982.0
2020-09-14,70.0177,70.0276,69.1818,70.8637,670.0
2020-09-11,69.0024,69.0024,68.1592,69.8559,262.0
2020-09-10,65.7321,65.7321,60.8281,70.9907,3067.0
2020-09-09,75.194,77.9091,75.194,73.4416,2423.0
2020-09-08,70.9965,71.7937,70.9965,70.6725,1448.0
2020-09-04,68.276,68.276,60.5632,72.8779,6323.0
2020-09-03,70.5744,70.5744,65.3303,75.0707,1727.0
2020-09-02,81.1793,82.3587,79.5385,80.1633,4841.0
2020-09-01,78.6853,78.6853,78.6853,78.6853,133.0
2020-08-31,77.5738,78.2135,77.5738,76.9393,636.0
2020-08-28,77.1609,77.4278,77.1609,76.895,207.0
2020-08-27,73.9709,73.9709,71.5851,75.7149,4500.0
2020-08-26,80.5079,84.0795,80.5079,77.3287,2441.0
2020-08-25,73.162,73.162,72.8056,73.5201,330.0
2020-08-24,72.8649,72.8649,71.9567,72.9374,3242.0
2020-08-21,71.2134,71.2134,71.2134,71.2134,222.0
2020-08-20,71.3126,71.3126,71.3126,71.3126,164.0
2020-08-19,69.8161,69.8547,68.5211,71.1356,5443.0
2020-08-18,73.5168,74.8059,73.2116,72.25,881.0
2020-08-17,70.7404,70.7404,70.7404,70.7404,249.0
2020-08-14,69.5741,69.5741,69.5741,69.5741,219.0
2020-08-13,69.5953,69.5953,69.5953,69.5953,72.0
2020-08-12,69.5725,69.5725,69.5725,69.5725,203.0
2020-08-11,66.9713,67.7059,66.2803,67.6695,1076.0
2020-08-10,67.5277,67.5277,67.0761,67.9823,956.0
2020-08-07,68.1535,68.1535,68.1535,68.1535,470.0
2020-08-06,68.8786,68.8786,68.8786,68.8786,69.0
2020-08-05,67.7508,67.9875,67.7508,67.515,222.0
2020-08-04,66.0603,66.0603,66.0603,66.0603,95.0
2020-08-03,64.5396,64.5396,64.2717,64.7918,1082.0
2020-07-31,64.3052,64.3052,64.3052,64.3052,54.0
2020-07-30,63.7075,63.7075,63.7075,63.7075,297.0
2020-07-29,63.528,63.528,63.528,63.528,166.0
2020-07-28,62.4816,62.4816,62.4816,62.4816,12.0
2020-07-27,63.6014,63.6014,63.4219,63.6832,770.0
2020-07-24,64.1997,66.0285,64.1997,62.71,946.0
2020-07-23,62.446,62.446,62.446,62.446,156.0
2020-07-22,64.7375,64.7375,64.7375,64.7375,134.0
2020-07-21,63.8725,64.865,63.3837,64.275,1310.0
