date,Open,High,Low,Close,Volume
2021-03-12,210.5447,214.1744,209.4057,207.84,435551.0
2021-03-11,205.2606,208.1809,203.8652,205.6,480789.0
2021-03-10,208.6969,214.2776,205.8278,204.69,626023.0
2021-03-09,194.1055,196.3926,189.4837,198.84,634971.0
2021-03-08,208.3119,219.0859,207.4291,201.99,963983.0
2021-03-05,202.2524,210.5468,198.4325,195.25,732099.0
2021-03-04,183.1496,186.6517,176.79,186.72,666806.0
2021-03-03,187.9586,190.1283,184.0454,190.98,539408.0
2021-03-02,189.7558,191.5924,185.5662,194.02,554354.0
2021-03-01,202.2629,207.4425,201.6506,197.7,681145.0
2021-02-26,190.4708,193.6639,187.7798,190.08,659935.0
2021-02-25,185.3125,188.4679,180.383,188.12,597844.0
2021-02-24,192.9505,195.2422,190.859,192.2426,575240.0
2021-02-23,191.7461,192.4878,185.1754,191.5373,598754.0
2021-02-22,189.2184,189.6067,185.656,191.4181,645043.0
2021-02-19,198.5327,205.4475,198.5327,194.0506,616436.0
2021-02-18,186.6391,187.7165,182.0839,189.6598,597337.0
2021-02-17,191.446,191.9167,189.7497,192.6896,473438.0
2021-02-16,189.9203,190.0429,183.8276,194.9149,602336.0
2021-02-12,203.4542,208.8645,203.3708,198.6103,463960.0
2021-02-11,194.4812,195.8012,191.3192,195.3023,450136.0
2021-02-10,193.5152,194.8809,188.8728,196.3255,495268.0
2021-02-09,196.8781,198.1846,195.1197,197.9845,543195.0
2021-02-08,204.6199,210.7575,203.4133,199.107,756749.0
2021-02-05,196.7857,202.2997,194.0391,192.2923,981303.0
2021-02-04,183.9287,185.4526,179.9933,186.6597,812427.0
2021-02-03,190.5565,193.7195,187.2985,189.8386,695424.0
2021-02-02,191.8216,195.6238,188.7265,188.8551,919048.0
2021-02-01,185.8565,187.9046,180.2718,185.3285,975434.0
2021-01-29,174.8827,175.4039,166.1116,183.8683,1511453.0
2021-01-28,182.3784,182.3784,169.0893,193.3155,2464597.0
2021-01-27,218.6572,229.0267,217.633,210.998,1765102.0
2021-01-26,208.4813,213.7901,206.5919,205.0575,756671.0
2021-01-25,205.1664,216.6907,205.1664,201.6799,1150391.0
2021-01-22,201.6944,206.7186,199.6549,196.9016,599611.0
2021-01-21,192.8135,194.2989,191.3773,193.7625,628274.0
2021-01-20,190.6578,194.0206,186.1677,194.4182,869617.0
2021-01-19,201.154,207.9107,200.8239,197.3983,654737.0
2021-01-15,195.5782,198.6305,193.93,193.2559,732394.0
2021-01-14,193.1491,196.087,191.4127,191.5969,1038215.0
2021-01-13,196.8132,206.2513,195.9138,190.7028,1147979.0
2021-01-12,185.8164,189.0097,184.1992,183.0636,1053894.0
2021-01-11,181.55,186.0059,181.3456,178.9907,671910.0
2021-01-08,175.3276,176.23,169.2223,178.3549,816251.0
2021-01-07,185.6819,191.0503,184.1496,181.2655,615554.0
2021-01-06,177.0643,180.012,173.5527,177.441,916327.0
2021-01-05,179.529,181.8346,174.014,177.5502,1009573.0
2021-01-04,170.3586,170.5547,163.7209,175.7323,886865.0
2020-12-31,175.9452,175.9452,172.4346,179.2986,535006.0
2020-12-30,183.4116,185.0799,182.9534,183.1729,373070.0
2020-12-29,180.0254,181.119,176.2344,181.9907,399150.0
2020-12-28,175.7309,175.8488,167.7996,183.9676,566706.0
2020-12-24,195.0237,198.3881,193.4646,191.9247,302646.0
2020-12-23,189.1971,191.6442,188.1441,188.2988,434484.0
2020-12-22,188.3457,191.1405,187.7382,186.5504,454929.0
2020-12-21,186.6886,188.8344,184.3011,185.3882,500946.0
2020-12-18,184.6369,185.372,180.3235,187.1266,1392394.0
2020-12-17,191.2454,193.0162,188.9383,189.4909,648662.0
2020-12-16,183.598,185.7307,180.7624,185.855,561332.0
2020-12-15,191.0927,195.7003,189.8529,187.3849,600093.0
2020-12-14,180.5877,181.7509,178.2758,182.8152,661379.0
2020-12-11,183.7348,186.2863,183.1485,182.7159,604547.0
2020-12-10,179.6791,180.4215,176.876,181.2059,638325.0
2020-12-09,181.8239,183.4811,179.5009,183.8186,721066.0
2020-12-08,181.6033,183.6564,178.4461,183.9279,551708.0
2020-12-07,192.4752,197.8917,191.487,187.6034,780809.0
2020-12-04,180.0477,181.3865,176.253,182.855,697283.0
2020-12-03,186.2843,187.8695,183.474,185.6564,1043350.0
2020-12-02,173.1724,173.3332,164.011,182.5669,992062.0
2020-12-01,189.9721,191.8583,186.2868,192.5208,737357.0
2020-11-30,188.5301,188.7568,181.9453,193.3254,710017.0
2020-11-27,200.6018,201.8656,198.8264,199.6335,181964.0
2020-11-25,199.3769,201.665,196.8639,198.799,522727.0
2020-11-24,198.097,202.7777,197.1805,198.8984,732529.0
2020-11-23,201.8281,207.5259,200.1141,197.3685,609415.0
2020-11-20,191.6664,193.2564,189.9076,191.6366,536827.0
2020-11-19,191.767,194.1231,188.9417,191.2889,466032.0
2020-11-18,193.9517,199.5217,193.6686,191.6443,645868.0
2020-11-17,190.358,193.0832,188.2159,188.5846,572624.0
2020-11-16,184.9114,186.0509,180.3728,186.1467,832448.0
2020-11-13,189.0091,193.2567,188.4956,186.275,432432.0
2020-11-12,180.1177,181.1863,176.3482,181.5473,630357.0
2020-11-11,183.3657,184.131,181.169,182.7219,617004.0
2020-11-10,182.2018,185.7051,180.8567,180.6689,758751.0
2020-11-09,157.1911,158.395,138.4202,178.3396,1137665.0
2020-11-06,201.4346,205.1555,199.9873,199.0171,464079.0
2020-11-05,197.8167,202.1434,197.8167,196.1746,794558.0
2020-11-04,189.0127,189.0127,184.8559,191.8713,578978.0
2020-11-03,197.6661,201.5223,195.8038,195.1974,600970.0
2020-11-02,197.3286,205.082,197.0312,190.223,587298.0
2020-10-30,181.1438,183.6802,175.313,182.5541,827367.0
2020-10-29,182.2444,184.0075,178.9702,183.9556,572183.0
2020-10-28,184.2484,188.4037,182.1175,185.9888,666535.0
2020-10-27,194.7447,197.4693,192.51,193.2728,649657.0
2020-10-26,190.1249,191.0779,186.76,191.5357,653684.0
2020-10-23,196.7246,198.3831,194.8264,195.533,785478.0
2020-10-22,181.9292,185.0899,171.313,191.2791,2621103.0
2020-10-21,189.9086,190.6537,183.0706,194.2697,1061787.0
2020-10-20,195.4039,196.9433,191.3487,197.3293,684339.0
2020-10-19,194.0296,197.0191,191.4644,196.293,606823.0
2020-10-16,196.4819,198.4168,193.873,198.948,737583.0
2020-10-15,201.1147,205.2324,200.8637,199.3724,687095.0
2020-10-14,202.1151,204.6055,201.5951,200.7838,516894.0
