,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,4.5441,5.3934,4.2408,4.7451,1249600.0,0.005420568209020754,0.012965533214827489,-0.00384686119539691,0.014337571533255912,-0.0911005870305528,0.00032348203659103846,0.014189751608507519,-0.0299790755870446,0.028026355816127113,0.04328281843646337,0.3333333333333333,0.10427933364403856
1999-12-31,4.8924,5.797,4.4698,5.4847,1365200.0,0.004813568476859653,0.018913962914140693,0.007402390773596279,0.024064387843122575,0.03329061374096254,0.006169618251340743,0.021266987656478612,-0.03912513362851877,0.048197418993577656,0.11427941697862169,0.5909090909090909,0.10797129246465398
2000-01-31,5.545,7.2719,5.0764,6.2393,2320800.0,0.00760841728213752,0.025479948982070136,0.004949562025999943,0.028338629875971872,-0.018980135279238253,0.006209019778907216,0.02630484856967027,-0.023902193799112403,0.07540950709984418,0.11797137579923724,0.55,-0.08271334909246986
2000-02-29,6.2225,6.7322,4.7213,5.7861,2198900.0,-0.013129743781683252,0.02896299441818212,0.004778740065595488,0.025818092876679778,0.16595509469110414,-0.00370422596732602,0.028116005964591344,-0.06787742240308581,0.05877922652393819,-0.07271326575788661,0.4,0.08168273656951582
2000-03-31,5.6969,7.274,4.8739,6.2439,1570600.0,-0.004787662002739612,0.028379241652314147,0.011418119139533075,0.0319763427658549,0.18489404970179302,0.004051854983954581,0.030805299830985722,-0.054520058301969154,0.07440245673083412,0.09168281990409906,0.5217391304347826,0.05525946068058826
2000-04-30,5.589,7.3812,4.6146,5.9659,1345100.0,0.004428811285897061,0.02215136029531137,-0.0030473455023970033,0.06002476285167913,-0.06590394531114652,0.0002753908479559142,0.04608811363818465,-0.09167967539347632,0.0886193381474012,0.06525954401517145,0.42105263157894735,-0.11132633840641326
2000-05-31,5.8436,6.2594,4.7848,5.2805,7157300.0,-0.005656282417365088,0.025162408012762306,-0.005010383754787442,0.031265520447244254,0.0014486028709890242,-0.005317954546491083,0.0278171115831336,-0.056283165892071496,0.06514821553957262,-0.10132625507182996,0.36363636363636365,0.09484984313664077
2000-06-30,5.4069,6.6959,5.0528,6.0046,4288700.0,0.007084892622803496,0.013823542703657855,0.004166679663382658,0.01721733973378789,-0.025015449930825717,0.0055563048821544855,0.0153765866117112,-0.020670156019006125,0.051380363009229324,0.10484992647122415,0.5454545454545454,0.028966810031245144
2000-07-31,6.1984,7.0712,5.2412,6.4447,2423500.0,0.008659255606771228,0.018274300290467806,-0.0009712637056509931,0.025388171614516567,-0.08764593751745098,0.003590561231812164,0.022251043872896434,-0.06564539259135027,0.03402445386600039,0.03896689336582844,0.6,-0.07564547592593349
2000-08-31,6.412,6.6278,5.3228,6.0046,1915900.0,-0.0040013291664720676,0.02529845059741509,-0.0021360084105524666,0.017195557002533085,0.014381190738091076,-0.002983881481425012,0.020738326691716383,-0.032284128291723446,0.03901526377129505,-0.06564539259135019,0.391304347826087,-1.6364315280185586e-05
