,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,15.7365,25.1197,15.1253,22.1346,25393800.0,0.02396904561939807,0.026101629766924588,0.00964414878273091,0.026852582117108892,-0.1096357739645426,0.01609035235923113,0.026829604121404397,-0.03559775554068567,0.08288708652155696,0.34115914023491634,0.6666666666666666,0.12487871772093415
1999-12-31,22.6208,29.2592,21.9,25.8872,20685500.0,0.015523176515810321,0.03619069792615318,-0.0007407601243982158,0.029353723153729985,-0.1633801265264836,0.007003971609034421,0.03300747511215029,-0.04187945844827112,0.10460300434404735,0.13487880105551747,0.5454545454545454,0.2320486146890673
2000-01-31,23.8596,39.686,22.6862,30.3937,23128100.0,0.029230423405491993,0.038182548234500124,-0.006082259216623242,0.03643573183890433,-0.32389640281566034,0.010644800972799762,0.040495605101644114,-0.05239390354945961,0.08449631657388013,0.24204869802365045,0.5,0.15616577510227656
2000-02-29,35.3324,47.275,30.549,41.7194,24642700.0,0.016317981852320498,0.0351856937869106,0.009291703804098096,0.045580937649839726,-0.053944798629903534,0.012619940774308707,0.040025486640880764,-0.05129426088281841,0.08603345720609079,0.16616585843685971,0.6,0.007717722692961588
2000-03-31,41.0949,54.715,30.3594,41.8295,27105200.0,-0.009096326785812136,0.055387381890982725,0.008428275185882702,0.05152831522352522,0.1921025700887138,0.00046254701693050247,0.05277619106461788,-0.10356764989187006,0.12024681495480039,0.01771780602754494,0.391304347826087,0.1034680615540897
2000-04-30,35.21,44.8303,31.3034,39.4407,15696400.0,-0.00973103641732237,0.049382990891662426,0.010904171628982561,0.03629466563505017,0.18689000762840458,0.0017329680528470367,0.042577942540135694,-0.06340124418504134,0.06849347330026889,0.11346814488867298,0.47368421052631576,-0.2352767727114857
2000-05-31,38.8692,42.3429,28.1372,31.0291,19925600.0,-0.012329443872146007,0.03721807573630758,-0.01024584606957008,0.035787063268249784,0.010590131956189186,-0.011238035499368141,0.0355644105730372,-0.06791253239854456,0.06628903023175736,-0.22527668937690246,0.2727272727272727,0.05320393389260494
2000-06-30,33.1524,41.4189,32.3518,35.3154,15545900.0,0.008364010690840962,0.030579763720318693,-0.0006734854431450801,0.013659189022837746,-0.0910484467830055,0.003630084144467321,0.02314050606506375,-0.029853889037457115,0.06876813377254187,0.06320401722718828,0.4090909090909091,0.007874573334651786
2000-07-31,35.6799,44.8676,32.4759,36.3234,17688400.0,0.005496651229055664,0.030273677476655526,-0.002873516867804593,0.02474024990914972,-0.0782050297395469,0.0010912995991292128,0.027051951949293048,-0.0426091421378878,0.060960424157066484,0.01787465666923492,0.45,-0.17438877746019033
2000-08-31,36.3235,44.1408,26.5654,30.8173,24864500.0,0.0001398365322036632,0.019395779705025387,-0.013931823070109242,0.03958861463438189,-0.16858024216334755,-0.007535614159967013,0.03214970356302946,-0.06786154315325366,0.06679865016435516,-0.1643886941256071,0.43478260869565216,-0.050497534953119906
