,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,4.8887,7.0244,4.1361,4.9661,4885700.0,0.010506391423034655,0.05984369977949097,-0.008596138437028354,0.036839156611665445,-0.18911504561462378,0.0,0.04813777908412652,-0.04790018974964738,0.15454642966330923,0.0157084043423594,0.3333333333333333,-0.03734030139000953
1999-12-31,4.9166,5.2835,3.8542,4.784,3791600.0,-0.015261717239592798,0.024988700177382746,0.01093324859724144,0.03422237721383178,0.2728829069655838,-0.0015405446583939117,0.03234647099817242,-0.047623114812542555,0.06345108743919581,-0.027340218055426177,0.4090909090909091,0.08563745712193771
2000-01-31,4.1371,5.9663,3.6835,4.5523,5211800.0,-0.008036128576005453,0.03129336166080292,0.009532336004187703,0.05355583437799328,0.1676485172259261,0.0012104317293593653,0.04416526616678836,-0.06563454465440532,0.11275267135434941,0.09563754045652086,0.4,-0.18874079142350414
2000-02-29,4.5773,4.7344,3.526,3.8281,3488200.0,-0.010591484449097447,0.009396514874799448,-0.007794064315568239,0.022602569926975822,0.017382716886194638,-0.009119158063029443,0.017226126602977752,-0.03876954087560924,0.027409133036217392,-0.17874070808892087,0.2,0.17426486339246916
2000-03-31,3.9583,5.8491,3.6083,4.7592,8887700.0,-0.0006704624573386387,0.019685968243784935,0.01702466508139087,0.055521448833986006,0.21100060555007683,0.008981425291059275,0.04315238449798794,-0.04105209645642782,0.15438630486056293,0.18426494672705243,0.43478260869565216,0.07136821240899147
2000-04-30,4.4827,6.2645,4.0642,4.8627,3074400.0,0.005463604784964576,0.04865946287156838,0.0005133767267208267,0.03547064966178328,-0.038575071012508344,0.002713478085940271,0.04058876707132983,-0.06082747218784901,0.0957260057959266,0.0813682957435746,0.42105263157894735,-0.198571117630137
2000-05-31,4.9663,5.0958,3.0698,4.1128,6671300.0,-0.017132042544240167,0.07126730390950489,-0.001109451570276653,0.018533139771012445,0.1591164581693585,-0.008739256795973564,0.050244786738651945,-0.21401816132490303,0.03243284042827943,-0.18857103429555366,0.5,0.03416005455406279
2000-06-30,4.0111,4.9128,3.3946,4.1922,3274800.0,-0.0019097760037245725,0.043964995655358295,0.0034744867347646117,0.020470425001268267,0.057317114119656454,0.0009105520973888096,0.03296856416281875,-0.09203796249812157,0.06766394144129051,0.04416013788864621,0.45454545454545453,-0.04175746743113089
2000-07-31,4.0853,4.5662,3.5692,3.9576,1495200.0,0.0014351573441282956,0.026709879910294596,-0.005758787487296102,0.01916769710061301,-0.07050429097011568,-0.0023511294092529666,0.022680255767253337,-0.05128820725773453,0.03871676596410878,-0.03175738409654759,0.35,-0.06128208049265372
2000-08-31,4.1929,5.0784,3.3164,3.9833,4326600.0,-0.004524956792528756,0.02945362409936938,0.0016351992487753837,0.03137985206043487,0.06487195891059216,-0.0011648716790901342,0.029957331965308504,-0.060610792098676036,0.0900101713001562,-0.05128199715807045,0.2608695652173913,-0.029097823271473484
2000-09-30,4.1921,5.348,3.6519,4.1128,2394500.0,0.006112639173316194,0.03392592567959348,-0.005501375255984575,0.025166139204094315,-0.1100275051196915,0.0,0.029388857529245395,-0.049876723952390734,0.09203796249812157,-0.019097739936890182,0.3,-0.047287659809471826
2000-10-31,4.4589,4.9057,3.8933,4.2957,3515600.0,0.000575661393338378,0.02136840991688846,-0.0005233285393985255,0.017791712108135786,-0.011513227866767561,0.0,0.019080431257616912,-0.03730528265876498,0.05449953494346116,-0.037287576474888645,0.3181818181818182,-0.17517555942874438
2000-11-30,4.6074,4.8293,3.552,3.9059,2448400.0,-0.003891097169476011,0.01910853916299701,-0.008647844716152571,0.01865430467497687,-0.06010641735239419,-0.00650730832014812,0.018514465019733667,-0.04414138630178077,0.01870325304647369,-0.16517547609416108,0.23809523809523808,0.0888943222372111
2000-12-31,4.3598,5.6576,3.5926,4.813,2583600.0,0.0006894642164455936,0.02568251307429499,0.015101135061380399,0.02677296712796095,0.14480617266579365,0.008274554134832334,0.026574509627650678,-0.04508302930972419,0.07824426520748196,0.09889440557179444,0.55,0.02054919435002112
2001-01-31,4.5518,5.233,4.3136,4.693,2645700.0,0.0024278566453494526,0.01840349046872562,-0.001745907257822734,0.01642798905534574,-0.04105568964419515,0.00013228649860475006,0.017005458018292924,-0.033033765096708745,0.037357807166030765,0.030549277684604297,0.2857142857142857,0.04481084567159569
2001-02-28,4.952,6.9131,4.702,5.231,4448100.0,0.026733097928660743,0.03855328799383032,-0.013659017755667868,0.02256945655628354,-0.3504549609859646,0.004293033659589292,0.036169640181430936,-0.06360016283701508,0.07843599628154951,0.054810929006178996,0.42105263157894735,-0.0416347506156154
2001-03-31,5.318,6.1127,4.5727,5.1524,3274200.0,-0.005908631025129574,0.021100868850612964,0.002144135406981228,0.0234527230137554,0.08267179972808925,-0.0016905152749762966,0.022189183370566117,-0.03048301672507603,0.04519926647664252,-0.031634667281032154,0.4090909090909091,0.20290624658527234
2001-04-30,4.9838,6.9877,4.6702,6.1663,6134700.0,0.01502972292393682,0.022171940008959074,0.0063018505417889335,0.03601995189512113,-0.07224900089754205,0.010436105880701091,0.02978676470697924,-0.05854177547657291,0.06069907308883682,0.21290632991985547,0.7,0.057259440411807506
2001-05-31,6.0167,7.1249,5.6031,6.4353,6764000.0,0.0046592302427611145,0.035635098563023875,-0.00029195190541984255,0.01959025622390336,-0.04980377338722941,0.002065753879428232,0.02774430696040929,-0.07963708410286818,0.06589351488980189,0.06725952374639085,0.5,-0.20227943948219745
2001-06-30,6.3199,7.3544,4.7104,5.2144,6393200.0,-0.01113845055738357,0.035449281785484774,-0.009188611470326569,0.025925591671167383,-0.0008286711571401373,-0.010066039059502218,0.0297298316745624,-0.06117490056986741,0.05000430129069389,-0.19227935614761418,0.23809523809523808,-0.022912418979605862
2001-07-31,4.6534,5.447,4.1291,4.5937,4067300.0,-0.00920280576021024,0.022263005383491137,0.0008230181651807313,0.025859450068293852,0.0918784516588802,-0.0036886026012452056,0.02422460984166204,-0.0505219581686962,0.04063133895854909,-0.01291233564502261,0.38095238095238093,0.12101413915634071
2001-08-31,4.7484,5.5127,4.331,5.4131,5502200.0,-0.0018824544003916087,0.014053830989784286,0.014054374751020652,0.03461815092954146,0.18747704101616391,0.006810361500378715,0.02789907902520132,-0.02278855537405544,0.09570716419849479,0.13101422249092412,0.43478260869565216,-0.22638336921796723
2001-09-30,6.1144,6.5074,3.2851,4.9247,3978600.0,-0.028222434199510166,0.029916659238948342,0.0003151368955927325,0.08036472194400793,0.17185570036180287,-0.011915250716594225,0.06353476133950874,-0.1093880040836499,0.15121066412465378,-0.21638328588338393,0.26666666666666666,0.13765253214964165
2001-10-31,4.72,6.0227,4.5337,5.471,3969300.0,0.0084708171471654,0.03545111609597283,0.003475803530753163,0.022150921443712574,-0.042998529102616034,0.005746264265485998,0.02832164157229315,-0.04979684627477887,0.07521109662471925,0.14765261548422498,0.5652173913043478,-0.11246057103255168
2001-11-30,5.777,5.9632,4.5013,5.2144,4619400.0,8.09107028312766e-05,0.015028405608091013,-0.007010146359987202,0.024035023690277633,-0.0778398062853407,-0.0038191706817188864,0.0203036796454029,-0.06058356556103672,0.021426219307992156,-0.10246048769796842,0.42857142857142855,0.028076321191795598
