,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2013-10-31,49.9546,61.8481,47.5652,56.49,47243200.0,0.008322574973801558,0.02866135425907068,0.003046199841947317,0.0124031353470388,-0.033888426081032375,0.00550850823681263,0.020890257871443028,-0.0473145335036822,0.042966035883443165,0.12294903839073255,0.625,0.014055619193465053
2013-11-30,53.5951,57.2962,48.8216,54.9,11078000.0,-0.002753697614641442,0.015289213258164836,0.002023988134774601,0.016357152719646183,0.04502315987951899,-0.00023912616758036656,0.015610204696127845,-0.027658516253553866,0.03508487321007925,0.024055702528048267,0.3,0.15804555087360173
2013-12-31,53.6268,65.4756,51.5537,63.44,18612400.0,0.004379131877657322,0.017274465940253687,0.010677102688609804,0.012461868835969492,0.07803594267579195,0.007843015823681188,0.014755156274258876,-0.01399615371073093,0.045716076289009866,0.16804563420818508,0.6666666666666666,-0.012458753933131134
2014-01-31,58.8846,63.2639,50.8026,58.74,17339100.0,-0.009406519998101813,0.019239089083769773,0.004293969472116466,0.01637721961273259,0.13189234417619744,-0.0018712507894817598,0.018598819289992574,-0.03227217981255315,0.03345716439655444,-0.0024586705985478034,0.42857142857142855,0.06495064969635353
2014-02-28,55.9828,65.2916,50.486,60.34,15340400.0,-0.0016182871232326423,0.013924458689155175,0.00606349798415744,0.014991472386596975,0.07358127682743554,0.0026493712697618476,0.014637176529522126,-0.0243070602819202,0.03505600055461944,0.07495073303093663,0.5263157894736842,0.05514351965663689
2014-03-31,58.652,69.9158,56.1539,62.6,17488100.0,0.001225912357874886,0.011758233898372711,0.0036294396077603997,0.023425641722220305,0.028890624464490422,0.0025478523453119186,0.018669213730929887,-0.029048622362413568,0.037145519790946935,0.06514360299122005,0.47619047619047616,-0.042226815690027134
2014-04-30,67.8208,71.6578,48.7308,65.67,21546800.0,-0.01078482289278446,0.02785106739118928,0.009644393080645857,0.01789072814064811,0.20315172992216457,0.0004512458926022145,0.024572271338404325,-0.06806683047169493,0.03410898827861342,-0.032226732355443904,0.47619047619047616,-0.08138250948450299
2014-05-31,66.0505,70.5298,57.4442,61.5,33480900.0,-0.006692846065159013,0.02255044916848341,-0.0007507715953922138,0.011415327524834776,0.051977127037116766,-0.0034247051067872736,0.017085011774199844,-0.056381234608036124,0.023818417992170104,-0.07138242614991977,0.3333333333333333,0.05255310732167852
2014-06-30,61.6504,67.037,58.5946,65.63,18187100.0,0.0003051765209355474,0.014493870976168478,0.005201923284184431,0.010483141221624876,0.05447456743760881,0.0029983872407224332,0.012350650107733795,-0.021265309086181183,0.01986289873974645,0.06255319065626164,0.6190476190476191,-0.11597311911988223
2014-07-31,64.2171,66.222,55.6915,57.76,19653600.0,-0.007170442369230834,0.010948252778727607,-0.004062964577836261,0.010570474716265628,0.02701181333610947,-0.005542715907071772,0.010598841318159748,-0.02461027595503129,0.02049217896646649,-0.10597303578529897,0.3181818181818182,0.010495471966936154
2014-08-31,56.6764,59.8606,53.611,57.85,16570200.0,-0.0038484739713746663,0.011231355398795276,0.00404892697542431,0.010432857723622142,0.07917446247203941,0.0004950965493647708,0.011253813896332834,-0.01871854053301547,0.021251021077559606,0.020495555301519374,0.47619047619047616,-0.019555306660142928
2014-09-30,55.417,60.1657,50.3894,54.89,19767100.0,0.00023515587848640015,0.008775082516556159,-0.003045515430003996,0.014022928092772315,-0.035617072636421554,-0.0015692133411833176,0.011778029477958727,-0.032482105021454544,0.01815692338649022,-0.009555223325559711,0.38095238095238093,-0.023713780968487756
2014-10-31,53.1641,65.637,43.094,52.44,31059300.0,-0.010468211050059795,0.025840640914027792,0.006234360128343552,0.032401378477642434,0.17949443204072058,-0.0013577176800216055,0.030142264067355203,-0.04364105388509687,0.07481232154012263,-0.01371369763390457,0.43478260869565216,-0.1116933970861125
2014-11-30,51.9425,59.3869,45.18,46.92,29215000.0,0.002085751842999528,0.02562415597617271,-0.012523836202959871,0.02055110390492495,-0.14192437677359493,-0.006030685960311249,0.023446980156105846,-0.04948005726336957,0.04191230900224552,-0.10169331375152933,0.3684210526315789,-0.15626578374373518
2014-12-31,46.9715,49.7369,33.037,40.58,41652600.0,-0.016639258030035364,0.034971720508278126,0.002337240016727799,0.02657016786510912,0.19210222048435943,-0.006699187624587993,0.03158576149780109,-0.09106188453125164,0.05551710123557152,-0.14626570040915182,0.36363636363636365,-0.2528704307587386
2015-01-31,44.1754,46.1503,30.784,34.65,40526600.0,-0.020610075754294608,0.04425388689639313,-0.0015180013673499638,0.033728595591885055,0.17031066811515183,-0.010561615550639532,0.039180798185435115,-0.09582979530055802,0.05636851190469283,-0.24287034742415547,0.35,0.033534712982623414
2015-02-28,37.7694,46.5318,36.2372,39.45,31882200.0,0.010176220235633693,0.032623480944153536,-0.0005056900788973362,0.025923820401480523,-0.0864666626740429,0.004241825616449788,0.02870290629782991,-0.029971283591154307,0.06122799608922502,0.043534796317206574,0.42105263157894735,-0.050295551948429856
2015-03-31,36.7723,41.4998,32.424,35.32,43581500.0,-0.008476627824154282,0.019399829696321737,0.001009392447001701,0.020427111481806693,0.09586959515856153,-0.003507760063072576,0.020038958516077267,-0.03664826715573888,0.041712993795346875,-0.04029546861384667,0.36363636363636365,0.21704409193651983
2015-04-30,35.31,45.9531,35.0107,44.31,34219600.0,0.017419336569679828,0.023791229728290876,0.006285269431063455,0.014332683677822602,-0.08763606538542046,0.011295599643440823,0.01946126786674583,-0.017779299664915094,0.058767218475194394,0.2270441752711031,0.7142857142857143,-0.13651271301633594
2015-05-31,45.4059,50.5859,39.3659,40.01,35735800.0,-0.007658802873972113,0.023200892567591152,-0.004615640405894838,0.013957692689442523,0.022772821806800625,-0.006057138417089336,0.018414174975989222,-0.03347993232683777,0.04640527752450385,-0.1265126296817527,0.25,-0.13618363803447733
2015-06-30,38.9584,41.8673,33.3315,34.34,34611600.0,-0.007919982158182615,0.013434579662987266,-0.005595381841585317,0.01197551940149562,0.01765062132438766,-0.006702334373298316,0.012423420362582921,-0.02596050030286845,0.013568047339459266,-0.1261835546998941,0.2727272727272727,-0.18907816935338023
2015-07-31,32.9051,35.1186,26.2729,27.51,56321700.0,-0.006325005274979212,0.031313485461456375,-0.012456728550067186,0.018572468653446774,-0.07377396130094693,-0.009536860323834818,0.024971100624651042,-0.055734267196994924,0.041999278202414114,-0.17907808601879707,0.18181818181818182,-0.008667927058451142
2015-08-31,25.8056,30.5575,18.1556,25.84,52989400.0,0.002698515679279762,0.030357342480041162,-0.004294634289327485,0.049338701167520274,-0.0715276182961202,-0.001147716803454224,0.04101199811202605,-0.08255652638399313,0.059877786175690506,0.0013321562761320989,0.5238095238095238,-0.24485923723993028
2015-09-30,26.7617,28.8041,18.4402,21.16,50780500.0,-0.009137566470774683,0.0194803289842334,-0.010688452153393667,0.039973394141020475,-0.03533487545035818,-0.009990553596215123,0.031644816736867074,-0.06769038241644232,0.07056026992696429,-0.23485915390534698,0.38095238095238093,0.10675304162308147
2015-10-31,20.9727,30.7112,19.3462,23.57,54958300.0,0.013270596954835501,0.04351409368191458,-0.0024730928342642437,0.038675330964454,-0.15990999072526169,0.005023902303402302,0.04080283900447517,-0.05894253563345009,0.09468464221257689,0.1167531249576648,0.5,-0.15765016239467114
2015-11-30,23.8892,28.8152,18.5581,20.61,46902800.0,-0.0026404833483201586,0.04419840061054398,-0.010404961313232208,0.0424616955598391,-0.08028526299744065,-0.006727050698273869,0.04225617627430786,-0.06359999455530696,0.07819107349863508,-0.14765007906008784,0.45,0.014889681716580602
2015-12-31,21.2641,26.5685,17.6558,21.8,88996400.0,-0.0038896492947707805,0.028685844920783545,0.007064874348083894,0.043847390925459494,0.11661011077663064,0.0018484345181530965,0.036919111546059334,-0.07606527700670673,0.10467968112294379,0.024889765051163776,0.5454545454545454,0.12875868186110848
2016-01-31,23.6498,29.5991,16.2467,27.17,58498528.0,-0.011660501896007314,0.06576940157771663,0.02739139597467637,0.045445490907024544,0.3671979749148222,0.010034996921039176,0.05721216258686272,-0.11186435768682967,0.09578876320661589,0.1387587651956917,0.5263157894736842,-0.2122780005478942
2016-02-29,27.9727,29.423,20.5444,22.85,63535612.0,-0.0036130047300654646,0.0319128876108204,-0.012991435574414557,0.04843450231287402,-0.09739731317355638,-0.008549020963933408,0.04060459544053567,-0.06330420705368578,0.06329485037231386,-0.2022779172133109,0.45,0.09014686527035544
2016-03-31,22.5,29.3373,18.9233,24.87,86821503.0,0.007086028566174685,0.036447368621102275,0.002783716905120783,0.025881355117120027,-0.04023939970541823,0.004832436743717879,0.03061951835461938,-0.06448301338034801,0.050039984069659926,0.1001469486049388,0.5909090909090909,0.11958956772641716
2016-04-30,24.8603,31.881,23.7819,28.3,51877198.0,0.007961537943147738,0.02817902611322295,0.005597701787235812,0.025891402385218303,-0.010079121828735715,0.0066614280573961794,0.026241556533826142,-0.058983449061844606,0.07542208790112337,0.12958965106100043,0.5238095238095238,0.09003533170402717
2016-05-31,26.2665,31.3349,24.1136,29.03,55572652.0,-0.006761697302363867,0.01877032288823287,0.011786484170196192,0.021259821440806913,0.1905066015934329,0.003439802507544165,0.021814256173280033,-0.047223126931216886,0.0443681791838193,0.10003541503861045,0.5238095238095238,-0.13618159088320092
