,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,13.8493,15.0537,13.4356,13.8152,549400.0,0.003270074209098429,0.013437254313586144,-0.002115780475804942,0.0075789799668365115,-0.05270425311574023,0.0003078541324015749,0.010668385620438352,-0.01277236718871455,0.029395123914340182,-0.0024652545515132947,0.38095238095238093,0.06829427587975218
1999-12-31,14.0519,16.3344,12.6897,15.1963,741800.0,-0.0029875364819672346,0.008757918582432286,0.010605457970605737,0.017545420860515987,0.14653540249633545,0.004132603469380512,0.015389230652305269,-0.015455659280391387,0.037896142603546235,0.07829435921433543,0.45454545454545453,-0.04986794434007656
2000-01-31,14.666,14.9429,13.5646,14.0928,481600.0,-0.0033938405251360392,0.015350372443588117,-0.0027083639844786233,0.007440913682055287,0.003460924881438121,-0.0030330633984742414,0.011512317025641434,-0.02233235025850977,0.018841438210027928,-0.03986786100549334,0.35,0.010455537081093301
2000-02-29,14.3035,14.934,13.6807,14.5991,744200.0,-0.00044887741966838216,0.008159554075742363,0.0030899029081176365,0.013256238524422263,0.034938925858191805,0.0014136385423242593,0.01098862197832499,-0.016979809402633883,0.026859132304160926,0.020455620415676567,0.5,-0.02277498375139825
2000-03-31,14.7239,15.5306,13.7528,14.537,821700.0,0.00039082665486191994,0.012079523373595037,-0.0008719216138739494,0.009537356839887342,-0.014371325915106592,-0.00029794512808491787,0.010516436904671264,-0.020785026781811933,0.014469362747864256,-0.012774900416815047,0.5652173913043478,0.046239954775118754
2000-04-30,14.6582,15.8145,14.537,15.5062,644100.0,0.007030004763712738,0.008663482910718404,0.0,0.004494362602697592,-0.056240038109701906,0.003124446561650106,0.007383741885642959,-0.010498037462586485,0.016355946581702252,0.05624003810970195,0.47368421052631576,0.031067763939322975
2000-05-31,15.8124,17.2738,15.3115,16.4753,1056200.0,0.006341936966271255,0.015168706401963284,-0.001327251550252282,0.008127069386058183,-0.07801913671548766,0.002324742981425593,0.012327582149413882,-0.01863269584785554,0.02651544238178616,0.0410678472739062,0.4090909090909091,0.0653450652786802
2000-06-30,15.6077,17.2859,15.2337,16.8291,682400.0,0.004270630259478025,0.008121064428930222,0.0007626973980302442,0.008132130839948138,-0.03431663121644757,0.002433141617767283,0.008122002754856155,-0.014625411972108981,0.020354582686547218,0.0753451486132636,0.6363636363636364,0.021745126615482765
2000-07-31,17.0209,18.071,16.3802,17.5699,441400.0,0.0025784068007115796,0.0075508258052274955,0.0014059753876826786,0.012857427419386232,-0.00914590732957743,0.0019613376359595264,0.0104095361268862,-0.0159889833308986,0.02178206660688664,0.031745209950065946,0.6,-0.050669962631806335
2000-08-31,17.8853,18.3624,16.541,17.1725,798000.0,0.0015382937977704626,0.009971624266821537,-0.003929744231259469,0.007892136582896524,-0.06253986875281825,-0.0014442723998822273,0.00911077720502234,-0.022446205581652112,0.012254005013545122,-0.040669879297223155,0.391304347826087,-0.008043793001416256
2000-09-30,16.8011,18.394,14.4967,16.834,1518400.0,-0.0005801130763359493,0.013829902267136214,-0.00020354700920988122,0.02242814410878,0.0031855475949247314,-0.0003819204094274924,0.018345444637299747,-0.03988701362685099,0.03685930246655822,0.001956290333167036,0.35,0.0006908619938010723
2000-10-31,16.6538,18.0938,15.9753,16.8328,946600.0,-0.0013184213208764285,0.013409793169738601,0.001351533587907173,0.007215671722707298,0.02805108267574319,8.012648848641053e-05,0.01043168911462343,-0.0251248465713374,0.020054844143991613,0.010690945328384343,0.5,0.07930487149105075
2000-11-30,16.5853,19.34,16.2153,18.1346,698800.0,0.004246261115899121,0.01803908028410426,0.003971073520114146,0.004018160864055131,0.005465458678163504,0.004094907938217385,0.012063643426949032,-0.01948840848731148,0.035588293281285655,0.0893049548256341,0.6666666666666666,0.012018512295295752
2000-12-31,18.075,21.5765,17.227,18.4774,848500.0,-0.0013497442442972228,0.010532317903418558,0.003252448880134695,0.022680685319757855,0.04467218700002196,0.0010724626632985235,0.017665858972572997,-0.03305619823549755,0.05856108493003953,0.022018595629879026,0.4,-0.01950250836494532
2001-01-31,18.2185,20.4086,17.248,18.0462,693300.0,0.0035590294788983754,0.011325387979878272,-0.004568220553586693,0.009371441259726816,-0.082281691399539,-0.0009109580389684124,0.010836859060878118,-0.02004015445124363,0.0265347919684924,-0.009502425030362052,0.38095238095238093,0.060011961961032145
2001-02-28,17.7962,20.094,17.6479,19.0868,809100.0,0.005043640405390237,0.009702860655764397,0.002129734149467444,0.010316541184513325,-0.01905178174844746,0.003424803596544241,0.009865670848896474,-0.012180103733325787,0.023968470465956848,0.0700120452956155,0.47368421052631576,-0.016869281003143152
2001-03-31,19.107,19.489,17.7986,18.9762,764500.0,-0.0025086991851973385,0.003910761002476225,0.001824272122481808,0.009608894115036338,0.04515398519927327,-0.000239047547841595,0.007613469248434295,-0.008608374536600127,0.017567543392530638,-0.006869197668559986,0.36363636363636365,-0.008246203552949406
2001-04-30,18.8559,19.7805,18.2946,18.889,677400.0,0.0021518567147102985,0.009608255469081069,-0.0022115853057314895,0.007372294663526452,-0.04148256348970758,-0.0001446917171011688,0.008556650584616325,-0.01974665939121456,0.013582862808598772,0.0017538797816338393,0.5,-0.03361304343469324
