,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2020-04-30,3.1924,19.9882,1.2344,8.72,110535832.0,0.027834586655137224,0.16286895266340648,-0.0017552556004477278,0.07796183455210672,-0.26981909150116,0.0115601734145655,0.12081409343676856,-0.1273279806635479,0.3177062538194986,1.0048462529011715,0.38095238095238093,0.49844413496767986
2020-05-31,8.7027,16.8022,7.5404,14.47,41618260.0,-0.0028964251966575225,0.03853550003511254,0.05522140844646413,0.05303296786399894,0.578281911234559,0.027691908299722293,0.05436087662091139,-0.05822366027889636,0.1295340521919024,0.508444218302263,0.65,-0.1147803876298411
2020-06-30,15.4688,20.705,10.9387,13.93,51505286.0,0.008533549256856565,0.059812471594800284,-0.014060301484359116,0.04851609920109161,-0.23999880889651592,-0.0033013249409230773,0.05404158512343422,-0.1230523924234177,0.07612671833318263,-0.10478030429525786,0.5454545454545454,0.25033677178682845
2020-07-31,12.5562,18.6838,11.8806,16.29,21864158.0,0.023471653687186844,0.033285457035182514,-0.0024229174895253488,0.026964866462882917,-0.2613686292566473,0.00990783068986141,0.032213839327458006,-0.05004021884040455,0.08221796353582045,0.26033685512141175,0.5,0.1916183769699911
2020-08-31,18.1873,25.7332,17.2758,22.25,21302302.0,0.027465102540936134,0.04440550713609112,0.0006149454625947535,0.02155672358699303,-0.24042152277988293,0.012697516147848375,0.03553376745329284,-0.03184700808875762,0.11765575251486382,0.20161846030457445,0.5714285714285714,-0.20933273297461674
2020-09-30,23.2522,23.9644,16.8451,19.05,17113795.0,-0.01137033575207348,0.03704785238595095,-0.006713224591961765,0.045817536306573384,0.02848755125708191,-0.008808924614012037,0.04109051129480516,-0.09212780839125179,0.09182672268641401,-0.19933264964003347,0.23809523809523808,0.15211847175367077
2020-10-31,18.4864,26.0804,17.8984,21.74,13457046.0,0.020654343786318207,0.027405729709039366,-0.005712808985379999,0.031360816213818844,-0.26938433670236206,0.006842978048762004,0.03180906948325663,-0.08500369990545442,0.057727468655282,0.16211855508825396,0.5909090909090909,0.16686636873063834
2020-11-30,23.0504,31.689,21.4197,27.51,15158942.0,0.025422363892674295,0.04061668991238635,-0.0030430126727443605,0.023883715767077613,-0.25923140176151227,0.010440586752980267,0.03509492544529898,-0.044088192306876106,0.07447202773689465,0.17686645206522153,0.55,-0.05949310047694486
2020-12-31,31.312,35.3065,24.6898,29.8,23747716.0,0.002722611727227031,0.03766860099287192,-0.002200128475947981,0.015469839915028753,-0.051427530507698105,0.00014403352556392943,0.027649961738320242,-0.07003363480726232,0.0600180097262526,-0.049493017142361616,0.5,-0.026119465214466592
2021-01-31,25.6095,32.0743,22.2688,25.2,14527437.0,0.010573310025829119,0.023429140393673477,-0.018529332718311232,0.028803842363671284,-0.26987980738974526,-0.005594824832026631,0.029777318620805335,-0.0688848159462987,0.04205300313079352,-0.0161193818798833,0.3157894736842105,-0.2155258451327465
2021-02-28,26.9215,27.8641,19.2941,21.92,20961163.0,-0.0031941343030771896,0.018331561206582015,-0.015127899008456546,0.043093727401202375,-0.12572591565994795,-0.0098240035838435,0.03404054798934181,-0.11958216575194847,0.027971096724297873,-0.2055257617981633,0.42105263157894735,0.13704457418490615
2021-03-31,25.8545,33.4918,22.316,29.95,14986819.0,0.012995211137124874,0.03984632822620238,0.033982280632271156,0.039524782731491404,0.11793055861285628,0.02465469418998392,0.038715011532428366,-0.04191864983179805,0.05952995645342973,0.14704465751948947,0.7,
