,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,10.5627,13.1614,7.8111,12.348,40139000.0,-0.01074281948218678,0.04336503800694442,0.023336515892685684,0.04343718463850619,0.35338705015922356,0.008000814973993076,0.04568832495514533,-0.08853555542206282,0.11034820398976342,0.1561651792246412,0.5238095238095238,-0.06888989476712655
1999-12-31,11.8606,12.7379,9.3449,11.1823,23837600.0,-0.009673106538228815,0.031873397625124145,0.002797779191586242,0.023502483703056284,0.1275066364897368,-0.003140737822611404,0.027822232949228323,-0.05655185563300691,0.04182217919410958,-0.058889811432543314,0.5454545454545454,0.015243747564253306
2000-01-31,10.5104,12.8925,8.4961,10.7791,29856800.0,-0.006744137789296525,0.02346305864452893,0.0062591584567868175,0.058671403912006384,0.1232888246715369,9.970234022102362e-05,0.0448367755969048,-0.050432021381029646,0.11214367882058784,0.025243830898836552,0.3,-0.17113013802577567
2000-02-29,10.8434,11.4379,7.9356,9.2297,16003100.0,-0.013357980062943801,0.01710819301546981,-0.0040908234124698685,0.039740694123025104,0.07931358644179554,-0.008480529194273312,0.030697654617024058,-0.07329323283966493,0.05925032958645504,-0.1611300546911925,0.35,-0.09438353574927036
2000-03-31,10.855,14.9843,7.9536,9.9766,30978900.0,0.0012691122159499634,0.04263423783837928,-0.0024705480504852253,0.05910440030425679,-0.04233769876532234,-0.0007707024748328669,0.05111239610739289,-0.11060750146364207,0.1208402704650231,-0.08438345241468717,0.30434782608695654,0.2805283971270596
2000-04-30,10.586,16.5331,9.4214,14.1549,41708300.0,0.02183211718986977,0.07786019730437212,0.014551498885708992,0.04616778195676847,-0.029141948661868255,0.017787329243113784,0.060319852133777135,-0.08367119803546963,0.17570446610411805,0.2905284804616429,0.631578947368421,0.016863271337077552
2000-05-31,13.4056,15.2671,12.1004,13.7706,30465600.0,-1.2231755811820121e-05,0.027154829156153575,-0.0008332625004359768,0.02004862898069012,-0.009043569946677543,-0.00044229547918637834,0.023086217656800183,-0.04236224857961712,0.03951359084134909,0.026863354671660754,0.4090909090909091,-0.024629583847485315
2000-06-30,15.472,17.7329,12.98,15.2473,20849900.0,-0.0007202277257576384,0.024132123981453722,0.0033708082884809087,0.024597602774281805,0.04428116843086638,0.0014226959007482673,0.02385301141411481,-0.03145501651206306,0.06378632115765637,-0.014629500512902065,0.5,-0.10762521422969837
2000-07-31,14.9939,15.1651,11.8498,13.5993,25001400.0,-0.017368295199414865,0.019797659753071895,0.005595881235279832,0.022010157571066617,0.2122734691475321,-0.00528188654957555,0.02356267265375757,-0.04191627670591558,0.0619363583602528,-0.09762513089511503,0.3,-0.10488918993500639
2000-08-31,14.8399,15.5357,11.1573,13.4965,17833200.0,-0.0016576236573222047,0.009720344839778673,-0.003087356403247902,0.01837571763132252,-0.020472040265752778,-0.002437477882372585,0.014761360029919502,-0.03680332306608092,0.030231959162923427,-0.09488910660042311,0.391304347826087,0.030692222979033783
2000-09-30,13.5102,15.72,12.6401,14.0713,24556900.0,0.0053607235245881745,0.01613904942063002,-0.0007554205407676485,0.027233659982381763,-0.05580071712897006,0.002141700332295636,0.022281025236086455,-0.038208149765960986,0.03970114486829468,0.04069230631361688,0.4,0.1489993419433379
2000-10-31,14.2401,17.6737,12.8482,16.6942,28994100.0,0.008144489607476402,0.03363610853282541,0.007315735403344222,0.018231364507385096,-0.0009718066379775792,0.007710380262454784,0.025990300491286072,-0.04851637726074598,0.06530686026011079,0.15899942527792102,0.5454545454545454,-0.12118108465226299
2000-11-30,16.0782,17.8687,13.7695,14.3864,25787600.0,-0.0022232945253644054,0.01746496022263972,-0.010174623650593274,0.028503368475010536,-0.09191120942824638,-0.006596525544240284,0.023927055619104874,-0.07320554609071417,0.0329093979195596,-0.11118100131767983,0.3333333333333333,0.13324302944327238
2000-12-31,14.338,18.5316,12.1536,16.5462,22700100.0,0.0026420233418251726,0.029920198196124646,0.01177785029038465,0.02172446579156105,0.09400029282741995,0.007450353314751214,0.02560888565519942,-0.04863906838128296,0.040924178898346764,0.14324311277785573,0.7,-0.11265340313481828
2001-01-31,16.1982,17.1657,12.5069,14.6179,33174800.0,-0.011614897997555614,0.02855049836075653,-0.0005573781955449209,0.034409278913012646,0.09840292182700638,-0.0055332621064497324,0.03159468866919695,-0.052034011010375636,0.04298949553577058,-0.10265331980023493,0.47619047619047616,-0.010149323903873861
2001-02-28,14.7424,15.7019,12.9854,14.7402,30889600.0,-0.0006562510755843687,0.012506481918693404,0.002070098323502556,0.019727412457044284,0.02595099183970051,0.0008583874794639228,0.016503934150317843,-0.028263432122327625,0.03133341836989345,-0.00014924056929062547,0.5263157894736842,-0.00968309415278682
2001-03-31,13.8784,15.5785,12.4043,13.8828,31429400.0,-0.004721409328887783,0.024331136116034786,0.0015826758940962193,0.012129169101375655,0.06462352812393624,-0.0014192694501818767,0.01871813933769397,-0.06807968747472293,0.02366492109239715,0.0003169891817964461,0.5,0.0438773271447194
2001-04-30,13.921,16.1301,12.0611,14.6916,38270300.0,-0.001961590246392703,0.026673644381992184,0.00740346728800847,0.025956549957467615,0.09168898509761902,0.0029673874032921247,0.026003194506382988,-0.037898857515886064,0.06453711461934386,0.05387741047930271,0.35,0.0037814033501680252
2001-05-31,15.0466,16.5216,14.2944,15.2554,23328100.0,0.0032613554957591885,0.014603073786817918,-0.0010327895278010792,0.013488339984962927,-0.043974239763403755,0.0010120414357990483,0.013847725155199237,-0.021015872658775248,0.02921536462669838,0.0137814866847514,0.5,0.03297057848052999
2001-06-30,15.4553,17.6663,15.0755,16.1339,18904300.0,0.005476311599914574,0.016820946650518018,0.00023583455167215789,0.009184874794528728,-0.04669262433083743,0.002594049223381245,0.013064844527746164,-0.03218806431050769,0.02335472232523328,0.0429706618151132,0.5238095238095238,-0.01560506787158451
