,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2016-01-31,7.903,8.1837,2.6149,4.45,29296714.0,-0.07627877445887069,0.08807094414632573,0.006160160942650977,0.08720501700714961,0.6656716441548243,-0.032634632187476864,0.09484097589927991,-0.22426862174977913,0.10660973505825821,-0.5743383380446894,0.3333333333333333,-0.7365426543097056
2016-02-29,4.5701,5.7871,1.4239,2.21,31304852.0,-0.08205820174066755,0.130236103256303,-0.0065669103507857264,0.06881946715746723,0.5907965104174832,-0.04011859541295543,0.10479216686451956,-0.3532793549375941,0.09356877753578874,-0.7265425709751223,0.2631578947368421,0.0021060966632546778
2016-03-31,2.381,9.717,1.9797,2.41,120187728.0,0.12394672403683793,0.1497527968011537,-0.0999838302144597,0.224428179939198,-1.9914120944393003,-0.00045913943610519244,0.22138063631282634,-0.6048896974900684,0.34570049003046477,0.012106179997838005,0.631578947368421,-0.40573169982335167
2016-04-30,2.5253,3.2092,0.5126,1.7,68680905.0,-0.13134267839294433,0.29928791464488874,0.08330856090961057,0.12324876729297575,2.015169714632605,-0.018368341917915428,0.24398874138150667,-0.9199204999247338,0.3090048419206023,-0.3957316164887685,0.5,-0.4177727579850817
2016-05-31,1.5185,2.1203,0.6618,1.01,17163448.0,-0.019678609540851804,0.06201353857836711,-0.02502078285277221,0.08956465617579962,-0.09812112551282809,-0.022616804862408035,0.07647668211280077,-0.18392283816092844,0.10064352577968741,-0.4077726746504983,0.3333333333333333,0.08897373370701356
2016-06-30,1.2409,2.4768,0.9494,1.37,10612439.0,0.012188981760903678,0.0670042102824088,0.010541807372260766,0.08088650590012803,-0.005929936514168288,0.01132617612875739,0.07274838762503065,-0.17106440226932018,0.1773340152829156,0.09897381704159679,0.45454545454545453,-0.08816812522074675
2016-07-31,1.7409,2.1704,1.2585,1.61,4015462.0,0.024362785776182092,0.04626102158809074,-0.018128582392042243,0.034597135859575814,-0.40055089590606124,0.001998907792906127,0.04499738214093591,-0.07583807639150464,0.08803334948532288,-0.07816804188616354,0.5,-0.17630869789625442
2016-08-31,1.5116,1.5316,1.222,1.28,2666486.0,-0.012987508142141214,0.026551371180700993,-0.005662555159042316,0.019617489367960546,0.06192441951290434,-0.008992079242269087,0.02275202332466647,-0.07312226482896272,0.022642476749759832,-0.16630861456167112,0.2608695652173913,0.17353511284761813
2016-09-30,1.2901,2.2369,1.1386,1.55,3290597.0,0.0059160571687569274,0.02985366160012695,0.012559121680074286,0.06594342808053978,0.0849058239620048,0.009569742649981474,0.05172484436791469,-0.08647359800382681,0.16989903679539747,0.1835351961822014,0.42857142857142855,1.694628016103266
2016-10-31,1.5911,43.9192,1.3318,8.75,43837190.0,0.010915382175934796,0.033416743166775606,0.14841457544135953,0.3210678887876575,1.5343218902715416,0.08653993847191839,0.24423502068299224,-0.4419018966178738,0.5241338049684858,1.7046280994378493,0.7142857142857143,0.32592358831299323
2016-11-30,7.3719,23.3558,6.0251,10.315,11646525.0,0.06068808528925354,0.15681795434736417,-0.02767797115985998,0.0891581451308194,-0.8506504503617416,0.012086754242241104,0.1287345466540884,-0.28430244703520646,0.40429483295997404,0.33592367164757647,0.47619047619047616,-0.21668899657683224
2016-12-31,6.148,19.5905,2.8306,5.0,11989952.0,0.016237988912939125,0.1258100172446875,-0.05463926287746725,0.09801673325984495,-0.7471737918685919,-0.02274449957178438,0.11414783313246854,-0.31761628026982547,0.20118129031623644,-0.20668891324224906,0.38095238095238093,-0.8617803638526458
2017-01-31,5.3439,6.5889,0.5468,2.28,26953756.0,-0.02859741366182801,0.24083648467062638,-0.056710645966458015,0.33967666018209536,-0.3097297367081281,-0.04339385171689644,0.289269538026687,-0.8506535682341759,0.29399124164504575,-0.8517802805180625,0.55,0.060480643005228936
2017-02-28,2.0596,3.8811,1.5713,2.21,12597316.0,-0.017669264788216482,0.04118952752549883,0.014588927347112302,0.11180279962175395,0.2872433917768549,0.0002519530647439532,0.08711037048553925,-0.12370965432602277,0.19966567025192705,0.07048072633981207,0.3157894736842105,-1.1938452075403938
2017-03-31,2.2215,7.1579,0.1466,0.68,30810269.0,-0.0198237012099854,0.04300997321240854,-0.08430007597320666,0.3459279139573666,-0.8133638995786259,-0.05499263289901519,0.2540764518015597,-0.9103910097469667,0.34989525695335355,-1.1838451242058106,0.391304347826087,0.4628273725012783
2017-04-30,0.2387,0.383,0.1457,0.383,10636006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47282745583586167,0.0,
