,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,105.3541,175.588,100.5484,145.0,32301800.0,0.0330340110759589,0.03769370443358542,0.0025753204418593645,0.030553884729956512,-0.2689775748231771,0.016281731227204155,0.036486619130773494,-0.04678819462231054,0.08942505044702376,0.31940668503491937,0.5714285714285714,0.20846624538447595
1999-12-31,148.2116,214.3844,133.2074,184.4,19493400.0,0.0020883210916423423,0.033221515010472394,0.018770183366021632,0.03796436815775235,0.18558880610981454,0.010826439425841019,0.03591910000151472,-0.051752205465194656,0.07653368589620957,0.21846632871905905,0.5454545454545454,0.07155367768595404
2000-01-31,175.1198,241.0019,150.6662,190.0,28324000.0,0.002657629559501847,0.055656691872283254,0.0031816612335456183,0.026923960681796626,0.007897946299939562,0.002933435703735411,0.04170447385465436,-0.06386007735714472,0.08714606619449405,0.0815537610205373,0.45,-0.26646830501714247
2000-02-29,191.8505,193.7063,130.2287,148.45,21096600.0,-0.013654009880967087,0.029924859134270572,-0.013201458100818542,0.042021660536036676,-0.009128492079481632,-0.013415824733520484,0.03579053821388564,-0.06798316035671004,0.0754093339472135,-0.2564682216825592,0.2,-0.08829124242926314
2000-03-31,201.0933,239.7165,144.3455,185.95,21291700.0,-0.0007482049292715232,0.035863492711652484,0.005967363182409609,0.04362483043534363,0.07909040748163054,0.002914832222554549,0.03949447753790465,-0.07471384917922386,0.10091877995650922,-0.07829115909467996,0.5217391304347826,-0.265766535689111
2000-04-30,182.8049,185.2792,111.2217,141.55,21126400.0,-0.02228102892578976,0.03541967735949503,-0.008267489512871862,0.058816563634954175,0.09557333627759945,-0.014495729251946483,0.04898328950399239,-0.08030701321227607,0.06155228615684294,-0.2557664523545278,0.3157894736842105,-0.2834907949063063
2000-05-31,156.4966,172.9954,91.8777,119.05,15106600.0,-0.0010321383454130917,0.032849857937213685,-0.020643972705985888,0.045598564540690445,-0.21676231631171383,-0.011305003962855983,0.040323074516428144,-0.09320021897242459,0.047057061482596474,-0.2734907115717231,0.3181818181818182,-0.032916597205815336
2000-06-30,132.195,156.4142,79.4662,129.2,24926400.0,0.0021987536745226243,0.06531116561616312,0.0003171865276959774,0.036210625353173695,-0.018498484940570492,0.001213170883327714,0.050754592636509235,-0.1399169330760266,0.0795174975774291,-0.02291651387123208,0.4090909090909091,0.06612345717454914
2000-07-31,121.6296,161.6971,117.5034,131.25,16901900.0,0.0192805576294021,0.02681864351459304,-0.01295233712269841,0.020415968758684483,-0.303048389891603,0.002315876180928147,0.02831039293615114,-0.039919769455778464,0.07713923073032802,0.07612354050913238,0.5,-0.05380596807989418
2000-08-31,145.9557,157.3903,111.475,139.7,15173800.0,-0.004609110720026699,0.020416648828673886,0.004409551736386612,0.03215695775676524,0.09900572803690633,0.0003101597107441976,0.02722916642996389,-0.05479735208201841,0.04217492505071263,-0.04380588474531092,0.43478260869565216,-0.21969206423266557
2000-09-30,157.6155,167.7355,109.3446,127.8,11845700.0,-0.017351717280622125,0.010732049697251115,0.00023501773449527975,0.02768405912997429,0.15851563287055193,-0.008095540956876124,0.022710928080712938,-0.04332512473837369,0.057433971846652554,-0.2096919808980823,0.3,0.06795571789807597
2000-10-31,130.657,164.0566,97.8187,141.25,16505000.0,-0.005466707560935635,0.05245848079541875,0.012724941301228072,0.05149159121449684,0.19464142992286515,0.004062251366864402,0.05148511642826668,-0.08637287531847537,0.10579634046315611,0.0779558012326592,0.45454545454545453,-0.23383771929769928
2000-11-30,134.4683,134.4683,99.0003,107.5,12472700.0,-0.015125797147175608,0.035565986236819946,-0.010000081383120796,0.034152971313532704,0.026131279110251704,-0.012306653476945461,0.03396113930406798,-0.06301958843802868,0.053488684950986354,-0.22383763596311596,0.3333333333333333,0.09620739813608695
2000-12-31,102.5581,150.8066,84.6378,114.05,17540500.0,0.013673343639691934,0.04032292319034568,-0.004038349418435327,0.045904510913116606,-0.16344358694158068,0.004351399924888112,0.043113860125450126,-0.09984757611969464,0.10272067069480961,0.10620748147067036,0.45,0.24757289989679312
2001-01-31,108.5187,157.131,105.2361,140.4,23403700.0,0.021746068236710374,0.05693651485841519,0.00336372331045168,0.017395769844952804,-0.1587136577154249,0.011635778527268093,0.04015294403144602,-0.06759854509598728,0.09324619558347358,0.25757298323137645,0.6190476190476191,-0.1213185802268249
2001-02-28,131.4475,147.8638,101.7283,117.6,17039200.0,-0.01813912528601791,0.026172592701913935,8.507018803127764e-05,0.041832330926827165,0.14596370416845605,-0.008014572244879472,0.03599070315234106,-0.06453852113757108,0.07941008075247602,-0.11131849689224153,0.3157894736842105,-0.2095783237518505
2001-03-31,116.9,132.6611,85.6606,95.75,16781500.0,-0.010778614287266475,0.03253344469891896,-0.00838361109970612,0.030132934158521616,0.015566420775897427,-0.009524088808068194,0.030525242301275932,-0.06725222700916689,0.041551469585048295,-0.19957824041726735,0.45454545454545453,0.4362403973967829
2001-04-30,79.3637,137.3668,67.6138,124.0,17790500.0,0.015241309280576567,0.060189820404170154,0.021261449941835854,0.028862225532185114,0.07544271589316942,0.018409804365449877,0.0451241752655846,-0.07398424295553596,0.09145702294459657,0.44624048073136613,0.7,-0.08690186945623843
2001-05-31,133.3181,144.0443,109.7626,123.45,17311900.0,-7.733952434998414e-05,0.018221208918728183,-0.0041738452361227115,0.025479944439356847,-0.045138902353849986,-0.002223128230516651,0.02187268860174403,-0.05037620732506731,0.03422387238757718,-0.07690178612165523,0.45454545454545453,-0.025428105258599034
2001-06-30,124.1507,150.7295,99.4546,122.25,18874500.0,0.004612904657469762,0.026162588701565598,-0.004956288136146822,0.03506932397164964,-0.0960353114148429,-0.0006501513790193592,0.030973411347811865,-0.05765285142727805,0.057491558394450415,-0.015428021924015703,0.42857142857142855,-0.005481456958210591
2001-07-31,121.002,135.3511,110.5443,121.55,15030000.0,0.003288750566353372,0.02070660407214886,-0.0026533924650591345,0.018517408660357008,-0.05878607221283083,2.0571899076493593e-05,0.019240625493704765,-0.0406394809764139,0.030859127506035477,0.00451862637637273,0.47619047619047616,-0.3131545446607159
2001-08-31,121.6003,123.5291,78.4042,89.8,26210600.0,-0.01361150699278948,0.03410013498312088,-0.014056692503312318,0.03128909499464284,-0.03256524011185302,-0.013854335453074663,0.03179962264776544,-0.07770417433407406,0.04649838068146117,-0.3031544613261326,0.34782608695652173,-0.06041058768012913
2001-09-30,84.5569,95.4352,64.3164,80.4,30313400.0,-0.01868458820073678,0.049657262315290454,0.004511410820296602,0.04969644633137653,0.1481988157667935,-0.005429731617289134,0.0491951637640414,-0.09611742196313511,0.06155789299943315,-0.05041050434554595,0.4,-0.5872684615507164
2001-10-31,82.468,115.626,37.5071,46.3,77557900.0,-0.00582812158920234,0.07741727586804552,-0.04200897035213624,0.09249691480781717,-0.4458264283336115,-0.025563130005348104,0.08596612752442785,-0.28746465751451833,0.16635502836066784,-0.5772683782161333,0.391304347826087,0.0703718101673243
