,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2017-06-30,8.0327,8.0648,8.0327,8.0488,1052509.0,,,0.001001150724685207,0.0014158409328294723,0.002002301449370414,0.001001150724685207,0.0014158409328294723,0.0,0.002002301449370414,0.0020023014493703553,0.3333333333333333,0.004889694346521504
2017-07-31,8.0327,8.6518,8.0094,8.1532,860400.0,0.0024369336765310834,0.00490657271170241,-0.0008038058938924398,0.007542704658781356,-0.029970462027704148,0.0007312812710450186,0.00647377343819241,-0.014671320996352932,0.013717468962843427,0.014889777681104705,0.5,-0.030931454497076367
2017-08-31,8.1588,8.3805,7.7053,7.9898,849727.0,-0.0022937269599461185,0.00655770464373575,0.00030720652714692304,0.006810092369467916,0.02662374792522426,-0.0008750359669862776,0.0066693383685271015,-0.01523773974350906,0.008151258982050269,-0.020931371162493172,0.391304347826087,-0.004406184727607072
2017-09-30,8.022,8.2885,7.6047,8.067,565471.0,0.0011793473370901432,0.0028901670133256617,-0.0005020227426835167,0.007860595446069377,-0.015634353460646455,0.000294415716156638,0.005945662507571637,-0.01629095331579089,0.010134863028567587,0.005593898606976176,0.45,-0.06620269809223046
2017-10-31,8.1076,8.3203,7.0886,7.6645,742693.0,-0.0013575347683913552,0.0056116968916439785,-0.003692253096859943,0.01478949438275593,-0.027039436381545823,-0.0025804824642558536,0.011178694250698076,-0.028375914343110598,0.025838157249095328,-0.05620261475764727,0.3181818181818182,-0.07380455551547696
2017-11-30,7.7623,7.9092,6.9762,7.2825,1946475.0,-0.0022585781481129588,0.005915583088379749,-0.0036650905716245127,0.009397574395715475,-0.019988792954853007,-0.0030321599810443135,0.007856909475312509,-0.019954839457539286,0.013126073987983489,-0.06380447218089376,0.3333333333333333,0.01399322794443152
2017-12-31,7.3095,7.7675,7.1387,7.487,5403070.0,0.002910522931597079,0.00891937782397416,-0.00022013951053589942,0.00405660931950886,-0.028396101489732706,0.0012628058567902482,0.006794495861957277,-0.014146154556203161,0.014317624326407596,0.02399331127901471,0.5,-0.011582057143189255
2018-01-31,7.5282,7.9983,7.1819,7.5163,2004507.0,0.002603743921921827,0.010162775852701991,-0.0021738672450291444,0.007854726941646333,-0.04734623499261703,-2.3942219901207373e-05,0.009050181799354826,-0.020708439828828418,0.017292557470551806,-0.0015819738086059016,0.5238095238095238,0.022415258228644937
2018-02-28,7.4181,7.8994,6.8827,7.6625,1142172.0,0.0003574399775593262,0.013359580961585085,0.00175096627175928,0.007066734268061131,0.01465014289711819,0.001131621252114856,0.010021823712522984,-0.02789912363343272,0.017937883097668417,0.03241534156322816,0.5789473684210527,-0.0008156530686158288
2018-03-31,7.63,7.8837,7.413,7.7004,635944.0,0.000906342710247464,0.0077132430889248,-0.000785223955587767,0.004867142521020985,-0.016794547903692614,-2.4018955961913056e-05,0.006185754576042786,-0.013026705271666827,0.016263475714398012,0.00918443026596737,0.47619047619047616,0.004755730715421396
2018-04-30,7.642,7.857,7.5771,7.7556,665432.0,0.0005551157988427215,0.003509769313308535,0.0005915235731462202,0.004455881676391791,0.0015107171150239296,0.0005751400747096458,0.003954366151583698,-0.007055821819224928,0.008680014913815537,0.014755814050004859,0.5238095238095238,0.010042475760857835
2018-05-31,7.681,8.0595,7.5085,7.8365,818347.0,0.0004972162337515407,0.004367195192048007,0.0003929525879733185,0.0036282530087664677,-0.0006496838698089036,0.00044260194310580524,0.0038945518767619304,-0.0064926492235906075,0.006408735759150019,0.020042559095440983,0.5,-0.004116509624325857
2018-06-30,7.7954,8.1408,7.6635,7.8414,616132.0,0.001140861765544374,0.0036179267605785464,-0.0014617163153311872,0.005627417772890813,-0.026346635358542425,-0.00029055617893718465,0.0048931845887265745,-0.01285870179542492,0.00962133935968712,0.005883573710257358,0.38095238095238093,0.004722661311925664
