,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,19.5938,20.09,15.9547,17.3107,8451600.0,-0.0075405155718044625,0.01679687890158109,-0.0040111758844170176,0.02099349551985083,0.02374170541765297,-0.0055993787437413674,0.018814898980536957,-0.029857414150411543,0.046159994876866506,-0.1238883822410168,0.19047619047619047,-0.04753602550748106
1999-12-31,16.8593,18.1959,15.2428,16.2382,9158100.0,-0.00076795960794791,0.0173886818294915,-0.0035723664803271452,0.014000600851808662,-0.0316164352041195,-0.0022369346363370333,0.01536662061201474,-0.024294707807268612,0.03322392733528545,-0.03753594217289784,0.45454545454545453,0.05446545103724903
2000-01-31,14.6436,17.4572,13.962,15.6187,15264500.0,0.006189326169450017,0.017553544546525794,-0.003889757683669659,0.014002981566203358,-0.09460151236174674,0.0008845451941238716,0.01617778455221254,-0.020406078171255615,0.02869803757642586,0.0644655343718321,0.45,-0.2247676221151885
2000-02-29,11.0032,12.4519,8.0239,8.8766,34859000.0,-0.020539476907368372,0.04183600683984162,-0.013599411029747533,0.02045198036647296,0.04886118186884003,-0.016886810655988984,0.03161813030731241,-0.0945429787146721,0.029619081155934257,-0.2147675387806053,0.25,0.046610524637733276
2000-03-31,9.0791,10.7427,8.568,9.6079,22319900.0,0.005399979748331419,0.009857207915025425,0.0011572258578280332,0.029716732512388485,-0.04011308718937778,0.0030857503535113903,0.022558489154856743,-0.03362916925602244,0.08365849822478255,0.056610607972316505,0.391304347826087,0.07359422836671944
2000-04-30,9.4394,11.432,9.0915,10.2624,18230600.0,0.010006346462740234,0.01411494178794076,-0.0006952699348294455,0.023748449943944087,-0.08700347105021633,0.004061004019645968,0.020262278975568968,-0.04243003790662936,0.039224583878790575,0.0835943117013027,0.5263157894736842,0.07100017513946773
2000-05-31,11.3617,13.0561,10.7367,12.3203,18516400.0,0.00808843540288109,0.025801145183831215,0.004325665403738062,0.018524816677019044,-0.03330203458769221,0.0061174606414252175,0.021791217739447928,-0.029217770536546173,0.04293217998685872,0.08100025847405092,0.5,-0.04902610481208859
2000-06-30,12.4287,13.2178,11.3733,11.953,14188500.0,0.0007758126898414819,0.01823531196941359,-0.004722938718430699,0.009602511046588368,-0.0597104528011525,-0.0021044856668725174,0.0142709531112104,-0.0350758445846453,0.024992522925550542,-0.03902602147750529,0.3181818181818182,0.07014645158017549
2000-07-31,12.7424,14.9902,11.8872,13.8057,13640700.0,0.002544745653448594,0.010666491854407833,0.008786712095109905,0.016379748913587743,0.0649644100700617,0.00582999114905981,0.0139630772780629,-0.0110472139175255,0.041028513641217845,0.08014653491475876,0.45,-0.009867335488920733
2000-08-31,14.3119,15.9065,12.9711,14.3138,18501400.0,0.006967513879032073,0.015484933063113389,-0.004408411522128897,0.011491526578005007,-0.12257607705586748,0.0007624636602169984,0.014336993883194434,-0.025849096637656555,0.03172398255147213,0.0001327478456625485,0.4782608695652174,0.01210813485498454
2000-09-30,14.4401,17.6635,13.2135,14.7629,14159600.0,0.012969016618688755,0.020621000809428594,-0.009003184875792946,0.025913767802379185,-0.20675299832612826,0.001404700042645754,0.02553032738626029,-0.05639814278377564,0.05391203649586762,0.022108218189567822,0.5,-0.039705433070962366
2000-10-31,15.4364,16.59,13.3733,14.9846,23154700.0,0.0026258161494708164,0.019412495614866247,-0.005087591930098819,0.03352488882270657,-0.08222167272579517,-0.0014145404636370876,0.027333528653617028,-0.0809381197202037,0.04740355223588555,-0.029705349736379054,0.5,-0.01927391947736336
2000-11-30,15.578,16.3403,14.0309,15.4342,12897600.0,0.001282715545474458,0.016967438143754145,-0.00022824937750536895,0.013632789652534371,-0.01405518306182918,0.00045168483783555315,0.014819940547224169,-0.024983592065294324,0.03207356245520998,-0.009273836142780115,0.5238095238095238,0.1292505469967912
2000-12-31,15.3013,19.0093,14.5784,17.5875,11587700.0,0.0032033595839604523,0.012922623037065702,0.010609678916770449,0.016530718132103196,0.07726655291206042,0.007101422390702556,0.015009567223509575,-0.013976324336094414,0.03425633028028807,0.13925063033137455,0.55,-0.009242410331986318
2001-01-31,16.3597,17.5881,12.9762,16.3721,13421400.0,-0.010542384312488847,0.03158326905176905,0.005953319753514813,0.011994073211392769,0.16036797610106257,-0.0014697470761868337,0.023803512395075947,-0.08372721516546644,0.025270316907877177,0.0007576730025970034,0.47619047619047616,0.010668524105403946
2001-02-28,16.2615,18.213,15.8623,16.6011,16643500.0,0.005863174605738264,0.014579182427748118,-0.0031315651325228176,0.020689321320454576,-0.07822104817113429,0.0008660969733709963,0.018310844382786007,-0.05939603550666561,0.02710590895223941,0.02066860743998713,0.5789473684210527,-0.04818813491773758
2001-03-31,17.2707,17.6447,13.8904,16.6236,17694900.0,-0.001403565201142598,0.007332120948210767,-0.00039833940098283287,0.020885538952993454,0.00965391860061482,-0.0008770183534398639,0.015574322355604797,-0.055668128301434194,0.021869296143651074,-0.03818805158315438,0.5,0.029355531975596816
2001-04-30,16.9057,18.0694,15.5727,17.5843,15900100.0,0.002976166973616085,0.013965093756256703,0.0020987225654872433,0.016586146981525118,-0.005798277107672334,0.002514354127232484,0.014980988192632065,-0.026904164575212608,0.028370057481809763,0.03935561531018004,0.4,-0.08437972597145461
2001-05-31,18.1806,18.56,14.5349,16.8774,15133500.0,-0.007470112127736605,0.024578673989259666,0.0017632738419250948,0.008129924009346257,0.0940971335385421,-0.0026335766198185722,0.018089407909901368,-0.0694470843187025,0.016994529187543517,-0.07437964263687138,0.5,-0.08172412854674253
2001-06-30,17.0201,17.4868,14.495,15.8421,10393400.0,-0.0069322040280030235,0.016445884165191885,-0.0003585190612424925,0.015272485182939955,0.05844612657835979,-0.003316677296284731,0.015744892050472203,-0.03862109094127941,0.021933526704891015,-0.07172404521215932,0.47619047619047616,-0.056172483220420864
2001-07-31,15.8878,17.5678,12.9869,15.1709,17672200.0,-0.0031986767503784127,0.014413834961850164,-0.0012858070776646197,0.028576594888982516,0.0146442128990949,-0.0021465984303858264,0.022764699426217536,-0.032178035910759295,0.07062540766598158,-0.046172399885837684,0.23809523809523808,-0.07391148277845198
2001-08-31,14.4318,15.2483,13.02,13.5383,29541300.0,-0.00531204427066947,0.010728950046924417,-0.00258774797968934,0.00703225372360696,0.02206746695042261,-0.0038260644755893987,0.00878433218642769,-0.01888707518103505,0.009603385391918628,-0.06391139944386875,0.30434782608695654,-0.1704434910495392
2001-09-30,13.5502,14.1381,10.6259,11.5416,13300700.0,-0.01114244259294835,0.023150181369411736,-0.011001089897155092,0.0112763592259533,-0.021154063619550634,-0.011061669623923631,0.016571098412583835,-0.0466842897450821,0.022360457896846153,-0.16044340771495597,0.13333333333333333,0.06777204955740189
2001-10-31,11.4842,13.4621,10.7334,12.413,22682300.0,0.008250300862380655,0.014432347030635853,-0.0008097164782850941,0.029431442824386953,-0.09221960636322768,0.003308473222017519,0.02375537262785569,-0.0363014878149408,0.04874441164237009,0.07777213289198501,0.4782608695652174,0.05218666142451788
2001-11-30,12.6915,13.8217,12.5676,13.5058,22215200.0,0.006048508709508176,0.0181040205083923,0.0017129512796442451,0.00784638627219405,-0.03559411430948689,0.003663952123083014,0.013240185405956416,-0.016135114691999686,0.038127377435651866,0.0621867447591013,0.5714285714285714,0.05608610582779572
2001-12-31,13.1911,14.8826,12.7037,14.0923,11351000.0,-0.0001957113090359878,0.01300033946748648,0.005561891663980667,0.013285718736716128,0.05738031842113056,0.002834606045183304,0.01311845559420814,-0.020825532279975523,0.030813560614380453,0.06608618916237886,0.45,-0.0873566317346699
2002-01-31,14.4653,14.8526,12.829,13.3885,14545700.0,-0.0014744282693154433,0.019397585256522368,-0.004391970168705204,0.008678657015445125,-0.035041817431918254,-0.003079076313979812,0.014152284616248024,-0.04655728493012656,0.016872421121885584,-0.0773565484000867,0.38095238095238093,-0.04738761540620347
2002-02-28,13.4942,13.9181,11.8571,12.999,12959400.0,-0.0014911046048093901,0.020931579561810854,-0.0028492431198092307,0.01360000457876562,-0.016563594359617184,-0.0022456260020315235,0.016697580377916348,-0.03215403433609154,0.022784345049387866,-0.03738753207162022,0.3157894736842105,0.022790480558787428
2002-03-31,13.0587,14.3543,12.6679,13.494,11871300.0,0.0022096843397181073,0.015590884498280834,0.0012903404835908016,0.0158597739126531,-0.00698375422155495,0.0017258191522826834,0.01529778640293984,-0.023175439093571004,0.02755031553398446,0.032790563893370685,0.45,-0.13610953144022342
2002-04-30,13.0957,13.5013,10.8549,11.5441,18995300.0,-0.004235712910815037,0.011974356340821472,-0.008511157480401139,0.013918547049836331,-0.051265603176262164,-0.006475231494883948,0.012890841290360503,-0.027511111297971347,0.0212387634266773,-0.12610944810564007,0.2727272727272727,-0.14068262570354817
2002-05-31,12.4935,12.965,8.146,10.963,60717800.0,-0.014462370063836483,0.06392114951831104,0.004276726619643148,0.049400133853395235,0.19166769345443946,-0.00464665275344239,0.05613213393680395,-0.18387874354109313,0.07485704708125596,-0.1306825423689649,0.5909090909090909,-0.4630267119553473
2002-06-30,10.4848,10.9527,4.4541,6.6652,50429800.0,-0.03742256259516857,0.05743699344417225,-0.01423834285853114,0.060562566168553655,0.19441963477120572,-0.025220341681148867,0.058665045552432515,-0.14964181900912887,0.04931609019695893,-0.453026628620764,0.3,-0.3262510992202032
2002-07-31,6.7626,7.8964,3.418,4.9291,45150400.0,-0.006243059392932992,0.03895098774732431,-0.022498751266753988,0.07204377369136351,-0.18505567000496392,-0.014757945612553513,0.057854049971727065,-0.15413822815530986,0.0674064108768182,-0.31625101588561993,0.4090909090909091,0.3127332220638709
2002-08-31,4.7312,7.9033,4.2846,6.5333,31790900.0,0.02195613590356669,0.06244452806993818,0.007348066800583682,0.046476170232557804,-0.13873262422924637,0.014304290182956541,0.05376430166861324,-0.08711557270605441,0.12989199312692956,0.32273330539845424,0.6363636363636364,-0.21899841881102106
2002-09-30,6.1457,6.9292,4.3215,4.9866,25689800.0,-0.0021068084666232925,0.032249194718832974,-0.020864029752059032,0.04979356038574554,-0.1896790213209807,-0.011979030195799998,0.04236170401769026,-0.11566163368442028,0.053017316850598295,-0.20899833547643787,0.45,-0.08047126349339519
2002-10-31,5.198,5.4218,2.5611,4.8443,37016600.0,-0.01123538936217634,0.0773665617348594,0.0047062504898070885,0.031176903255068344,0.16882889949944846,-0.002539949442912652,0.05603929397343979,-0.13605291647339612,0.12048966362207003,-0.07047118015881199,0.5652173913043478,0.16336241040241997
2002-11-30,5.2827,7.0331,4.3929,6.2827,28012300.0,0.00362046549201906,0.04612375861693498,0.018858366194719568,0.03096302518218185,0.15599947251902413,0.011640413230282485,0.03854827689837386,-0.07606268239151581,0.07204300791884943,0.1733624937370033,0.6,-0.024043643556323168
2002-12-31,6.045,6.5027,4.8152,5.9607,27568400.0,-0.010624822585997482,0.03200143477322402,0.005663303083251056,0.017541700659128308,0.15791973718973895,-0.001666353467910786,0.025734573588339152,-0.07708483452313786,0.04109674831846233,-0.014043560221739864,0.38095238095238093,-0.572985895611728
