,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,14.4518,16.7609,13.3231,14.4061,10495800.0,-0.0022515238021676926,0.01444793923347622,0.00155422435819208,0.015469423480341157,0.03736018215962211,-0.0001583623139698176,0.014751750337257001,-0.03382806394809856,0.02942938384066629,-0.003167246279396314,0.5714285714285714,0.05909551642091806
1999-12-31,14.4062,16.8208,13.4043,15.4368,13667800.0,-0.003382806394809856,0.009236104254591608,0.009069396264005259,0.024120042599005482,0.13359142285215642,0.0031397759502837757,0.01923242095810186,-0.02289827639034847,0.049565404928257895,0.06909559975550121,0.4090909090909091,-0.04188742616814057
2000-01-31,15.1477,16.2047,13.5876,14.6723,7300200.0,0.0003322924471419834,0.012041516349906595,-0.004433292763316299,0.01896680473977902,-0.04732355965744084,-0.0021759102952044807,0.015820555460498032,-0.02909048470317588,0.02909048470317588,-0.03188734283355734,0.3,-0.14102993002614608
2000-02-29,15.1488,15.7904,11.5809,13.2884,9594000.0,-0.00541217698840615,0.013845585945133685,-0.006945131168483698,0.035618450992560884,-0.02074171878918163,-0.006218994977920649,0.026835713969327546,-0.055937305969070206,0.04709057554157425,-0.13102984669156273,0.35,-0.059654493027696896
2000-03-31,13.2427,15.4585,10.1259,12.6012,11188400.0,-0.014726988863359436,0.03876132071789256,0.00784753849545794,0.04064038125819383,0.24144035057908964,-0.002413610304004504,0.04051436743555077,-0.07848209246268789,0.1067563863037857,-0.04965440969311366,0.43478260869565216,-0.22045893709331377
2000-04-30,13.1879,13.8766,9.5631,10.685,5568300.0,-0.013845223359544634,0.020853536248933748,-0.0069279837015627345,0.041058421344014745,0.04148194986072973,-0.01000231243844358,0.03292495403951165,-0.055745264646404724,0.08774255156999455,-0.2104588537587305,0.21052631578947367,-0.007928456107949133
2000-05-31,11.5731,13.0737,9.0086,11.5971,6401200.0,0.0034044593913286738,0.028173393210378244,0.0011485764609428467,0.035865024962058116,-0.021410252842915423,0.0022228064277932404,0.03164910553844341,-0.05975415929160821,0.047000860521334786,0.002071627226634069,0.5454545454545454,-0.18946129015162042
2000-06-30,11.2692,12.2804,7.9645,9.4179,10539100.0,-0.0030019563322804645,0.02399704870057689,-0.014678545279459776,0.028888948643928346,-0.1314444347512529,-0.009118264828422009,0.026685777912955694,-0.07393503421070635,0.03572290996918914,-0.17946120681703714,0.36363636363636365,0.04228883090851918
2000-07-31,9.9888,13.0304,9.264,10.525,6794100.0,0.017536160646638727,0.034856853377561475,-0.009138107169283228,0.01910502613811014,-0.24920651751258083,0.0034970723224692782,0.030161934849309565,-0.05747981903253807,0.08883319372171439,0.05228891424310252,0.4,-0.07490097519149791
2000-08-31,10.5252,13.073,9.1081,9.8638,6172400.0,0.00448041791053253,0.022501802546209773,-0.009504712648649086,0.02065627398450321,-0.15886073088911434,-0.0031478351217483517,0.02216528754452205,-0.04645181167553414,0.05150409952647772,-0.0649008918569146,0.34782608695652173,-0.20350848300837526
2000-09-30,9.9564,10.3484,6.4069,8.2047,9999900.0,-0.002796317477657665,0.009551299352653631,-0.016289303528877454,0.03541346116067815,-0.13772617798985554,-0.009897889083562816,0.026749070904512742,-0.0941422009754791,0.041572723038295845,-0.19350839967379202,0.25,0.10278750126433406
2000-10-31,7.5858,9.0347,6.9235,8.4915,13233700.0,0.0009397773207060478,0.03671217508840577,0.005578466607882537,0.014571457874407582,0.05196535947964742,0.0033695669473223036,0.026801155231130403,-0.044209439499145464,0.07908024722726048,0.1127875845989174,0.45454545454545453,0.06731848975555553
2000-11-30,8.234,10.76,7.8977,8.8959,12762100.0,0.005979550660670056,0.037329622366731666,0.0009977407171291232,0.026468873899468223,-0.04284080805761015,0.003239555191722543,0.031015165843294338,-0.05664544418258233,0.05931293512285629,0.07731857309013869,0.47619047619047616,0.05283231149371719
2000-12-31,9.001,11.9386,7.271,9.5847,9053300.0,0.00545463027853716,0.04021220610272253,0.0013740722321465616,0.054445816980178585,-0.035350950185368823,0.0033069681488578973,0.04695989303933987,-0.11308965909441993,0.07526431762851882,0.06283239482830041,0.4,0.09000805878161415
2001-01-31,11.1913,13.8944,9.6949,12.3684,12384600.0,0.023368900371944366,0.04325292977138042,-0.0015377929575159932,0.0274657741770673,-0.2272358258801752,0.009670219040741168,0.036692832138349535,-0.05826219188283854,0.10424741183873643,0.10000814211619753,0.6190476190476191,0.1693738504949731
2001-02-28,12.7522,17.3606,11.4429,15.2576,18177500.0,0.02312610626763545,0.06840056002722895,0.00080083340463597,0.018943959015805593,-0.1770005160947239,0.010723176899302404,0.04740036534519844,-0.0653078827838347,0.16448227075797295,0.17937393382955644,0.5789473684210527,0.22749999333198528
2001-03-31,14.0677,19.8466,11.8043,17.8389,24172000.0,-0.0002767705527021658,0.024563577501987528,0.017910565339839236,0.05912884273050223,0.19978392426525327,0.009249929200533807,0.045893995994762175,-0.05788966656194727,0.17314526613349202,0.2375000766665685,0.6818181818181818,-0.26954840947466824
2001-04-30,17.8552,18.2198,11.8165,13.7735,24605300.0,-0.03209954810938988,0.07138263917557854,0.002752906335988703,0.023060465794319824,0.3164249963443959,-0.013756151032874834,0.053387330398841006,-0.21486227682967884,0.03127682622907457,-0.259548326140085,0.45,-0.0537989379179915
2001-05-31,13.8635,17.0421,11.8661,13.2694,12974400.0,0.00128902881364934,0.01195047805671207,-0.00461557097818168,0.04983840314252061,-0.06366156889649188,-0.00180385679159548,0.03626748690427044,-0.1394019232647441,0.04580996095285883,-0.04379885458340834,0.5454545454545454,-0.048205330248317045
2001-06-30,12.9333,15.1398,11.2206,12.4485,12802900.0,0.005281431071571714,0.025274326168989444,-0.009623786843551262,0.021766442933291694,-0.1533945349232093,-0.0029164387817459227,0.0240042016228802,-0.044049083922318655,0.04233137239578966,-0.03820524691373378,0.3333333333333333,-0.1377805521391436
2001-07-31,13.747,14.5409,10.8859,12.098,8216700.0,-0.008818691981576008,0.022507966403853132,-0.0003060712975895073,0.013270435642446688,0.07600144356069949,-0.004136750605383432,0.018024272163567525,-0.04702338849279286,0.020698888859330022,-0.12778046880456037,0.42857142857142855,0.17949321678525154
2001-08-31,12.0736,16.7305,11.7281,14.5926,12876200.0,0.017973615108589636,0.028175424996549684,0.00070135649409242,0.03692822689182692,-0.17131987315678732,0.0085523831370457,0.03364562100534337,-0.09980481431948762,0.08662105349564175,0.1894933001198347,0.6956521739130435,-0.30324008549340475
2001-09-30,14.4399,14.7183,8.9466,10.7699,10426500.0,-0.041712513920251215,0.030610086796114298,-0.006894368163940678,0.03922987787334099,0.19512013820998186,-0.02181643063093091,0.03884311508314568,-0.0887582367753188,0.06513746472097459,-0.29324000215882157,0.26666666666666666,-0.08373836622545652
2001-10-31,11.4004,13.1045,9.997,10.59,10425000.0,-0.0011883664963345808,0.0336152412035199,-0.0027842526368506335,0.022879718037659483,-0.021527366678861792,-0.002058849845706973,0.02755258899422317,-0.03571564471041677,0.0610221059488838,-0.07373828289087328,0.43478260869565216,0.24458236144495116
2001-11-30,10.4921,14.5971,10.2491,13.534,8400200.0,0.013459058002577665,0.015675363924114706,0.011709190955798436,0.026309870333820106,0.007669578490583806,0.01249663112684909,0.021646667562570887,-0.03268418887701818,0.052661734223033996,0.2545824447795344,0.6666666666666666,-0.0015785941092174335
2001-12-31,13.0069,13.9708,11.6195,13.1169,10940700.0,-0.010946375849960019,0.016230663148238303,0.008859490530017843,0.017758899724312265,0.1871122879498186,-0.0005222356499716696,0.01944224243462383,-0.044815871459542134,0.03458636173124496,0.008421489225365678,0.45,-0.09434790557805628
2002-01-31,12.8263,16.9754,10.0665,11.7888,15623000.0,0.0011099951280448828,0.036228431852085546,-0.010271233144348675,0.026369846433089903,-0.12297352074023937,-0.0051496804217715745,0.03086035386418303,-0.07061795359412937,0.07004249890664971,-0.08434782224347298,0.42857142857142855,0.36482523024943414
2002-02-28,11.3272,19.5598,9.0627,16.4781,32925700.0,0.023444761890825727,0.07600686781814084,0.01529043470224729,0.033646166141822684,-0.03465374810413291,0.018914580119393263,0.05473111429748944,-0.05561545438556559,0.1805163091357911,0.3748253135840174,0.5263157894736842,0.16062602715372612
2002-03-31,16.52,21.9632,16.312,19.5935,25378700.0,0.018954178530115644,0.027280802643418377,0.0007566770138060175,0.01873958686724876,-0.16302083663298061,0.009376546153110578,0.024361955089258036,-0.024281714332990756,0.06677269136732056,0.17062611048830922,0.5,0.06117806998492849
2002-04-30,18.7292,23.0951,16.9717,20.1109,13420400.0,0.0067445271104099366,0.02421424513413934,-0.001289964309771019,0.021245334883036492,-0.08163487851158058,0.0025359839855532457,0.02250416026643809,-0.04183926465079102,0.03821858413352963,0.07117815331951174,0.5454545454545454,0.16407180244455988
2002-05-31,20.7204,25.9627,17.5694,24.6602,18382300.0,0.008437773080933741,0.03542754097518398,0.00903133028162939,0.029495741505020313,0.014966902288585882,0.008748683995583843,0.03162106026002804,-0.03304372182752635,0.0857586928806846,0.17407188577914315,0.5,-0.15697851397159032
2002-06-30,25.0462,25.6715,19.2568,21.6227,14525000.0,-0.011475804856892048,0.019780395309650395,-0.004270952278806783,0.022907823048141852,0.0605727209239606,-0.007683777184215593,0.021211784621965855,-0.03922168218512345,0.0402961142304723,-0.146978430637007,0.35,-0.15035122008221502
2002-07-31,22.2403,25.3677,16.2151,19.328,19990300.0,-0.010296655298002434,0.04052969242349447,-0.002855785088986863,0.04737196772228436,0.07155291700116884,-0.006399056617089515,0.04330990200255257,-0.08498412985673465,0.10074306394058485,-0.1403511367476318,0.18181818181818182,0.08588501987245568
2002-08-31,18.3529,24.6742,16.1903,20.1998,19639500.0,0.009156961126557794,0.045956390845390035,-0.0008840848327135669,0.04989169718084178,-0.10129454442542718,0.0038973656240823195,0.04713164627579422,-0.12434809305851191,0.08670137250566246,0.09588510320703901,0.5,-0.1290233552957135
2002-09-30,18.7278,22.5453,14.587,16.6263,13976600.0,0.010761514498350068,0.01862295824311072,-0.02516665526064794,0.02971622851005856,-0.34852018309163,-0.008148048532701516,0.03058365452818454,-0.06976740557028949,0.03581132199939496,-0.11902327196113027,0.4,-0.32017660209975785
2002-10-31,18.5269,19.6791,9.413,13.5861,26455100.0,-0.011291794762755413,0.05666590508051911,-0.011762941591757984,0.04832870590939872,-0.028237351473541672,-0.011548783942211361,0.05098680312327708,-0.1274951177122836,0.06272415129395315,-0.31017651876517455,0.4782608695652174,0.09807458205412545
2002-11-30,14.2871,18.0144,12.6876,15.9177,12340500.0,0.007816584417890078,0.024859679115653482,0.007299372393494296,0.03260154311580336,0.0026444641739322705,0.00754436756294493,0.028393115198471305,-0.04326485235406308,0.06744055029409513,0.10807466538870861,0.6,-0.13726051878812584
2002-12-31,14.8792,15.3511,11.3923,13.1012,14200700.0,-0.01675359230122882,0.030062088264837587,-0.001466118707457427,0.024358923277159432,0.1346550249290277,-0.008345481824654555,0.027453552680583367,-0.06485810366731037,0.027120359213252065,-0.12726043545354254,0.38095238095238093,-0.1438058354524548
2003-01-31,14.1648,15.4179,11.969,12.3908,12932800.0,0.004303029589957664,0.03264755864224861,-0.011964984557803674,0.01437696499420213,-0.1703420964454594,-0.004644378191311071,0.025030386705784183,-0.044092787950896106,0.05680755426244488,-0.1338057521178716,0.3333333333333333,-0.08788634102291348
2003-02-28,12.4569,13.3158,10.2594,11.5235,8047900.0,-0.008653532146579657,0.01549090842900374,-0.0009981691157940897,0.0315735018280433,0.059246566014696356,-0.00440055268503212,0.025335648775385185,-0.04926100869738903,0.03533407584683301,-0.07788625768833025,0.3684210526315789,-0.04867131818193583
2003-03-31,11.1275,12.6083,8.7605,10.7054,17138200.0,-0.0077238827448849155,0.02942663364954109,0.0002789615980534066,0.033712659846947116,0.07258352228255172,-0.0033223183562688385,0.03129643816552467,-0.08694793274241519,0.048865127560190125,-0.03867123484735257,0.47619047619047616,0.06575412741695184
2003-04-30,10.7386,12.1832,10.2378,11.5837,13142600.0,0.0005138465749728008,0.008573576647188039,0.0066069648125318785,0.017629727515551873,0.06805199376309545,0.0038650616056302932,0.014290034804788495,-0.016110415379858356,0.035701052286315704,0.07575421075153516,0.47619047619047616,-0.036616505748618924
2003-05-31,11.3686,13.0797,9.2475,11.07,15315300.0,0.0029400450732871442,0.017008012793524215,-0.005350614550303622,0.02739651978691495,-0.08531716571292414,-0.0016198177196877772,0.023124504422510187,-0.06664442419525507,0.03533605657814576,-0.026616422414035622,0.5238095238095238,-0.019476720645341325
2003-06-30,11.3021,12.4519,10.141,11.1955,15023300.0,-0.0038255482056346324,0.020749867973054427,0.002603710818267087,0.017105438009291915,0.06307075285164965,-0.0002894557424886868,0.018602527207334935,-0.026574396404992484,0.03674213849904939,-0.009476637310758068,0.42857142857142855,0.08233975700187104
2003-07-31,11.4206,13.3134,10.0266,12.5254,13876900.0,0.0025336111041684094,0.018345787204070735,0.006760763638047098,0.016733417731417472,0.04903228897683398,0.004747833860009628,0.01720869320474951,-0.03235549035860297,0.035723502609766644,0.0923398403364542,0.6818181818181818,0.013274273734293482
2003-08-31,12.2859,14.7517,11.1962,12.5752,16800100.0,0.00851025111620639,0.02501005386584252,-0.005874954560834311,0.034049263957778346,-0.14121676021503493,0.0005983879938340042,0.03045434038755367,-0.0934772591936972,0.05345075778449404,0.023274357068876737,0.5238095238095238,-0.17656946870322465
2003-09-30,13.7634,14.3705,11.0234,11.6516,12037600.0,-0.004942341437881254,0.02614374656081705,-0.00717524364111257,0.012936539699161224,-0.03444660711130698,-0.006170437649658478,0.019420803328285732,-0.05379305654389199,0.025773721048661713,-0.16656938536864138,0.42857142857142855,0.04527321963676465
2003-10-31,12.7522,14.8327,11.6175,13.4769,11265600.0,0.010121273134210452,0.03277600410423755,-0.0007178857170604772,0.0174290349731412,-0.10982735994683024,0.004209004669880854,0.025495771859528858,-0.02611751821026953,0.08910481177073404,0.055273302971348,0.43478260869565216,0.0373897117283456
2003-11-30,13.3936,15.5284,11.4843,14.0436,13373300.0,-0.007181256512528267,0.016533865200975016,0.01017386996396481,0.03212927561653161,0.15918875173987423,0.002460480418856776,0.027162758420690696,-0.02195078860616073,0.07119813359832117,0.04738979506292887,0.3157894736842105,-0.043359510255926714
2003-12-31,14.2186,14.277,11.4263,13.7521,12833200.0,-0.01286863315839346,0.025692093499850088,0.008666082242053735,0.009971930365482693,0.2240132362465257,-0.0015885441391115965,0.021638255515411996,-0.05202452406398406,0.04098355320823366,-0.033359426921343506,0.45454545454545453,0.03514673541263973
2004-01-31,13.5444,16.5911,12.7048,14.1699,11376400.0,0.0038050926595461438,0.01651326541488595,0.00017729311329244267,0.028784662442462534,-0.032472902802990866,0.0018957244773073537,0.023215004546706403,-0.03621308310718696,0.058163979110815944,0.04514681874722293,0.6,0.04961516001350207
