,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2014-01-31,43.2219,43.2391,42.9972,43.0309,4232.0,-0.00250449825057264,0.0035418953928995174,9.529852960532548e-05,0.000507595365325055,0.005390190619566582,-0.000771300397120663,0.0021132868492740346,-0.00500899650114528,0.0008043799617709624,-0.004428848969554248,0.14285714285714285,0.010846307705072547
2014-02-28,43.0663,44.0776,43.0663,43.9735,125602.0,0.0010489046522645928,0.0018044955724034531,0.0012455153821539166,0.0027070929277759554,0.004063916603422424,0.0011581328355364394,0.0022870531056232673,-0.0007882321455503494,0.008512717864917807,0.020846391039655812,0.5789473684210527,-0.009018155722848125
2014-03-31,43.9735,44.2853,43.0208,44.0167,45193.0,-0.00035025704798756035,0.004267420670494842,0.0003758400948748514,0.0016205006071977703,0.007286554475511409,4.909638058676613e-05,0.003031040988994564,-0.00730142664031197,0.007833068338556348,0.0009819276117351535,0.3333333333333333,-0.00979866092962034
2014-04-30,44.1813,46.0025,43.2465,44.1902,24702.0,-0.00010013750713956505,0.00490036721406124,0.00011003965707487851,0.005280856459595798,0.0020016341350048705,1.0482052973299977e-05,0.00496266641216596,-0.008632073053224776,0.010974012938504085,0.0002014224049628805,0.3,0.02354907284417107
2014-05-31,43.9735,47.0863,43.8612,45.4738,40882.0,0.0014125264419996163,0.0023066234921421546,0.0017153624498847234,0.005045566142206643,0.006156248970735412,0.0015790862463364252,0.003957640413347141,-0.005097819923779223,0.01556902679760519,0.03354915617875437,0.47619047619047616,0.011612413106916393
2014-06-30,44.476,46.6287,44.0986,45.4477,31597.0,0.0009185871963469773,0.002970473410788056,0.0006381476367318228,0.003986235858065092,-0.0018858083998045672,0.0007709874281284749,0.0034478086474091893,-0.007900083179829043,0.007708085085978755,0.021612496441499717,0.55,-0.017910676370037553
2014-07-31,45.4477,45.9209,44.6145,45.0896,45422.0,0.00029835517385813485,0.00540983913735998,-0.0009632536000161451,0.002070100636831493,-0.01328098616490081,-0.00039552965177271917,0.0038720506131129746,-0.004571315737689652,0.012952637218194507,-0.007910593035454301,0.3333333333333333,0.0037137104174597736
2014-08-31,44.9586,46.5854,44.5649,45.5794,24417.0,-0.0006511434992119271,0.002082690341548762,0.0017794622949954717,0.004141505682557595,0.025434376737857534,0.0006856896876021423,0.0035203567108779404,-0.005276161989538952,0.008971646441815917,0.013713793752042932,0.42857142857142855,-0.0374115082545234
2014-09-30,45.2899,45.4652,44.0538,44.0653,61668.0,-0.0015360915543883242,0.005348290006942187,-0.0014809044459104552,0.004237107973280699,-0.0024651249155200894,-0.001505738644725496,0.004636125671308304,-0.010095837334484603,0.006394507262443838,-0.027411424919940138,0.2857142857142857,0.0016138210798816997
2014-10-31,44.4973,51.3544,43.8896,45.0171,19426.0,-0.00036978127149462915,0.006955622844395865,0.0014480745552694074,0.002953528769883403,0.02107470737817918,0.0006217764521948454,0.005114907932779256,-0.011731583631816367,0.00935578421914185,0.011613904414465035,0.43478260869565216,-0.019859407606435304
