,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2000-03-31,1.4877,1.6214,0.9309,1.13,3751400.0,-0.027053579298342845,,-0.056394173031980875,0.06284634491870131,-0.14212893979759977,-0.049059024598571366,0.053369713539180456,-0.1259696890293922,-0.003743079680916084,-0.2750136704568117,0.0,0.0950049399625851
2000-04-30,1.1254,1.4079,1.0128,1.25,29620600.0,0.006214045381983755,0.01344371472464101,0.0037328105265999416,0.0264569116653696,-0.012384257789870623,0.004835581573437192,0.02113292687698295,-0.033150445920888505,0.055285315657087886,0.1050050232971683,0.5263157894736842,0.3266612405864353
2000-05-31,1.2087,1.9874,1.1636,1.6925,11762200.0,0.010479087736273046,0.026640196347812537,0.019550208833397264,0.03774586183123869,0.11026141980463944,0.015230627358576207,0.032454444472211054,-0.03079665897925893,0.09276148008131108,0.33666132392101855,0.6363636363636364,-0.07187030334196322
2000-06-30,1.6418,2.0302,1.2342,1.5433,9808800.0,-0.008230880928836276,0.038348361878748564,0.001036738022786981,0.044471543556632985,0.09371292753901955,-0.0033764138589383796,0.04090381834396168,-0.08932516283989916,0.07696104113612834,-0.061870220007380024,0.36363636363636365,-0.03622806845376939
2000-07-31,1.8658,2.2501,1.5003,1.8175,6194000.0,0.011539279425488762,0.029125380532614153,-0.004481291976065149,0.029236873738031893,-0.14866643459005036,0.0031073997404603877,0.02952890032381553,-0.05574828053070702,0.04935290312246121,-0.026227985119186226,0.45,0.0987439276711304
2000-08-31,1.9621,2.2845,1.7402,2.1875,4121100.0,0.0007922716136748997,0.016876181413810906,0.011707040755286974,0.025846287412940688,0.1325617729266947,0.006745782054554213,0.022425960419849896,-0.020100904072121062,0.07388645822820483,0.10874401100571356,0.43478260869565216,0.06777559489276695
2000-09-30,1.6815,1.9892,1.4449,1.8175,6213600.0,-0.008940780091444686,0.022222050711277957,0.004357681719909967,0.02581141799444661,0.12404383802210184,-0.0019415896644159208,0.024477116514899547,-0.05783754825532239,0.03784614249011464,0.07777567822735015,0.5,-0.3480654380241442
2000-10-31,1.5705,2.1523,0.866,1.12,9100700.0,0.008856044896994309,0.02487301992847335,-0.045046595109062344,0.16334459835661516,-0.5840729951696289,-0.019378671296654413,0.11991702123399614,-0.5346642132458324,0.06079219617794973,-0.33806535468956095,0.45454545454545453,0.23910715629535712
2000-11-30,1.0432,1.4885,0.9273,1.3383,12309800.0,0.007763612396434154,0.04346155985301688,0.012865063843899975,0.030186320515120966,0.07164319071499234,0.010569410692540356,0.0358007789795328,-0.03341676392423559,0.08761890341456643,0.2491072396299404,0.5238095238095238,0.03954415090441217
2000-12-31,1.4077,1.6534,1.1074,1.4792,5964000.0,-0.009741685250698498,0.032499974109540274,0.016436582850703096,0.026138912808907393,0.25204099576331745,0.004036350592144446,0.03148662630413571,-0.04860042884963317,0.0651097865058633,0.04954423423899545,0.5,0.059918481372335845
