,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2001-08-31,10.3627,11.3724,9.3366,9.9764,1796000.0,-0.0045515328729800585,0.03480046860084134,-0.0003691905522619443,0.043658520071116445,0.037271890334201085,-0.0023503000726021036,0.038676748020393927,-0.058100546237792816,0.07894431906907062,-0.03799051683218837,0.35,-0.42857180476203316
2001-09-30,9.9262,10.3879,5.6441,6.5313,1741600.0,-0.019857404527181693,0.034422937075985184,-0.03715737001963748,0.06742530448056538,-0.1781145329940097,-0.029743099094299286,0.054613345666847474,-0.14532967841675015,0.07010583650195223,-0.4185717214274499,0.26666666666666666,-0.20156426438447267
2001-10-31,6.5891,7.5073,4.8426,5.4404,2971500.0,-0.006705813594212984,0.03446715036975881,-0.011004218851535926,0.04418285088817136,-0.06499249027630127,-0.009050398280025497,0.03919791496008044,-0.08817763305932314,0.06416436626710587,-0.19156418104988945,0.34782608695652173,0.13069123647875536
2001-11-30,5.6206,7.3561,4.508,6.4697,2162100.0,-0.005744319584549734,0.047618697083510596,0.018554017254842948,0.07294010884558806,0.25579306606422003,0.007619765677116241,0.0625196569874149,-0.0494793609652735,0.1472008510447782,0.14069131981333866,0.3333333333333333,0.16522285240305573
2001-12-31,6.2534,8.0205,6.0307,7.451,1449500.0,0.007250509847971376,0.033010761833587976,0.009297095041487813,0.035576592850593135,0.027716361783135746,0.008327659949822132,0.03344046876285412,-0.03043111720253977,0.08977153483879752,0.17522293573763906,0.4,-0.06422313293901517
2002-01-31,7.4518,7.6001,6.4712,7.0585,593000.0,-0.006654122044077375,0.030648006422916853,0.0014148045272219599,0.02376271283521702,0.07544994819613793,-0.0022162124298627404,0.026639256840973336,-0.048781801601956554,0.042100963288909776,-0.054223049604432,0.38095238095238093,0.16192080102472137
2002-02-28,6.8556,8.795,6.5488,8.1416,946300.0,0.00862386810177379,0.01772387438942417,0.00935222046541644,0.03866796121123208,0.024531259839974062,0.009028508303797485,0.030349153343055733,-0.06161456867184367,0.08863846932399433,0.1719208843593047,0.5789473684210527,-0.08131996404185074
2002-03-31,8.8936,9.2339,7.6694,8.2814,1417300.0,-0.002838175538087443,0.03369332804239739,-0.002643052700723425,0.018254345719933333,-0.0008869471644472604,-0.002735479307895855,0.02590698470915265,-0.05344235207804404,0.05665869475270613,-0.0713198807072675,0.5,-0.08233973658866293
2002-04-30,8.6881,8.7486,7.2677,8.0818,1489800.0,-0.010018038954038123,0.022715911110200503,0.0025309760260274154,0.02584202959916343,0.1280211258266828,-0.003444745393051412,0.02464457555912768,-0.05311618468856727,0.05163329729583177,-0.07233965325407962,0.3181818181818182,0.03367416422420857
2002-05-31,8.38,9.9438,7.5925,8.7541,1464500.0,0.007686436336643165,0.0308981818208656,-0.0014525819338872688,0.02729246118573699,-0.09284276463919161,0.0028993315282700807,0.028704143879702885,-0.03921485751239606,0.05655927791469928,0.043674247558791714,0.45454545454545453,-0.20558590649698658
