,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2006-11-30,24.9824,32.172,23.5383,28.3,24996400.0,0.027653716230202185,0.054459259883466817,0.01029585779884865,0.015783264050352422,-0.0314818596963633,0.016805054710606226,0.032717396558412604,-0.016129381929883557,0.08863607271663154,0.1246902277053572,0.6666666666666666,0.07217654609075383
2006-12-31,27.4859,32.4073,25.0353,29.84,10819600.0,0.00015924203529863826,0.016884312120723267,0.006614839537847495,0.03334139733592925,0.0647152170607872,0.0035569249313769837,0.026334267506738354,-0.04002737390976474,0.06118882121078206,0.08217662942533718,0.5,0.17427333075487686
2007-01-31,26.9224,37.5126,25.1645,32.37,7595000.0,0.0020090177979374462,0.014068948984074871,0.010924682048211088,0.030463327301803015,0.09116566030067386,0.006701472666502521,0.02393525823951654,-0.024416978630522834,0.06638136563879371,0.18427341408946013,0.55,0.3658401443004694
2007-02-28,32.7905,59.8131,28.2113,47.75,21926900.0,0.00605137577340753,0.031096219410107515,0.033141697319716015,0.08519049564343059,0.2830059670098999,0.021101554410245575,0.06657473570965709,-0.05633057575407996,0.24324356957875892,0.3758402276350527,0.6842105263157895,0.03593614909959628
2007-03-31,49.6749,71.8863,40.9689,52.01,35374100.0,0.009572780353142196,0.05885182714755672,-0.00118087967601936,0.03061017567517755,-0.10871747996763492,0.003939910814057572,0.045358244132806064,-0.07510470958266158,0.10649318167127886,0.04593623243417957,0.45454545454545453,-0.009428157856054907
2007-04-30,59.9557,71.7537,52.7777,59.99,30722200.0,0.01667519483432647,0.027843145738572127,-0.007928434512554362,0.028590659173007238,-0.22936109863448184,0.00372591623070498,0.03020867379498761,-0.0590643218045841,0.0583677736498478,0.0005719254785282599,0.5,0.2713431177730329
2007-05-31,51.3545,79.2811,47.1845,68.04,52934900.0,0.01409303697103379,0.05497205834467567,0.006464109472021352,0.021478456458637947,-0.06982516551810303,0.010096932090598703,0.040072088571986596,-0.03921481955049266,0.14062438313581715,0.2813432011076162,0.5,0.2654437472111194
2007-06-30,67.7921,95.034,66.5856,89.29,40049300.0,0.01055000583949697,0.0206072536512468,0.01590316923626898,0.01911592289234222,0.07998480904348604,0.013494245707721574,0.01945751820394396,-0.011557563463847842,0.0537587727311557,0.2754438305457027,0.7142857142857143,0.12487283488322248
2007-07-31,98.3667,153.5615,86.7107,112.57,59251900.0,0.01981261504404625,0.07775186255677988,0.0004209136472524057,0.03703822551350985,-0.1736834852766398,0.009147179275809636,0.058012025546180006,-0.06624710775361553,0.21461292878340643,0.1348729182178058,0.47619047619047616,-0.08962805893599955
2007-08-31,112.3384,127.0226,64.9372,103.74,68413200.0,-0.020539501580496732,0.048627937938237005,0.014149328096708732,0.051263494486023284,0.3751869529654721,-0.0016183217565664794,0.051985816523204595,-0.08697501401440721,0.09828236175059502,-0.07962797560141621,0.4782608695652174,0.05276576007424065
2007-09-30,110.577,130.5883,84.1805,117.7399,53128000.0,-0.010539091538879886,0.023807827597625203,0.018014878547865987,0.043077799126258504,0.26446151778969895,0.005324225175978932,0.03780184009690957,-0.0434680802992089,0.08866857912310522,0.06276584340882384,0.5263157894736842,0.15745587723964746
2007-10-31,134.3237,172.2472,109.9834,158.81,65411400.0,0.006103226324585975,0.02983016787508873,0.013567014971545147,0.04023231808667256,0.10177191641268202,0.010174383768381888,0.03526595986628091,-0.05355357201819544,0.09245065998384927,0.1674559605742307,0.6086956521739131,0.4254229135972047
2007-11-30,153.4339,291.1856,132.4474,237.15,109669100.0,0.01964234204504943,0.1311814736327367,0.022384648916280933,0.046021621022435975,0.06945005967364537,0.021150610824226757,0.09144620317677422,-0.15189715774681467,0.2948521828772437,0.435422996931788,0.5238095238095238,0.18021659943356072
2007-12-31,220.866,303.9371,188.5876,267.14,81447300.0,0.010390658938484244,0.05134509531894603,0.005957469403404758,0.047250283959636805,-0.033941236412310616,0.00805740128844241,0.047886989926203286,-0.08159011855473253,0.08129474239324708,0.19021668276814394,0.6,-0.3905718930399213
2008-01-31,265.9515,269.238,126.5575,181.77,145592100.0,-0.02976465407534295,0.03777838299320342,-0.010840264747564842,0.067720619668271,0.14863897445487328,-0.01935623994506499,0.05574907551122571,-0.12039888625995587,0.08082467043982522,-0.38057180970533805,0.3333333333333333,0.06855268012952988
2008-02-29,189.6527,259.041,142.2653,205.1512,132229100.0,0.020745884635531633,0.10751648174151426,-0.008838973449790543,0.027639271960407517,-0.2751026962176901,0.005174906695888382,0.0758286450977339,-0.08038893141750858,0.26338027548576726,0.07855276346411327,0.4,0.08342526835431552
2008-03-31,210.5237,246.6511,141.6553,231.14,95433600.0,-0.00361939717465059,0.06568747484260146,0.014051501638079066,0.03806180103547797,0.17308959095264598,0.0056810758846808085,0.052194183667678105,-0.1085722071561328,0.11509493821902517,0.09342535168889889,0.55,0.19554099096465166
2008-04-30,237.7402,334.7397,232.6111,291.99,113818200.0,0.019030264591959868,0.03674749398988895,0.0014657252636283147,0.023090492711337344,-0.1741796680196872,0.009829791610452863,0.03090399170219348,-0.041097452155703706,0.09978058886435104,0.20554107429923482,0.5,0.08478963688112609
2008-05-31,243.3448,330.322,222.9551,267.54,90136600.0,0.017380070349960402,0.029562035430454946,-0.01278507917584839,0.045197388271552535,-0.2970565040839759,0.0007892381107655666,0.04099007260641406,-0.08030508438087214,0.06503429065439104,0.09478972021570932,0.5238095238095238,0.06895141336272183
2008-06-30,252.1088,315.4825,221.7068,272.82,78784300.0,0.007725474418635001,0.03713198387812025,-0.000521655906727309,0.033832106297344136,-0.0752674847417154,0.00318955273968573,0.034650938328629456,-0.059868780972153424,0.07115294085315149,0.07895149669730508,0.5714285714285714,0.0238401336658832
2008-07-31,275.5459,309.0326,200.636,285.03,60758200.0,0.006410433497574619,0.04052669738601741,-0.0011315644048184707,0.02777339448238358,-0.07655154342874937,0.002459863167749667,0.033758913749785686,-0.08815393469546606,0.05355148127114262,0.03384021700046636,0.6363636363636364,-0.003877638168775124
2008-08-31,274.9614,304.1777,226.2713,276.65,43482800.0,-0.008527482565628,0.02812384442194429,0.005642867120781003,0.02582033810919411,0.13881888141924303,-0.0007337902381030492,0.027133643625922407,-0.04928184304890326,0.05361146798767802,0.006122445165808043,0.5238095238095238,-0.2948004469056483
2008-09-30,251.1552,264.6872,149.5304,188.91,68274900.0,-0.02776983109124546,0.048513585332897846,-0.006526133972797655,0.07077249379400219,0.17814100612043493,-0.01608579767609917,0.06119421673568181,-0.1386690236791548,0.07960529474014955,-0.2848003635710649,0.3333333333333333,-0.32305074536224926
2008-10-31,196.5228,201.416,91.148,143.7,121171100.0,-0.046811956924938156,0.11286855495918288,0.012610392234042736,0.0945680115323801,0.6194442760578944,-0.014399766474584942,0.10517289124822307,-0.2213294067486009,0.21886659960703803,-0.31305066202766607,0.2608695652173913,-0.36770477565722265
2008-11-30,178.5266,198.113,74.7886,124.84,112919300.0,-0.032031244765183375,0.11038387009377597,-0.00037577497746150713,0.09871654229580532,0.25249220834685193,-0.014444872660893449,0.10216780657626794,-0.1734080012842414,0.1934649272191704,-0.35770469232263946,0.3684210526315789,0.2891381017814232
2008-12-31,102.2914,194.4673,94.5627,137.96,91730200.0,0.0009033485097667438,0.08116135164427012,0.019603036932014414,0.05680174599989991,0.2065999211544911,0.01069842339761076,0.06833027037032997,-0.1409752263118138,0.14112392239546878,0.29913818511600654,0.5454545454545454,-0.16974552741778937
2009-01-31,167.5347,185.8657,123.4933,142.8,80358900.0,-0.006742486584437855,0.05593632011398772,0.00015418042160018076,0.03676777709928227,0.062224183475942496,-0.0031126618444178356,0.04559672465774657,-0.08075560681824712,0.06670104848532254,-0.159745444083206,0.55,-0.2684370172278738
