,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,1.6436,1.9809,0.9897,1.2473,27677500.0,-0.03344369791178278,0.08815374846042479,0.0022805034844049043,0.0558847975498623,0.326078819534499,-0.013795387143879562,0.0724449173007686,-0.25527700242986473,0.09669736772507226,-0.2759077428775912,0.42857142857142855,0.15537502175350834
1999-12-31,1.1922,1.5911,0.8969,1.4066,15859200.0,-0.016315687873183583,0.026995927047455345,0.02864708277931739,0.04760653892949635,0.4782747893043271,0.007236239611459784,0.04461639010609433,-0.04906315650272794,0.11189340145669219,0.16537510508809175,0.45454545454545453,-0.1738745553595456
2000-01-31,1.433,2.585,1.0561,1.2164,25277900.0,0.022385065917119275,0.07839092413043561,-0.03862640755492448,0.045026467982266644,-0.5877296688033182,-0.009726235910272173,0.06873457880182797,-0.11791413616824875,0.14208654190040154,-0.1638744720249624,0.25,0.4985978644157386
2000-02-29,1.1954,2.4285,1.066,1.9879,25909800.0,0.0291736570019121,0.06666169347680236,0.024194436659196777,0.05831887455905694,-0.020618546425241135,0.02655301471627246,0.06068017705995423,-0.07649657595682802,0.15483965792778542,0.5085979477503219,0.6,-0.2959046206222248
2000-03-31,2.1921,2.3512,1.1753,1.647,17320100.0,-0.022373320590202018,0.03554342824363322,-0.0007304464680840533,0.07230841646924402,0.21496784828501153,-0.010568116523592219,0.05832527063720783,-0.12157327527527345,0.11787314604166638,-0.2859045372876415,0.43478260869565216,-0.08915747248156757
2000-04-30,1.5242,2.0213,1.0273,1.4082,13456100.0,0.0016944288473864158,0.04668110850530052,-0.01163775762425665,0.09371428759204135,-0.12993300702165783,-0.005712341414637507,0.07478800551332035,-0.09592351577041308,0.22115717154642844,-0.07915738914698438,0.3157894736842105,-0.05995558488047385
2000-05-31,1.494,2.386,1.1842,1.4212,12988400.0,0.014484801068665343,0.06899544212517494,-0.01491027528067158,0.06382215103179768,-0.3088610387740408,-0.0009126198762254263,0.06637096223962355,-0.15247298346953647,0.16402468391413516,-0.049955501545890554,0.45454545454545453,0.2068201782255235
2000-06-30,1.4881,2.2745,1.2238,1.8484,12624800.0,0.012826817775620475,0.073223876521371,0.009063816182662478,0.06207329575392078,-0.028566199746917487,0.010855721703118668,0.06590172139993652,-0.12648354766654124,0.09773195142961505,0.21682026156010675,0.5454545454545454,0.05515119882978939
2000-07-31,1.8048,2.7257,1.5933,1.9263,9313900.0,0.018444304743518658,0.05290569837061527,-0.010697889078930678,0.044897460009859,-0.2729776334809747,0.0031063079948611128,0.04975327262578896,-0.08384596407421252,0.0936679428334729,0.06515128216437266,0.5,0.06251122531424361
2000-08-31,2.6102,3.3258,2.0256,2.8065,13343200.0,-0.0028464323498290757,0.03548087629213125,0.02044930921513516,0.043180373284324634,0.27385603407991266,0.009860335776515051,0.04070811321545004,-0.050968885570616296,0.09849952979393062,0.0725113086488268,0.5652173913043478,0.0738971869210058
2000-09-30,2.6212,3.5433,1.9316,2.8506,14183600.0,-0.0017070994366234309,0.056371745621053695,0.0059141385724254866,0.06704874799618196,0.07450528065386575,0.0023040784628759995,0.06062504633621891,-0.10329913198364815,0.09501757725659499,0.08389727025558895,0.55,-0.14225538019070622
2000-10-31,2.5508,2.9721,1.6752,2.2348,21004500.0,-0.005275164359640427,0.043854056420241413,-0.012566863453870248,0.06770931443922104,-0.08548385439616846,-0.009094625789951285,0.05631723565366066,-0.12338102604721535,0.09112301523035082,-0.13225529685612294,0.4090909090909091,-0.04996928319901897
2000-11-30,2.2026,2.7999,1.2849,2.1163,19795500.0,-0.010019735029035772,0.05570167901413858,0.004436543391744324,0.05492379133556042,0.1389795925705095,-0.0020687818976067194,0.05430039043975236,-0.13643089197461322,0.07420270052020217,-0.03996919986443567,0.5714285714285714,-0.14899718725214153
2000-12-31,2.4767,3.0912,1.5403,2.1553,18730000.0,-0.013674037756599946,0.06623051108914656,0.006384280440535128,0.05765076363854095,0.1869091442147508,-0.0031170281791604334,0.060969091642053955,-0.09633278137174162,0.11570643400250602,-0.13899710391755818,0.35,0.018135059681120117
