,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2011-03-31,34.9883,44.2733,31.4503,36.9022,13369300.0,0.015292349976250433,0.03220918650344027,0.013936056712114508,0.05161781621412774,0.009867176919706733,0.014517325253887048,0.040969935572735615,-0.038965626984684754,0.08285815281637277,0.0532574499762467,0.375,0.012449577975360827
2011-04-30,34.7787,38.602,33.5972,35.5683,23593500.0,-0.003581373490898956,0.011942634413107452,0.0031231970732711113,0.01466634178157155,0.06346433215080172,-5.265214133576279e-05,0.013519232014452816,-0.022426930602061024,0.034726166771575695,0.022449661309944285,0.4,-0.1629181737683492
2011-05-31,37.8914,39.6029,31.9413,32.5184,10555700.0,-0.007051686669722705,0.013764043220581836,-0.004580938263433299,0.0072209235121331525,0.013074859129738048,-0.005692775046263532,0.010430789969722184,-0.0352158093854289,0.01428994516240234,-0.1529180904337659,0.2857142857142857,-0.04239898159709081
2011-06-30,31.6879,34.2656,29.8122,30.6777,9656400.0,0.0001662148537969088,0.010170894075888089,-0.00427223939746435,0.006649889195775904,-0.04865678191007694,-0.0021586897540066077,0.008591926056741334,-0.01800446507497977,0.014437232966935554,-0.03239889826250752,0.4090909090909091,-0.046088531030374545
2011-07-31,30.8647,33.3218,28.4388,29.7707,10305500.0,-0.0035554598143020654,0.01316481375255679,-0.00011950922079702053,0.015461900894993578,0.030804046120748385,-0.001747064765088884,0.01413045172486872,-0.027685370299350254,0.025346840995564168,-0.03608844769579127,0.4,-0.07927562886982069
2011-08-31,28.5326,30.0216,22.5143,26.6229,11954700.0,-0.013858889361046334,0.022355845625770733,0.0038447615830283035,0.02482601862246401,0.18472603260680298,-0.004202352482460168,0.024868470468343753,-0.05926072317632469,0.04511919138552001,-0.06927554553523742,0.34782608695652173,-0.1885558841045328
2011-09-30,25.8637,27.4262,19.0451,21.6344,8499700.0,-0.004926728852871253,0.03598702972141278,-0.013516256240415758,0.02909457869525041,-0.10433825896873206,-0.00965096891602073,0.03178106558493908,-0.09242485771723352,0.03909403271674172,-0.17855580076994956,0.2857142857142857,0.24808312892992343
2011-10-31,20.2648,27.6601,19.4483,26.2317,7563100.0,0.013622603147285497,0.019449518360573077,0.009681215908159764,0.015156990637292582,-0.016110053335812058,0.011454840165766344,0.0168593402312552,-0.018645467414897254,0.04230402275418488,0.25808321226450653,0.6666666666666666,0.11578310701090716
2011-11-30,24.8955,31.223,23.8879,28.2324,7007100.0,0.00714651310208995,0.027156688471452483,0.004129663222552462,0.025084357199851397,-0.01889232247073247,0.005487245668344331,0.025378386409242924,-0.03138575068422789,0.06084820524289558,0.1257831903454905,0.47619047619047616,-0.026183709076263727
2011-12-31,28.2682,29.7628,25.7074,27.8144,6119200.0,-0.0026244579002966516,0.01720760246143254,0.0009346532229965732,0.014350219999764985,0.03390130655563217,-0.0006669467824853781,0.015373942062913322,-0.03224337394231158,0.018255036661080748,-0.016183625741680415,0.5714285714285714,0.12508535757337047
2012-01-31,29.2717,34.9384,27.4187,33.5054,5771700.0,0.006075854121949418,0.01895984097281162,0.009690552309138845,0.01601021658061357,0.04222283599384369,0.007978326852049116,0.017069530448036236,-0.018076729228181154,0.039348186612274016,0.13508544090795366,0.6,-0.11907788582112797
2012-02-29,35.5818,36.6772,30.6707,31.9048,4317900.0,-0.006298739811496053,0.008780608357887552,-0.0022325462081532964,0.008529046080498173,0.03436319622193151,-0.0041586379149998656,0.008659653977705073,-0.019133362537934406,0.012727331372063055,-0.10907780248654468,0.2,0.07811810569465943
2012-03-31,32.7637,40.8042,31.4588,35.7818,5375500.0,0.0030321359260640167,0.012818823921818795,0.006411141032237873,0.022419564016257915,0.040201192093976434,0.004802090981678894,0.0181177752485569,-0.018238960916464375,0.06536345303478619,0.08811818902924272,0.5909090909090909,-0.0037719388456975487
2012-04-30,34.8615,37.3462,31.0651,35.0793,4120700.0,-0.003356701763384281,0.02137763331950965,0.002515460136936021,0.012443666133801325,0.055364917239818734,-0.0002660902368999115,0.017017909248924778,-0.045644152357404266,0.029122835277649806,0.0062281444888856825,0.5,-0.07273852726621396
2012-05-31,34.8227,36.0902,29.6791,32.7051,5585200.0,-0.007399161111030184,0.020673595784040273,0.00047098062965312724,0.009249244986273808,0.07917239803648624,-0.003276705913529402,0.015853243294634667,-0.05862699003706551,0.018497007645773778,-0.06273844393163068,0.5454545454545454,0.09028755748784882
2012-06-30,32.3674,37.0296,30.952,35.7818,4601600.0,0.0037119708070822493,0.011284285021842021,0.005831203635633871,0.012880115223902281,0.030735502728232333,0.004877548862785641,0.011920538602637207,-0.01790835219139275,0.02352273236649305,0.10028764082243194,0.5238095238095238,-0.031356660860028036
