,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2004-05-31,25.6548,28.0013,24.1245,25.64,40842100.0,-0.002661471224721416,0.016339025977928506,-0.0029210378099801203,0.011219470195592458,-0.00525713707730846,-0.0027980852169628393,0.013476147459564434,-0.03922071315328113,0.01637463487179014,-0.0005770565597563461,0.4,0.06678705987918718
2004-06-30,25.56,32.4027,25.3013,27.6,19504700.0,0.00715735605105995,0.026207047120793355,0.0011602046921683157,0.019215531682850354,-0.05165395284568808,0.003858922803669551,0.0222010810070666,-0.0361964958309251,0.05202967144586257,0.0767871432137703,0.6190476190476191,-0.03729682733987737
2004-07-31,26.627,31.0601,23.8714,25.91,11961400.0,-0.002954260861696688,0.013720881996815409,-0.0015308436739411846,0.015752259135992118,0.009749067341917161,-0.0021713814084311613,0.01450492979294355,-0.022490284894071788,0.030602623494961456,-0.027296744005294162,0.2857142857142857,0.08255469031414064
2004-08-31,25.2513,30.7992,24.0527,27.7,13562100.0,0.010551779782235293,0.031572416282914295,-0.0018195421875535154,0.012657234444233948,-0.1255327618854416,0.004071563512345918,0.02384858642176131,-0.024382706666474352,0.0925515573652449,0.09255477364872376,0.4090909090909091,0.09282189968168886
2004-09-30,27.61,33.1261,27.1108,30.6,13556400.0,0.00617877527381383,0.016104777380539156,0.004226262959880519,0.014032565965117757,-0.009120084905638759,0.005104893501150509,0.014623180620851915,-0.02377574948456962,0.03158157205029877,0.10282198301627214,0.6666666666666666,0.02994743728258701
2004-10-31,30.6604,34.2435,28.0526,31.91,16501400.0,-0.0020926881047947316,0.01592605965788187,0.005671722510518224,0.017267263998410214,0.08122314055885305,0.002177737733627394,0.016716073461011928,-0.03159032428758968,0.03597048038231865,0.03994752061717025,0.5238095238095238,0.017881132117469604
2004-11-30,31.3438,34.4648,26.8013,32.23,18484400.0,0.0016012529978665215,0.028023210176399835,0.0002259313767016622,0.009490291466475348,-0.011926031837080409,0.0008448261062258489,0.01945632323441962,-0.05740952140498656,0.035875464664221646,0.027881215452052844,0.5238095238095238,0.030197106416829773
2004-12-31,32.1801,36.7288,30.5985,33.5,10416800.0,0.004042489335351629,0.015885987746885277,-0.00018976110553844708,0.006209301977341311,-0.04251226551443921,0.001825596247266351,0.011727446947653186,-0.015945312043323057,0.02520749619578755,0.04019718975141297,0.5,-0.13880632862821773
2005-01-31,32.8615,33.4868,26.9704,28.89,13091900.0,-0.0016240646425365293,0.017673701904930377,-0.012081677389451784,0.02775862208907083,-0.10620019211168907,-0.007128071351439295,0.023513325714974356,-0.08585690907105858,0.023260468763622644,-0.1288062452936344,0.4,-0.031242452718855424
2005-02-28,30.2355,31.2197,27.4781,29.6,15201200.0,-0.001147381844874562,0.01387574294177365,0.0010869672236903938,0.009254287332453124,0.020048726995900434,9.392319321708007e-05,0.011221613262526317,-0.018787913865633055,0.021751245932362107,-0.02124236938427217,0.47368421052631576,0.05446324178718454
2005-03-31,30.2554,36.7529,29.9986,32.27,17390200.0,0.0066107641183355435,0.023239402493114916,0.0010768659129003892,0.012425862625906418,-0.054262116141451155,0.003712055534536177,0.01811775462966039,-0.022537059248440183,0.06516646464329146,0.06446332512176772,0.5454545454545454,0.03822004959284659
2005-04-30,31.9706,35.8298,30.8929,33.55,13617600.0,0.0031387479223640036,0.009594313118311439,0.0014200567286356649,0.018075922188748247,-0.012628107286283718,0.002193467765813417,0.01454289152737056,-0.03954729708825422,0.027795994113196,0.04822013292742983,0.5714285714285714,0.1559819539460707
2005-05-31,32.2561,39.423,31.4777,38.08,21918100.0,0.0065640425642722695,0.026999599894513816,0.008476158994682358,0.012702687448960024,0.034161365863055515,0.007615706600997818,0.01981959155233363,-0.023925949051277318,0.06782753411049258,0.165982037280654,0.5714285714285714,-0.012284651208153937
2005-06-30,39.0892,41.6605,36.0164,39.0,17532100.0,0.0004924203289438988,0.013510116794312174,0.0007489977767775148,0.011519947331277992,0.003314772255113674,0.0006268180397138881,0.012186357129048107,-0.02833197949415789,0.021692824611259987,-0.0022845678735707764,0.4090909090909091,-0.011669277689535436
2005-07-31,38.3139,40.7329,36.2203,38.25,11816800.0,0.0006869333231463869,0.007907041190355964,-0.0017878439671508595,0.012289125973838117,-0.024060839579826077,-0.0006155810401679533,0.010242571439815941,-0.01781841848742527,0.020364152617859066,-0.0016691943549522125,0.45,-0.003487961566748997
2005-08-31,39.5814,41.4891,35.8561,39.84,21744200.0,0.00025667365221027083,0.012386263096031799,0.0017544507664860598,0.012345462531270696,0.01848667267573001,0.001073642987269792,0.012089993692757702,-0.019269436134520923,0.022953124811902814,0.006512121767834204,0.30434782608695654,-0.002744142294509577
2005-09-30,40.6738,43.3481,39.2498,40.97,11379100.0,0.0013707441439941724,0.012671342591606542,0.0004225751284063974,0.008432149433580026,-0.00768837088347718,0.0008492511854208962,0.010259693738323344,-0.015034171032086263,0.02632702181768165,0.007255941040073742,0.47619047619047616,-0.05026262402460478
2005-10-31,41.4872,42.1342,36.8466,39.85,9216000.0,-0.006654678943422038,0.01164546428159689,0.002991539590352628,0.012398080498721663,0.09279904598467725,-0.0013492587498459719,0.012737540642166529,-0.02135312447056892,0.025520137383768127,-0.04026254069002153,0.42857142857142855,0.06283367701512373
2005-11-30,41.0487,50.5301,39.9217,44.15,14757300.0,0.009775464678214933,0.032119653017790184,-4.117259622421992e-05,0.005328363669553342,-0.08843208066240082,0.004376314177273399,0.021781577189446743,-0.025729245965818937,0.09042019451013283,0.07283376034970702,0.42857142857142855,-0.04830559017089807
2005-12-31,44.4505,45.725,41.4832,42.78,10046400.0,-0.0012612066298543685,0.006583543941540855,-0.0021421012480128095,0.005348960998796745,-0.012212254059451588,-0.0017456986698415112,0.005788824633828476,-0.01497551313664136,0.013045619112429296,-0.0383055068363147,0.3333333333333333,0.033567763250414925
2006-01-31,42.8422,47.5347,41.29,44.75,13217400.0,0.00547629415814679,0.007956390109288341,-0.0012877620231893428,0.0142405525945882,-0.062164267655214545,0.00191626458902251,0.01189840174252528,-0.023466780821558952,0.019507216388824133,0.04356784658499815,0.55,-0.17844750028889342
2006-02-28,46.9836,49.1805,36.0972,39.7,26010700.0,-0.0018368572665388716,0.005511519441815589,-0.013107245251224642,0.05578823362513461,-0.11637759437993545,-0.008098183924697633,0.04115117157284862,-0.1696471158972268,0.01600034134644135,-0.16844741695431012,0.47368421052631576,-0.008150934265750708
2006-03-31,39.3871,44.0159,37.7094,39.46,36663500.0,0.0066773872539390485,0.015882614466323917,-0.004800736578020086,0.016114925457949625,-0.12438271147563151,0.0004165924365067938,0.01668409252387648,-0.023553352985812737,0.03281409496221732,0.0018491490688324987,0.4782608695652174,0.013731966101006129
2006-04-30,37.6459,40.2336,35.8846,38.55,21016100.0,-0.004876563743274942,0.007457154093175204,0.00423904526151273,0.013158396346987119,0.08140296256132684,0.0001876634816070983,0.011674161268153545,-0.015424470325631656,0.025716452597901007,0.023732049435589472,0.3157894736842105,0.13917637832246396
2006-05-31,38.6001,47.8186,37.3358,44.81,27332600.0,0.006679986921800695,0.02788592645495326,0.0073713349587830705,0.014631463208130703,0.014284815328606815,0.007042121607839082,0.02137980918461568,-0.016409634626230574,0.08202738660864917,0.1491764616570473,0.45454545454545453,-0.0628496881664264
2006-06-30,45.2704,45.8214,40.0341,42.94,16753000.0,-0.003471944758860879,0.015097557425595196,-0.0013658157999696385,0.015280854516829201,0.019695473788942763,-0.00236873435182261,0.014848748000214414,-0.02004729142663786,0.038735982169480376,-0.052849604831843214,0.3181818181818182,-0.021356729703637348
2006-07-31,44.189,46.3598,39.9449,43.69,10856500.0,-0.00434357367842406,0.008569732406579933,0.004207210800440109,0.016113688810867638,0.08116427111021762,0.00015683920518866064,0.013479861023243984,-0.021227212130573214,0.026810018048321727,-0.011356646369054098,0.45,-0.15393377689265816
2006-08-31,42.3006,44.5316,30.8417,36.63,50455100.0,-0.021088481100647493,0.0630892351685655,0.0042708491675245526,0.02035627744274274,0.26213500101676956,-0.007256119136190014,0.04571558921690871,-0.19407257332947347,0.03982401842249095,-0.14393369355807484,0.4782608695652174,0.026996817414634534
2006-09-30,36.88,40.8976,34.8182,38.27,33030000.0,0.00048074109008133803,0.013905483862239753,0.003212807858039746,0.018751692938833213,0.027801408769665414,0.0019186709679541842,0.01623933911507722,-0.019823288666648953,0.04300336858627318,0.03699690074921781,0.45,-0.045996367540034035
2006-10-31,37.6823,39.5842,35.0823,36.35,18847800.0,-0.0007149507483034778,0.011422908665186296,-0.0031461273296197897,0.010295840364352698,-0.027457893142782908,-0.001988424195659641,0.010642718773091865,-0.021408363775825112,0.013706065904367293,-0.03599628420545087,0.36363636363636365,-0.09735184953970175
2006-11-30,35.794,40.5958,29.0338,32.8,47718800.0,-0.014727164335309073,0.045828289926899586,0.003158449858533893,0.020764528026716206,0.16728742746165448,-0.004890076528695442,0.03456267740482879,-0.12675170563914406,0.044856194593416276,-0.08735176620511856,0.5238095238095238,0.009546471926538434
2006-12-31,32.93,35.4976,32.5602,33.58,23187900.0,0.004170879924340632,0.012052196569926019,-0.00182949924191651,0.005493537588906824,-0.055832911738230795,0.0010127856263105574,0.009440462569665095,-0.010575891759058376,0.026660258043122997,0.019546555261121746,0.45,0.07005644535162811
2007-01-31,33.9503,37.9939,33.7998,36.78,25300700.0,0.003234904205360964,0.007869447965475358,0.0053901081969642385,0.0072101370852687315,0.024786944121393706,0.004369222095678477,0.007398583045085709,-0.003244362084862562,0.02148188881589963,0.08005652868621145,0.7,0.026137108936885416
2007-02-28,36.9503,40.2597,33.631,38.31,23788700.0,0.00027107627864075834,0.007811268675965889,0.003668672984808596,0.02415244888284766,0.0345181196189599,0.0021586300042895573,0.018356732507867575,-0.030721011651118513,0.06497366321832443,0.036137192271468783,0.5263157894736842,0.000420773846659283
2007-03-31,40.476,43.0662,38.2603,40.9,24456200.0,0.000812599697427041,0.01058967173305497,0.0030742950278440954,0.012196448669925442,0.025691248332014638,0.001997297251455022,0.011232983080119562,-0.01616196795699798,0.028509057558353756,0.010420857181242645,0.5,-0.02128268060380769
2007-04-30,41.0101,42.6082,39.5297,40.55,13571100.0,0.001723104828415768,0.006255455894654708,-0.002532397319339852,0.007477297930545971,-0.04083191664914043,-0.0005166331440871898,0.00707898523193297,-0.01612744065160987,0.009998863940610114,-0.011282597269224365,0.5,-0.043663989639632625
2007-05-31,41.204,44.78,37.9369,39.84,19721400.0,-0.002030275233786227,0.013847880365170548,-0.00031889966871419387,0.009013204274419626,0.01679485598200614,-0.0011338404139865908,0.011299544227223712,-0.01863712599874434,0.02443571442518344,-0.03366390630504944,0.36363636363636365,-0.06400205226026796
2007-06-30,41.2062,41.9852,37.6098,39.04,19882300.0,-0.003663335470841103,0.012001349515512896,-0.0007883010605534272,0.005813575485907763,0.024298707571482225,-0.002082066545182881,0.00897702196549368,-0.01993090390018315,0.01660955521365448,-0.054001968925684776,0.38095238095238093,-0.012355724011021762
2007-07-31,38.7612,42.0698,37.1504,38.67,28552300.0,0.005152045694674386,0.010655669933319395,-0.004941181792025315,0.009874696702966616,-0.10072141096434795,-0.0003992294230104498,0.011210228663368139,-0.023066117454619395,0.01556932475353845,-0.002355640676438528,0.42857142857142855,-0.04995940314129806
2007-08-31,40.2257,42.6201,34.8427,38.65,36203400.0,-0.0025428363787444396,0.008744627777241061,0.0004540159109449604,0.01012096786398874,0.030876554718783922,-0.0009081896752774942,0.00942129926679933,-0.021828611619846505,0.012241330098104353,-0.03995931980671482,0.43478260869565216,0.04989079085267861
2007-09-30,39.0404,42.0975,38.5541,41.45,13060700.0,0.0012463352644955794,0.005689661756790081,0.005300894214753482,0.009230079147435101,0.043038260031570186,0.0034988680146388587,0.007920261509871351,-0.007148358241245489,0.021479347253948955,0.05989087418726192,0.631578947368421,-0.02083399790732049
2007-10-31,41.7802,42.2363,39.4749,41.33,12628000.0,-0.0016445352488737796,0.004839110643900529,0.0006477240933060827,0.007082130940272512,0.02421804160841079,-0.0003942119713211274,0.0061378449132417886,-0.014771317320312782,0.010214096582333632,-0.010833914572737266,0.5217391304347826,0.037532211775861885
2007-11-30,41.29,44.0773,35.5956,43.3,20696900.0,-0.00048579139808315987,0.025251365687630922,0.0047846590861897265,0.0113900647618184,0.05700337253083543,0.0024129563682669273,0.018547076467916913,-0.05779112502840844,0.0341636516048931,0.047532295110445204,0.6190476190476191,0.009408437766730561
2007-12-31,41.8204,45.7969,40.2623,42.64,16609600.0,0.004057662715612636,0.0144506726537295,-0.003275956151660786,0.01256980535880486,-0.06927852595712158,0.00019786331178451913,0.013636821602583452,-0.030651091718263412,0.029928568941120837,0.019408521101313657,0.55,-0.018474195888787983
2008-01-31,41.359,47.1154,38.4201,41.01,20166100.0,-0.00029159559196065586,0.020152953932691217,-0.0018649797830805135,0.013277535077837762,-0.017890417286239746,-0.0011569568970765775,0.01626153955829069,-0.02401570847225054,0.042314004691415885,-0.008474112554204738,0.38095238095238093,-0.005018239645657445
2008-02-29,42.3485,47.4064,39.1223,42.56,21601600.0,-0.0020141538436174106,0.00918929214465219,0.003734277832908095,0.02571538358850219,0.055470162921637645,0.001011336512448645,0.019413053627064237,-0.020594010485876613,0.07296159386668011,0.0049818436889257885,0.45,-0.017707039657982683
2008-03-31,43.1009,46.5356,40.0914,42.77,24498100.0,-0.0023558008500669616,0.011692402747463334,0.0018167303955448854,0.01106223123299557,0.03936951160605151,-0.00015973177342914742,0.011248514460683262,-0.016709602055467787,0.023995505556215768,-0.007706956323399394,0.4,-0.07985479475241544
