,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,10.3799,13.0955,9.2643,11.5,19510900.0,0.014283202364450945,0.03645076576745201,0.0004755499470502255,0.024678280231731346,-0.12331777186250603,0.006688993534880549,0.030490003120403945,-0.031160415815062237,0.08894748601649649,0.10247579158923635,0.38095238095238093,0.23442571396201703
1999-12-31,11.9431,17.6702,11.8191,15.25,13788300.0,0.023144938768953915,0.03489162074022859,0.002661534070337575,0.03689521824554253,-0.20217251291582583,0.012415536307773927,0.036583565300998544,-0.05624529866444883,0.07760124602355178,0.2444257972966003,0.5,-0.14687421183594884
2000-01-31,17.8424,19.1431,14.0559,15.56,8426300.0,-0.004291063440561664,0.039238446057734,-0.002788520348953538,0.02469612766547409,0.01073436747551959,-0.003500251287083703,0.03146164132830104,-0.07814032912733815,0.049596941139371964,-0.13687412850136554,0.4,-0.14181879422376567
2000-02-29,16.3263,16.9342,11.3609,14.31,5878300.0,-0.011542860500746797,0.016625843333560368,0.00042016868537002593,0.03735323779144008,0.10808743136042143,-0.005246529350158995,0.02929413805015813,-0.05294677297378625,0.08457868569490445,-0.13181871088918234,0.25,0.09030094274814619
2000-03-31,14.2469,32.0111,12.6784,15.75,12705800.0,-0.00572392186559596,0.019030634443945888,0.011316795096588486,0.12644205267922537,0.19304075981502145,0.0035710146592319203,0.09276363429351442,-0.11954515064978244,0.3588017130193015,0.10030102608272938,0.391304347826087,-0.19184621849160358
2000-04-30,16.1923,18.0165,10.3635,13.5,8893900.0,-0.009071336604354385,0.03533458551560326,-0.009732834396056234,0.05147472192251477,-0.024757651125727254,-0.00943883537752208,0.04378322154119665,-0.13506867194340932,0.07410797215372167,-0.1818461351570203,0.3157894736842105,-0.16709372901975
2000-05-31,15.5741,17.1429,10.5845,13.31,4950000.0,-0.01580663821700785,0.026361939246530554,0.006584851377324543,0.04167086569185297,0.23049974732064848,-0.0040777627152146926,0.03622529984702723,-0.057063846720865286,0.10650833901906909,-0.1570936456851667,0.36363636363636365,-0.17865224935960314
2000-06-30,14.2045,15.3156,10.0571,12.0,6612200.0,-0.013613217432458002,0.013857004175303906,0.0,0.03777266014958061,0.13613217432458002,-0.006482484491646668,0.029126113549482715,-0.06531946612064266,0.04961017241546273,-0.16865216602501998,0.2727272727272727,0.11215555555760803
2000-07-31,12.5052,16.4507,11.1886,14.13,6098300.0,0.02294625393122349,0.04564756300595682,-0.006374202567531117,0.026054678958869957,-0.2702583110563226,0.007514434721352644,0.038623128205251565,-0.06926763450557782,0.07298489275648912,0.12215563889219114,0.45,0.03717927126214732
2000-08-31,12.7634,16.61,11.33,13.38,2701600.0,0.002815000689333713,0.03426382296400257,-0.001908715383356241,0.03024448137552628,-0.05105459149361202,0.00023842828604828367,0.031433839236550395,-0.055303438603154564,0.05458582106249121,0.047179354596730616,0.43478260869565216,-0.15854609231467098
2000-09-30,13.4925,15.7723,10.4826,11.63,3884300.0,0.004659258074626453,0.026439169297407358,-0.01768609885480852,0.03079128029649708,-0.21879431121972326,-0.007101456098760374,0.030267639548715437,-0.0711343676959224,0.0505416972082382,-0.14854600898008768,0.4,-0.2546455397485291
2000-10-31,12.1331,13.1904,7.3304,9.5,6469700.0,-0.005952597931402659,0.029827950423757972,-0.015370575458539452,0.056868528998735624,-0.10955035072990738,-0.010885824255140978,0.04517314782571184,-0.09914121584390934,0.10748013310683335,-0.2446454564139458,0.3181818181818182,-0.21137427460103148
2000-11-30,10.3962,12.0794,7.5743,8.5,2848300.0,0.0006910333126574445,0.032626521838107124,-0.014774448136161376,0.026759134949825732,-0.16873822931169213,-0.007814981484192907,0.029789064557534592,-0.0458560114702351,0.06731439917372795,-0.20137419126644823,0.2857142857142857,-0.25491079872483385
2000-12-31,8.8148,11.2148,6.2191,6.9,7255200.0,-0.025441458379111208,0.06275186261992269,-0.0001448226176364864,0.021338890521814566,0.227524899235636,-0.012127439557282408,0.04632715983955253,-0.07859027459322121,0.1251631429540061,-0.2449107153902506,0.35,0.23854041806359755
2001-01-31,6.3175,9.3779,5.776,8.1,6890600.0,0.021228359640301047,0.0440887610463594,0.000562906386174632,0.030270271980713546,-0.18486326651478846,0.009862360350531518,0.03757616560209833,-0.045058816556573955,0.11895194286136546,0.24854050139818087,0.5714285714285714,-0.010317679954260804
2001-02-28,8.5027,9.8475,7.2767,8.5,3247600.0,-0.004573680929036483,0.03699728645748687,0.005439407206579849,0.04002803871582653,0.09098351949809036,0.0009891458129725904,0.03792205472145538,-0.051587368790493304,0.07244115076586777,-0.0003175966196775757,0.47368421052631576,-0.13258528590124016
2001-03-31,7.619,8.1794,5.5059,6.74,6183300.0,-0.014792013007662197,0.025799633688820937,-0.00213286242536347,0.03222393049194147,0.1244586433976238,-0.008161029369315245,0.02933754680750998,-0.06899287148695143,0.06124362524071847,-0.12258520256665684,0.36363636363636365,0.18800887990407902
2001-04-30,6.5629,8.8654,5.4908,8.0,4516300.0,-0.004225266176582155,0.04329810033023673,0.021536141087215466,0.03746831883120311,0.25338880646139406,0.009333369225416593,0.04134964996410912,-0.04917723597608381,0.10303222589823524,0.19800896323866224,0.5,0.05002993507372043
2001-05-31,8.5698,9.838,7.4982,9.1,3317000.0,0.0,0.01864642699308132,0.008584676829603278,0.02194407770046608,0.09443144512563606,0.004496735482173146,0.02040913867210275,-0.03348111862345071,0.04148060112071894,0.06003001840830358,0.5909090909090909,0.16647676888840177
2001-06-30,9.2204,14.9044,6.0559,11.0,3542700.0,0.005212991087527967,0.04115951038405105,0.012375652211325456,0.07583707398673736,0.08921525453682833,0.009152454705616587,0.06126706578805971,-0.14107859825990587,0.14135411830573164,0.17647685222298504,0.5238095238095238,0.1769592383115608
2001-07-31,9.2072,13.8712,7.9425,11.1,5562000.0,-0.0069574060386306475,0.034554016419937245,0.014726284378261763,0.05222202741374628,0.22460578250855523,0.0049686236906601785,0.04539339443424062,-0.057796113505027336,0.15536574680542614,0.18695932164614404,0.38095238095238093,-0.05452175825284012
2001-08-31,10.403,11.0479,8.4613,9.95,2430400.0,-0.008726463772290716,0.022060972157952816,0.0006727248104259435,0.030528273128621674,0.09533733544801848,-0.003599633636263447,0.026827303902447208,-0.04725288485054557,0.06453852113757108,-0.04452167491825685,0.30434782608695654,-0.1237726322347982
2001-09-30,10.1405,11.2186,7.4982,9.05,5222100.0,-0.012185902706828363,0.05216539581945187,-0.00421006659720824,0.05578471683318422,0.03943488346330426,-0.007628282072759721,0.052336037033969385,-0.10488981666113828,0.08022368677094471,-0.11377254890021493,0.4,0.13079319376375595
2001-10-31,7.8962,10.4375,7.1985,9.09,3868700.0,0.009209646520122928,0.019872344514533277,-0.0020823100423427165,0.041724539245798394,-0.11708418570934187,0.003050397486050758,0.03338091794656121,-0.08894748601649649,0.06543889173550221,0.14079327709833925,0.5652173913043478,-0.0672254966050618
2001-11-30,10.536,11.824,7.7849,9.95,3137900.0,-0.006271256767216836,0.04111430024886689,0.006141650091935549,0.03991404639149944,0.12399946191624256,0.0005558420053169755,0.039879485389499494,-0.0711597195720417,0.08728606453427679,-0.057225413270478566,0.47619047619047616,0.16002442469099606
2001-12-31,9.8622,12.9546,9.5322,11.69,5657600.0,0.01128412088800099,0.04116082393115755,0.005359209416483912,0.03119334321194961,-0.04796499382716979,0.00816574642930779,0.03533743230438474,-0.05816617367531274,0.09287835647630827,0.1700245080255794,0.65,0.020925835735245337
2002-01-31,11.3534,13.2798,9.6298,11.71,5940600.0,0.004061461746611162,0.03278144953829683,-0.002072310461607042,0.03122955952711556,-0.059348570797177924,0.0006878870320911501,0.03123432322796273,-0.07410797215372167,0.05085841723349116,0.030925919069828663,0.5238095238095238,-0.01931306019151908
2002-02-28,11.9205,12.602,10.0517,11.81,3974000.0,-0.00751299050871318,0.022416947897078127,0.004414390449097594,0.026354813240491246,0.10424782856068138,-0.0008866677543738612,0.024735185591684243,-0.04348511193973881,0.04445176257083361,-0.009312976856935835,0.47368421052631576,0.014014658287043024
2002-03-31,12.5939,14.7624,12.2559,12.9,5061200.0,0.010291276653377392,0.013204803062410684,-0.0007722046093910251,0.01575003974844252,-0.10034353597430679,0.00446839177823612,0.015288522854736721,-0.02660742291467333,0.03319806940959591,0.024014741621626413,0.5,-0.10770056647949357
2002-04-30,12.9008,15.3065,9.7303,11.7,6968300.0,0.0022814677766171522,0.023428522945752327,-0.011652290311272533,0.04305695445790257,-0.15098987119016938,-0.005017167412277444,0.03499717747877242,-0.08665211706121045,0.052750565385529136,-0.09770048314491023,0.4090909090909091,-0.04179295606612963
