,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2006-12-31,87.6803,88.0647,86.9968,87.2119,3823600.0,,,-0.004928673604752909,,-0.004928673604752909,-0.004928673604752909,,-0.004928673604752909,-0.004928673604752909,-0.0053564552327519,0.0,-0.02138265855655896
2007-01-31,88.6461,95.0052,84.5454,87.6428,76082700.0,0.003734764291513414,0.011602441662382817,-0.0034147862167671406,0.014862560468129544,-0.06776074079129213,-2.8157028634246434e-05,0.013554669793070025,-0.023969951282385438,0.02155800730100399,-0.011382575221975659,0.45,-0.13912284084958387
2007-02-28,89.5224,92.1155,74.0313,78.6782,68462800.0,-0.0028520004180426772,0.009594668532170373,-0.009804348186928102,0.020759670878220927,-0.0752274785249396,-0.006714415845201247,0.01669431376716978,-0.054345390643761426,0.016121398758483174,-0.12912275751500069,0.2631578947368421,-0.04837480710855933
2007-03-31,79.7923,86.1746,69.4856,76.7883,114288600.0,-0.0043816688526197465,0.021337557605274813,0.001707842754330083,0.017007372283547904,0.06260295882382838,-0.0011919246775507883,0.01895305943998297,-0.04595486996961462,0.03892176188623697,-0.038374723773976105,0.45454545454545453,0.0756925160492867
2007-04-30,77.8696,89.1405,76.4014,84.8367,75158400.0,0.008074930257736609,0.014221868291541342,0.0013501202200409956,0.010179488722440969,-0.05917317011921952,0.004535556553686286,0.01239378150475673,-0.009828342889575126,0.03127673733368308,0.08569259938386997,0.5,0.012355814266971018
2007-05-31,85.5816,92.5333,84.0904,87.5164,65563500.0,0.0014969564641701184,0.014093886721428528,0.0011344217842305002,0.009996591566368616,-0.002490925015165679,0.0013070573461065088,0.011806239168033009,-0.016344821349750127,0.02698906085043884,0.022355897601554407,0.4090909090909091,-0.11862247737944039
2007-06-30,87.9318,88.4683,72.7109,78.8809,81014600.0,-0.0038408165870612698,0.019257391000902128,-0.006858939641051604,0.01622950804480843,-0.040880986768016214,-0.005500784266755954,0.017238018050021866,-0.03457633670688054,0.028123102674694422,-0.10862239404485706,0.38095238095238093,-0.12163817394534314
2007-07-31,78.2991,84.0181,62.1449,70.0282,130422700.0,0.005045980028592665,0.01850944577390549,-0.014874236243412059,0.0197923730476243,-0.20903041893486662,-0.005910138921009933,0.021302843030204934,-0.03741843006507395,0.029307061575417848,-0.11163809061075992,0.47619047619047616,-0.001552666060870541
2007-08-31,69.3017,78.9359,61.5656,69.8896,152426100.0,-0.005790747722723211,0.03447017805054714,0.005563852034039973,0.02746836269910645,0.12467370163571179,0.0004026703264203442,0.030625694819979944,-0.04567415951348863,0.066749669498118,0.008447417273712605,0.43478260869565216,-0.09565071431204854
2007-09-30,73.6394,77.1882,65.4717,67.5947,90920700.0,-0.0012827634229665152,0.014312239799488443,-0.004619523329723751,0.01807010668493302,-0.03593312591350539,-0.0031365189267205354,0.01612839030173197,-0.024408893016046207,0.03824399296415315,-0.0856506309774653,0.21052631578947367,-0.15668761860684904
2007-10-31,72.8824,76.6908,53.0528,62.9386,139866400.0,-0.00036611847059582204,0.01876879846141771,-0.008616655036948492,0.03867057998874877,-0.09973867573742368,-0.004866411143151824,0.03085392602712887,-0.059861948819815325,0.0817847369348712,-0.14668753527226577,0.4782608695652174,-0.024751857785599487
2007-11-30,57.9916,61.8973,45.0722,57.1424,181966200.0,-0.007806445689238334,0.04166580925192203,0.00302248919513325,0.04134193132729706,0.10350539234961076,-0.0018505315028339631,0.04075623039601183,-0.0824041047930466,0.08520399419076519,-0.014751774451016312,0.3333333333333333,-0.10602147956646553
2007-12-31,56.332,67.2196,46.1417,51.1745,114381300.0,-0.004257099645341316,0.033511508232104234,-0.005719966617396821,0.01628587174634613,-0.018885769365896365,-0.005027029630633687,0.02514554608793192,-0.059620752109184494,0.06014562422673819,-0.09602139623188226,0.4,0.0663367617553166
2008-01-31,49.8159,67.4055,40.6155,53.7676,201625700.0,0.0005251802147239933,0.038957653205983864,0.005635369023371009,0.05137826491957966,0.05726243732456515,0.0033357840594798517,0.04511279165942314,-0.10800497323126068,0.06878299343613703,0.07633684508989992,0.5238095238095238,-0.19249646190448919
2008-02-29,57.0917,58.8862,43.5942,47.5681,139509400.0,-0.01491331299821599,0.023772347424867328,-0.002313465844268192,0.03166375522119487,0.111085158541262,-0.008281814496138202,0.028182283024809913,-0.05757545091680427,0.041372215453319594,-0.18249637856990603,0.3,-0.1751770648006909
2008-03-31,46.1255,57.9566,31.4613,39.1026,228632200.0,-0.012383915015798004,0.04543668485835438,-0.006577871784947576,0.08146484813169956,0.045676517292706276,-0.00932810278903462,0.06515123925591759,-0.11775622384846152,0.12429019221283966,-0.1651769814661077,0.35,0.00987744138697286
2008-04-30,46.8859,53.9024,39.7839,47.8272,135084900.0,-0.006086951310543931,0.018918306147111423,0.012685675102306459,0.029228476529174725,0.20041193923081035,0.0037463291914253205,0.02608651393173303,-0.03479200510050173,0.06841411552688692,0.019877524721556086,0.5909090909090909,-0.2262451168586899
2008-05-31,52.6879,55.8492,39.3391,42.4421,99192700.0,-0.006973211133694473,0.02286085179744049,-0.009708473345572627,0.018584827912166504,-0.044034306598048634,-0.008477605350227457,0.020094436069869,-0.05751315814558877,0.02225943612724235,-0.21624503352410662,0.3333333333333333,-0.28479636043384365
2008-06-30,40.3341,40.5001,29.4563,30.6429,144195300.0,-0.012748507619622738,0.03592139604601689,-0.016450543660231517,0.029473670349166807,-0.06621941168594203,-0.014784627441957566,0.03168727628623154,-0.07038377584894251,0.046318906969212925,-0.2747962770992605,0.38095238095238093,-0.23704078833789968
2008-07-31,32.3172,44.1555,18.6338,25.7532,241945400.0,-0.014131393416019922,0.06672193977363129,-0.004492402490113138,0.08292490641301539,0.0918975067689547,-0.009082398169116369,0.07393187014210342,-0.1520827682459447,0.12580543143557277,-0.22704070500331636,0.3181818181818182,0.05530099278822179
2008-08-31,26.0046,31.8519,21.632,27.7594,135995800.0,-0.0021956842453618483,0.04625827552462895,0.007936268547645276,0.04309577537906562,0.10706011223235468,0.0033768897907920704,0.043648857527074016,-0.08797106837689128,0.08529801261816905,0.0653010761228051,0.5238095238095238,-0.04161871675845829
2008-09-30,25.5687,38.7259,11.8914,24.7729,243215800.0,-0.05405546894086961,0.07668116329128526,0.035824198469301655,0.15696101597549467,0.8805654036301447,-0.004621651865275411,0.13246557986458612,-0.2180380920084497,0.27265297919470255,-0.03161863342387505,0.47619047619047616,-0.4394303624793569
2008-10-31,27.9663,30.9354,10.2557,18.2027,158317100.0,-0.038104849326117796,0.13972494998778492,0.0015838632733108742,0.07109678335295677,0.40005485254090845,-0.01645646063552034,0.10688262370383544,-0.2959794685484125,0.19201768656248053,-0.42943027914477366,0.391304347826087,-0.3548497097761702
2008-11-30,18.6637,21.3033,5.7435,13.22,114401400.0,-0.03694414846273636,0.0692396847676499,-0.004293775773961883,0.14879867681061384,0.25261542996227204,-0.018805052524528316,0.11821374946240633,-0.18733409861749895,0.32388911791031205,-0.3448496264415869,0.3684210526315789,0.31159539060831837
2008-12-31,8.4389,19.6259,7.0301,11.64,127358800.0,0.016187706510661704,0.09013957086521573,-0.0020846310058106484,0.047276834073485346,-0.18480800617053417,0.006616482097271424,0.0697230797337867,-0.10693780305107481,0.15655794655491384,0.3215954739429015,0.4090909090909091,
