,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,2.3594,3.1857,2.293,2.6134,516600.0,0.005009087845704567,0.032330509267071185,0.005196628685087503,0.04791320941931202,0.012081124924621434,0.005112235307365182,0.04060011997881402,-0.05407124908637384,0.11123416462233637,0.1022447061473036,0.38095238095238093,-0.08402213019059722
1999-12-31,2.7751,3.0277,2.1161,2.5771,571400.0,-0.019316193365781643,0.032043920057832714,0.013797597389628007,0.03014990532965596,0.3449355049437245,-0.0019708743986623025,0.03469522723412935,-0.07518661317075237,0.08057316018783445,-0.07402204685601406,0.22727272727272727,0.03751278597882047
2000-01-31,2.5442,3.2088,2.1503,2.668,540800.0,0.01038378156161294,0.03284979605654515,-0.005937152199573914,0.031613628081729496,-0.1528255560502556,0.001793816424146175,0.03239464324736903,-0.04977595640025256,0.06538747192034289,0.04751286931340376,0.4,0.0034179059180638057
2000-02-29,2.6502,3.0551,2.3406,2.686,414800.0,0.0015327078299549354,0.02499502917071732,0.0013606672058542712,0.021040810988510968,-0.0001876984110517066,0.001442160133059849,0.02233904604845371,-0.03384708603113995,0.040825055661969256,0.01341798925264709,0.4,-0.1692743111669699
2000-03-31,2.4688,2.6317,1.8246,2.1053,608100.0,-0.008296505436003965,0.019236556249321635,-0.007555507055093512,0.03056977616686048,-0.00770103030108249,-0.0078923245009619,0.025460542960764762,-0.07127391984363352,0.03855140427731163,-0.15927422783238662,0.30434782608695654,0.09060737267990167
2000-04-30,2.0351,2.9517,1.8672,2.2505,477700.0,-0.00438662702644918,0.030028028103443682,0.010178745516807119,0.07081578811630448,0.13688047137966464,0.0037052466086932084,0.05551287564150629,-0.11583710188137619,0.08777348710300137,0.10060745601448486,0.42105263157894735,0.07798270591233218
2000-05-31,2.1779,2.5914,1.8949,2.3782,409800.0,-0.006899615119164681,0.022621840692180165,0.014270812767142017,0.040226607034606274,0.225975091630209,0.004189656630805495,0.03401115589099536,-0.06899615119164682,0.09844452585040941,0.08798278924691529,0.3181818181818182,0.0028001653708522433
2000-06-30,2.1502,2.4766,1.9548,2.1779,295400.0,-0.0016001046656828667,0.022737527753699145,-0.0029810276342203982,0.028683387068744445,-0.016790257319595714,-0.002323445268250145,0.025387312017056792,-0.04088994758124531,0.04088994758124531,0.012800248705435498,0.36363636363636365,-0.1788685040044844
2000-07-31,2.4173,2.6041,1.8345,2.0417,204400.0,-0.011892348430562059,0.02450821086310637,-0.00220885706097067,0.032348049112751666,0.08494256526535182,-0.006795774025513959,0.028545246187884378,-0.06454139087035604,0.05901979967350579,-0.1688684206699011,0.25,0.1662303465136496
2000-08-31,2.0694,2.78,1.8985,2.4682,592500.0,0.0017543885679479954,0.00911964846051198,0.013968147938935213,0.04659799582261206,0.1500738895877426,0.008416439133941023,0.034810578632432185,-0.05693359315741231,0.09844452585040941,0.17623042984823292,0.43478260869565216,0.0011631656301285761
