,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,5.0447,5.8147,4.989,5.187,2602600.0,0.004586915508807212,0.018632189650003815,-0.0016017341561646934,0.013091398533070443,-0.05890131529707654,0.0011831581930726643,0.01569561963514437,-0.019454789370021208,0.03729643135301175,0.027817308148443323,0.42857142857142855,0.001417461605124138
1999-12-31,4.7897,5.6387,4.5015,4.8447,2876300.0,-0.003507983410666493,0.025071611138168637,0.0007745170106002226,0.012131880846826,0.04359952122326738,-0.0012647689042886896,0.019006791108802736,-0.03386639491133381,0.037962893192952984,0.011417544939707456,0.4090909090909091,0.005942571704735868
2000-01-31,4.2376,4.8401,3.6471,4.3057,3559800.0,-0.0017648580929411474,0.019908548348341538,-0.003930378383888988,0.02833051777537618,-0.023420061002419557,-0.0029046056144926427,0.024056160949091226,-0.056072719364801404,0.030023874669643735,0.015942655039319124,0.4,0.04584736689138013
2000-02-29,4.2151,4.9354,3.5873,4.4572,3118400.0,0.003631547675522157,0.033682732963881856,0.001139465616742008,0.027152177199371966,-0.021289272912279333,0.0023199255393220788,0.02957175507629793,-0.05655174320212386,0.049280353020068945,0.05584745022596353,0.5,0.1507293489968859
2000-03-31,4.4997,6.6241,3.9499,5.2843,6176100.0,0.00994598666153279,0.05173528258163826,0.005683761095014876,0.028637712184563995,-0.0312547334751494,0.007621136352523019,0.039766730345195136,-0.03922309481732622,0.14609284613493467,0.16072943233146905,0.5217391304347826,0.03563886594819717
2000-04-30,4.8826,6.3033,4.6358,5.1106,3987700.0,0.018692013605648233,0.018968043344590485,-0.014343212624210632,0.02999230799396237,-0.2929682350872922,0.00033911014461552994,0.030161030632626457,-0.06277249033988541,0.0383010847183507,0.04563894928278045,0.5263157894736842,-0.010619574808228716
2000-05-31,5.3286,6.666,5.0437,5.3253,2361400.0,0.006426978339711287,0.03141758328698783,-0.004261909606653059,0.014384189186489772,-0.11115078907029652,0.0008280370344728198,0.02403236817729403,-0.030534710685464317,0.08306632012034876,-0.0006194914736455322,0.4090909090909091,-0.025270384875963062
2000-06-30,5.4374,6.7538,4.854,5.355,4272400.0,0.009110601876825063,0.031374377811863,-0.008639865373351182,0.0192232264910119,-0.18614453787511365,-0.00018726192088630312,0.02665042484029088,-0.049405520868748276,0.06850296548089752,-0.01527030154137975,0.3181818181818182,-0.14347453144634154
2000-07-31,5.519,5.7062,4.57,4.8294,1805000.0,-0.002756984764037826,0.011049663364364389,-0.009558497385168119,0.013961241970993478,-0.07077211097534075,-0.0063367282488432436,0.012802204702729695,-0.03383457415449431,0.017220146590030794,-0.13347444811175824,0.25,-0.0392382778885688
2000-08-31,4.9523,5.9194,4.3262,4.8096,2031100.0,-0.0019093115715141274,0.02914246371839673,0.0003716135548980648,0.012937148936035278,0.02355247837391805,-0.0006651705934711135,0.021283790721382256,-0.045478407958640776,0.059615296019411845,-0.029238194553985478,0.391304347826087,0.0030583952636943955
2000-09-30,4.8691,5.814,4.4713,4.9331,2671300.0,-0.004321402260981631,0.01685992751038205,0.0058090131865230045,0.02948067589149691,0.09698275221406472,0.0010103953429681774,0.024246614228369053,-0.029629654541810435,0.08072479302686864,0.013058478598277646,0.3,0.03643022072297039
2000-10-31,5.0163,5.5477,4.7623,5.2547,2171500.0,0.0024699967144863333,0.006901367381446581,0.002736189456364446,0.01414256855170189,0.0053981168751455755,0.002609431007851059,0.011020783688031792,-0.018036366338401333,0.030587987071049483,0.04643030405755356,0.5,0.13182008985137733
2000-11-30,5.36,6.7368,4.9588,6.1767,3161000.0,-0.002214265082395898,0.010173065408229827,0.015792995612557214,0.024802649626959487,0.19365133747969243,0.007689728299828313,0.021256254163708507,-0.01599400545290175,0.08243272195998808,0.14182017318596069,0.6190476190476191,-0.03347371894736076
2000-12-31,6.1551,6.817,5.4222,6.0123,2426500.0,-0.005375032469409686,0.018266550291739764,0.0026511373795674587,0.02527688630602331,0.07488666602036176,-0.0011507325488953992,0.02201611562057003,-0.04075612737426493,0.035497453809127055,-0.023473635612777446,0.5,-0.03537712542193803
2001-01-31,6.2336,6.7329,5.2682,6.0774,2978400.0,0.0009302873710121703,0.030018998341123204,-0.0018273948224086687,0.01629232049927978,-0.02847392938560489,-0.0005864378353692912,0.022827918016730647,-0.04118476273985494,0.04285134443595662,-0.025377042087354806,0.38095238095238093,0.05763002725629631
2001-02-28,6.1241,7.3261,6.0771,6.5526,2899900.0,0.008804422595460965,0.019452263361829505,0.0001023017992034747,0.008651747094578058,-0.06941236277165297,0.003969911041984581,0.014670844291067495,-0.015672686511747136,0.05014385397038468,0.06763011059087966,0.5789473684210527,0.05416228904072024
2001-03-31,6.5977,7.3706,6.2988,7.0349,4548400.0,0.0014114112442342064,0.015668219197226118,0.004919868542343517,0.011581513271271522,0.04000444152343663,0.003249174590862893,0.013444756364646556,-0.024723065490251273,0.031395238725191676,0.0641623723753035,0.5,-0.08312361381891181
2001-04-30,7.0837,7.3313,6.109,6.5842,3159800.0,-0.0001595232897628751,0.008697449074037756,-0.00654854163316212,0.017683540578930367,-0.06404970672375532,-0.0035221645231308983,0.01416742981968827,-0.04332061696721001,0.022075632118622623,-0.0731235304843285,0.4,0.08751981985200473
2001-05-31,6.1396,7.0581,5.9131,6.7685,4482100.0,-5.1916588515754646e-05,0.009991738763545218,0.005734981821840967,0.012139871885997773,0.06360396592540818,0.0029793159121472897,0.011286480476990749,-0.009799351373508847,0.030880853673169506,0.09751990318658794,0.5454545454545454,0.028346725746683607
2001-06-30,6.8071,7.4556,6.0029,7.0732,3164100.0,0.0014996559893600578,0.008327896712020244,0.0025520291504558157,0.02136181784882552,0.014575416750773451,0.0020784612279627244,0.016421400669665454,-0.04310537783314494,0.04188174407133172,0.03834680908126676,0.5238095238095238,-0.018066543339070627
2001-07-31,7.2442,7.9681,6.8644,7.186,3085600.0,0.0058012310460675565,0.013591410328099329,-0.004425830207294751,0.007001153114078987,-0.10089521169485027,0.00017634735671828716,0.011437949754695923,-0.011750294122019334,0.03419570683347661,-0.008066460004487292,0.3333333333333333,0.04526827082718798
2001-08-31,7.1994,8.2945,6.9941,7.6085,2771200.0,-0.0003521988202410675,0.003994443588095182,0.004937401581623813,0.01271128547190688,0.06277080718189643,0.0025330377625943216,0.009936853636165546,-0.012796818132853716,0.03799891627264396,0.05526835416177116,0.4782608695652174,-0.02552711224673256
