,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,13.061,20.5692,12.6927,15.31,2973200.0,0.015844965425577475,0.04252319738648332,-0.0011212558414189675,0.03647347885602311,-0.15493850308580592,0.006513543728729432,0.039198412839489195,-0.03803229878784098,0.11269637418887601,0.15887551907420822,0.5238095238095238,0.3253346426025508
1999-12-31,15.2173,29.2611,13.8102,21.28,6562600.0,0.02031461630864575,0.06003373876498375,0.010902669939850451,0.04197733244039036,-0.08321679374810254,0.015384549163086307,0.050260037691349256,-0.04893344090869878,0.18099792986344632,0.3353347259371341,0.5454545454545454,0.3558840464019838
2000-01-31,20.2665,45.6887,19.2598,29.22,7017500.0,0.04091569783089542,0.03178810608667124,-0.003050198548826577,0.06349150278191291,-0.3987432659663246,0.017775752367883844,0.05452864886068978,-0.09998244335410877,0.10797948978818628,0.365884129736567,0.7,0.5547056735796148
2000-02-29,28.7817,65.9683,27.2106,50.625,16422500.0,0.037454201184825266,0.056587353390777806,0.022006188477680145,0.06068853404294434,-0.11702592588662597,0.029323668181064678,0.05768463938766941,-0.05713491290578521,0.1485087350648815,0.564705756914198,0.55,-0.2953324174464465
2000-03-31,49.5501,76.2099,23.376,37.25,13341100.0,-0.013597937426316297,0.07232324374233647,-0.015053524606186216,0.09392677093787849,-0.04466292101107161,-0.014391894069881707,0.0828458241861758,-0.1352604613535,0.23526803880578973,-0.28533233411186315,0.30434782608695654,-0.18076241496615578
2000-04-30,36.7013,55.642,12.8156,30.94,7040600.0,-0.017735787741168796,0.06202378780237335,-0.004626288673475943,0.1370956196037299,0.09562341519459094,-0.010452732703561654,0.1076074974509228,-0.3213123107295659,0.17197526473981029,-0.17076233163157242,0.3684210526315789,-0.08479510463934355
2000-05-31,39.2,54.7749,25.6068,36.375,4522500.0,-0.0030753801683333303,0.04770152554508353,0.0062988605168705835,0.07255573401526029,0.10004126736890973,0.001834936381059196,0.06065582005489323,-0.12722287591701642,0.17119989958532544,-0.07479502130476032,0.45454545454545453,0.1297480619543227
2000-06-30,44.118,63.8651,34.0893,50.735,6282800.0,-0.0010716367874893606,0.030719014203580065,0.020764111471656858,0.056974593603841994,0.23912159406311906,0.01036613611015866,0.046610882292856565,-0.09689454770902817,0.08387376796108814,0.13974814528890597,0.5,-0.21957746302380163
2000-07-31,50.06,57.9757,36.5977,40.595,5228400.0,-0.005182639841486086,0.03248843229785862,-0.01623341606123292,0.02383361916827024,-0.11569040203895442,-0.010998837851879157,0.02802262975730201,-0.05725160397118145,0.0466067571884885,-0.20957737968921838,0.35,0.06063912139913944
2000-08-31,47.0558,60.829,37.0252,50.5,5140300.0,-0.006579919404535372,0.033025094118966335,0.017621225588658085,0.03925108718351269,0.27725390110925074,0.006620705137206514,0.03776981671943765,-0.08872811560868454,0.06187540371808753,0.07063920473372266,0.5652173913043478,0.11762167845940945
2000-09-30,49.6249,66.8338,36.3924,56.38,8683100.0,-0.005335811402888524,0.05393957607936394,0.016571665828409632,0.05025949850862863,0.21373896091009303,0.006194439771478926,0.05179198033677283,-0.09088206662838783,0.09411089922884308,0.12762176179399262,0.55,0.095233137243026
2000-10-31,44.7807,57.5869,31.9489,49.75,20765400.0,-0.014255672464656487,0.05284710924546294,0.010917933565390918,0.03179426289900552,0.26265399386586497,-0.0010694978774888,0.043911012157735366,-0.14197026127038725,0.057340546615245014,0.10523322057760923,0.5909090909090909,-0.42585089962409123
2000-11-30,58.3529,63.197,34.2649,38.5,10956100.0,-0.017568661672563116,0.039992099091801854,-0.016180286835941485,0.06998795376234875,-0.01986520014228832,-0.01680505551242122,0.05702613536595817,-0.10321228711953667,0.12329626512307756,-0.41585081628950793,0.3333333333333333,0.05543970190530258
