,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,6.697,7.5838,6.3596,6.8718,10375200.0,-0.0013731137257763709,0.023257369802634296,0.001015041112393074,0.02423881247285668,0.023523475768311153,-5.962856478317624e-05,0.023204665542122773,-0.034480688875540455,0.03530858738649889,0.02576641572167541,0.42857142857142855,0.08280948469216079
1999-12-31,6.8214,8.2725,6.6937,7.4848,16143800.0,0.01219133407799613,0.020923931448269303,-0.0027550136441998126,0.023363313032668087,-0.15221849086615924,0.004362294794941112,0.022987928961135193,-0.034977530311967264,0.03912440824849939,0.09280956802674402,0.45454545454545453,-0.0885402939293164
2000-01-31,7.3489,8.0461,6.2039,6.7938,17576000.0,0.001018561069577009,0.024737447329886378,-0.009686386584181106,0.0274329980275856,-0.10603091546800414,-0.004615621906085157,0.026046408938512778,-0.053339989195262394,0.03767738236755935,-0.07854021059473308,0.4,-0.013824404766706653
2000-02-29,6.8116,8.6647,5.5909,6.7856,20758400.0,-0.005129282725254998,0.02845993873966864,0.004233922309517158,0.04126732910212782,0.08850276762246656,-0.00020128007537491643,0.03513620644367037,-0.04726856984994776,0.08547403262501407,-0.0038243214321234285,0.4,-0.02218969328692258
2000-03-31,6.9332,8.1137,6.0252,6.8492,21435800.0,0.0008807401759643785,0.029698598938699115,-5.7164682739715054e-05,0.023091124930619024,-0.009493377952520365,0.00036915570758032747,0.025642282550187502,-0.04807554347865528,0.04585672743061342,-0.012189609952339298,0.5652173913043478,-0.14835193568905303
2000-04-30,6.7643,7.1984,5.4533,5.8903,18109600.0,0.0017321293326783005,0.02611021036920524,-0.015342039948604724,0.028714040219210014,-0.16727743414747365,-0.007753520268034491,0.0281679242341844,-0.06702887740229158,0.033983505365422495,-0.1383518523544698,0.42105263157894735,-0.07241109692288289
2000-05-31,5.841,6.1588,5.0158,5.4876,24600000.0,-0.0037896970950333174,0.014891175914965086,-0.004168756010885359,0.022516874356449973,-0.007959345169405774,-0.00398825176524153,0.01879703836804582,-0.03860981231070015,0.03104904583767354,-0.06241101358829963,0.3181818181818182,-0.14758798852770016
2000-06-30,5.2403,5.8693,4.1112,4.5667,20237400.0,-0.006513367798777203,0.01889172350971432,-0.007614857368942841,0.03027479898490155,-0.01862975307059922,-0.007090338526006823,0.02488379468916742,-0.06191832219182536,0.04429366091300957,-0.1375879051931169,0.36363636363636365,-0.03475796485055989
2000-07-31,5.3243,5.7422,4.3309,5.1941,16247800.0,-0.0017460013546488629,0.02908437413742059,0.006484019091415205,0.025760655900725245,0.08055420310599182,0.0025855883538059097,0.026936706400194167,-0.03915843121587215,0.0584978975896564,-0.024757881515976646,0.55,-0.08508456294333072
2000-08-31,5.4538,5.6904,4.6076,5.0593,15491000.0,0.0017615468167771376,0.01754471871416565,-0.005967748944274894,0.014957458358501678,-0.0892284554990701,-0.002454432689251243,0.016267409844589,-0.03188032714741729,0.024233501258918544,-0.07508447960874745,0.43478260869565216,-0.1543221704161498
