,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2019-04-30,39.8112,52.7062,34.9206,46.9,17479584.0,0.004651372432853407,0.03463039721449622,0.02580246471648882,0.039605802268080935,0.15736039085115472,0.0169895095983074,0.037554324861336114,-0.02901006337004519,0.08953982334298871,0.1638693957141989,0.6153846153846154,0.09035138164284418
2019-05-31,46.4923,63.3442,43.2535,51.4,7596112.0,0.013243617540828945,0.03486766293506307,-0.0035553150009031546,0.02110853699591225,-0.17154464041822415,0.004444176685635941,0.029047978192440507,-0.046814117065242744,0.06156392953253187,0.10035146497742749,0.45454545454545453,0.1074272770057821
2019-06-30,41.8371,68.1222,37.0091,47.05,15638072.0,0.02403614374795608,0.04236093582428852,-0.019831065258239144,0.028151769408715208,-0.41463594631399614,0.000948139007853329,0.04123344592013745,-0.08047967512641474,0.09614220184664335,0.11742736034036548,0.35,-0.010832316118311446
2019-07-31,44.2368,54.4104,38.8912,44.2,12836398.0,0.005200918391081943,0.021001546171421283,-0.008514855564982084,0.03595428351146393,-0.14567259512562236,-0.0019835346335230234,0.02990158259973438,-0.06006124521048628,0.048899627253116584,-0.0008322327837282242,0.5,-0.018628400194797393
2019-08-31,39.6103,44.5052,29.5346,39.27,12762167.0,-0.02115207114862172,0.039558736818933765,0.013770950115579968,0.025925674592495444,0.36300116275759686,-0.0028590600102303596,0.03687405668547321,-0.06362387425220462,0.06618875819075765,-0.00862831686021424,0.45454545454545453,-0.2667721579051649
2019-09-30,36.5202,41.2514,20.7634,28.25,20535671.0,-0.022474332328248112,0.08140763613476304,-0.008284341103919467,0.04428454241472562,0.11942557991503833,-0.015005915894390931,0.06307909625279073,-0.13922312852230467,0.1366685431207757,-0.25677207457058165,0.35,-0.2178060827713467
2019-10-31,28.3001,29.3137,20.3015,22.99,27566020.0,-0.0029456152642937995,0.024131402850300226,-0.014714830514535149,0.026752455564657367,-0.1471218135314838,-0.0093651872189709,0.025698885782155734,-0.05238105083738365,0.04146530998709119,-0.20780599943676342,0.391304347826087,0.11800343002602638
2019-11-30,22.9201,28.3766,19.567,26.05,15180385.0,-0.003091389511033259,0.027848200119909,0.01540867023473096,0.02503747557677553,0.18190920794660892,0.006645484039368961,0.027352888665693888,-0.05775427263904742,0.05192005717835979,0.12800351336060978,0.55,0.01780928810422511
2019-12-31,22.7485,30.1523,21.1391,23.39,29953516.0,-0.006085954317936102,0.06041123440346834,0.0011735415663348984,0.02389399112714355,0.0676825460911088,-0.0020932315815870516,0.043021556680765814,-0.1361071646333234,0.0712217779560338,0.027809371438808402,0.47619047619047616,-0.07987649805861383
2020-01-31,25.0078,27.4447,20.865,23.32,12586187.0,0.0003645979025752588,0.01801641426068547,-0.004190100654569726,0.031839138255103906,-0.04937248832344432,-0.002140486303854483,0.025992636448731146,-0.05384150292067291,0.038164904928632115,-0.06987641472403053,0.47619047619047616,-0.1446964524502106
