,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2006-07-31,903.2582,922.1753,814.0212,842.1486,2293200.0,-0.001941915062465327,0.020012654502890134,-0.005911889943958367,0.016948309939270097,-0.03167365429538194,-0.004257733743336267,0.017507051383940632,-0.03499504021576172,0.016208708265098792,-0.07005196508347206,0.46153846153846156,-0.054535865349693104
2006-08-31,850.1095,897.055,791.0083,813.0799,3810800.0,-0.002309842137927465,0.012156580991967118,-0.0018218953956507338,0.00551266384716336,0.001235676631465843,-0.002043689369412884,0.008905923459783045,-0.03030532075993886,0.01028244846276749,-0.04453578201510982,0.391304347826087,-0.0363593444047772
2006-09-30,802.4751,838.6617,752.2088,781.5988,5456400.0,-0.0006844818145441936,0.011868007367031759,-0.0023638219511329162,0.008368908652843857,-0.01747788318043142,-0.0015683450443277319,0.00991772611215068,-0.020772266439678333,0.01756904099793566,-0.026359261070194,0.4,-0.0791059391886918
2006-10-31,793.7071,800.9337,715.6768,740.7096,6218800.0,-0.005379507738298983,0.008428310357809266,-0.0006931211381917344,0.006764138698284007,0.04617074486288075,-0.002924733804909472,0.00778429078131566,-0.02226980234834741,0.012487839813577928,-0.06910585585410857,0.4090909090909091,-0.07187103851087483
2006-11-30,766.6851,784.6171,704.7241,720.6872,8247600.0,-0.003992016581382608,0.009509317569552464,-0.0005914449341108963,0.01148885785935275,0.029422254957223615,-0.002121702175383167,0.01051464331676653,-0.02109403830272072,0.026883799658049767,-0.06187095517629158,0.2857142857142857,-0.036393244729154305
2006-12-31,729.1565,744.7822,674.9473,710.1635,6902400.0,-0.004086757301096533,0.008200257401139789,0.0016396566681569525,0.009821933690618038,0.05317738239143832,-0.0010728552120157513,0.009314018298569373,-0.015419271974248971,0.016471861429767642,-0.026393161394571027,0.45,-0.05345147505491957
2007-01-31,727.5433,749.7826,673.6656,696.6075,10345600.0,-0.0020158868165670463,0.008059413698149647,-0.0005420195502964908,0.011205568812656082,0.012722785846138507,-0.001240167202740438,0.009603257302486025,-0.015211324423075823,0.021436570383915665,-0.04345139172033628,0.45,0.05080247553837017
2007-02-28,685.5086,843.1638,663.2317,728.4825,18414800.0,0.00011079871370900385,0.008731179902407286,0.005531602885582121,0.02553514377134795,0.05442963914614918,0.0031223565869718467,0.01960286165798228,-0.018272830186325528,0.07500728561071668,0.060802558872953445,0.5263157894736842,-0.010647214293791483
2007-03-31,717.243,802.8678,658.969,716.779,54770800.0,0.0016024216572420257,0.021119727486443505,-0.003536690247084241,0.013658511409209408,-0.05492780929034691,-0.001089494102166971,0.017346867014415013,-0.034274231854692694,0.0363616783274745,-0.0006471309592082063,0.36363636363636365,-0.08253609901291861
2007-04-30,714.6907,722.2977,636.8341,664.6854,33654400.0,-0.006302661096204649,0.00877394979894881,-0.0016498980232220184,0.011472541314288156,0.040224969633621654,-0.0038538384262137904,0.010282062384153325,-0.019446006300675833,0.021486156708730775,-0.07253601567833531,0.2,-0.060645311001554986
2007-05-31,659.4081,679.3945,593.839,626.8438,66275200.0,-0.001799488257344084,0.010795860289569218,-0.0032380271814852982,0.011295696975491355,-0.017623416422897442,-0.0025530086461799583,0.010806763577137857,-0.01701362341706325,0.020833993759656444,-0.05064522766697173,0.36363636363636365,0.038234227469083386
2007-06-30,622.1766,710.6401,604.268,652.9224,120782000.0,0.001760436566657475,0.023412189340632692,0.002801310841504529,0.013954544285777996,0.014970490156632543,0.002332917417823355,0.018263712750651456,-0.03171875945289582,0.03515735851985369,0.04823431080366674,0.6190476190476191,0.0896180395066085
2007-07-31,632.8292,766.0637,581.4448,699.1174,182081200.0,-0.004203274422947089,0.01624564303017132,0.01139456111708262,0.024589094231768596,0.16316964209443263,0.004375535124069252,0.02219755870300104,-0.03443518074245855,0.045323357809030185,0.09961812284119159,0.5238095238095238,-0.009202470625460344
2007-08-31,679.1315,797.0666,628.0072,679.6734,464383600.0,0.0069924576337828444,0.03341328605641387,-0.007182587599172822,0.022971176416809385,-0.1561156275279023,-0.0007393852205566098,0.028408957166817343,-0.03962612261335163,0.05714801263031344,0.0007976127091228828,0.43478260869565216,-0.03787636109657027
2007-09-30,650.7545,722.5353,575.8954,632.8644,243077600.0,0.0004879658452140445,0.016517179558909162,-0.005333773943606168,0.02146083007975976,-0.05724146619777404,-0.0027463340374638515,0.019105680725910564,-0.0588739317685798,0.026305306807557827,-0.027876277761986954,0.42105263157894735,0.013392523747551763
2007-10-31,604.5666,715.3112,587.1738,618.8757,308318000.0,-0.00018202159700191344,0.01451113990615712,0.00025265460219599706,0.019774749182188692,0.004852071196371099,5.5074511651492294e-05,0.01717921916034343,-0.02630388966115138,0.050624003085228075,0.0233926070821351,0.43478260869565216,-0.010042829507738575
2007-11-30,666.7406,824.3127,621.3274,666.7121,500364000.0,0.005167915559454765,0.032566804354779884,-0.0016371301846638466,0.03419928366310586,-0.0645196720663952,0.0014251404001895285,0.032775080234575704,-0.06573475633508608,0.051205732137668214,-4.274617315536691e-05,0.5238095238095238,-0.006201022888571599
2007-12-31,681.2415,746.9631,608.5037,683.8345,251072000.0,0.000736639073076775,0.02875674800954138,0.0004960115660463948,0.01944526803569027,-0.0016696359972270258,0.000609993016744996,0.023592542089275127,-0.034151973239831435,0.054294705856912095,0.0037990604460116646,0.45,0.07955135456068878
2008-01-31,709.7337,931.403,662.261,776.2241,606312400.0,0.010347870273724722,0.025226664775461198,0.0014903427619777012,0.033006620842638265,-0.07673706208176778,0.005476230142263861,0.02935607468603613,-0.0520697971441102,0.053202299594955704,0.08955143789527199,0.5714285714285714,0.10466969328536804
2008-02-29,725.5531,870.2486,705.7305,813.71,464337200.0,0.006392712485799399,0.023020811599070344,0.0029434645320658426,0.02155428978862041,-0.028099767051536162,0.004577318825939632,0.021701644195088583,-0.01800681450132746,0.05228375726858303,0.11466977661995119,0.5,-0.00269112319033445
2008-03-31,810.9207,971.0395,729.3225,816.8694,635337200.0,0.006124532186450359,0.03513942512126091,-0.005031448899061442,0.039512876047067574,-0.10543527866866764,0.00025296319407572704,0.03690766854824711,-0.08625386918923716,0.04832001174600009,0.007308960144248813,0.55,0.00568156755057542
