,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,15.2381,16.9432,13.9543,14.8859,13930600.0,0.0,0.01829232686432907,-0.003152732874399514,0.01693282929599862,-0.03468006161839465,-0.0017340030809197327,0.017157601496626353,-0.03062446341354441,0.02823900691324077,-0.023384414376494304,0.42857142857142855,0.06865231371801578
1999-12-31,13.598,16.4764,12.2402,14.7107,17236300.0,-0.002492968329733669,0.03244801719240007,0.00530319278413433,0.024652169059309607,0.08326480392281432,0.0015907351108638544,0.028170490651028775,-0.05129254305553266,0.0511352495886368,0.07865239705259892,0.45454545454545453,-0.11227162248676321
2000-01-31,13.6799,14.049,11.2016,12.35,15059200.0,-0.007123627375597636,0.016875340451386358,-0.006849828226128984,0.018124117219967418,-0.004385635880911121,-0.006979522560087819,0.01705371359006096,-0.041662450954379704,0.014078567897006344,-0.10227153915218001,0.4,-0.018581166967905634
2000-02-29,13.6113,17.1,11.2334,13.495,16517400.0,0.0029730300358990925,0.04981757989269489,0.0016986736433675098,0.025865340171392734,-0.009770533889416733,0.002302316145092996,0.03792035885859692,-0.05232303590582266,0.11485934493342898,-0.008581083633322441,0.5,0.1355116678281378
2000-03-31,13.4973,19.9573,12.4237,15.6114,16404100.0,0.00625048411703899,0.03817532113993728,0.0058492096580662345,0.038749091342216394,0.007685674726404912,0.006031607139417487,0.03756485659620702,-0.05064654901968302,0.1035145449745225,0.14551175116272097,0.5217391304347826,0.08768995799580379
2000-04-30,15.9178,22.1943,14.9482,17.5513,14312100.0,0.020665816105264467,0.03741155200661505,-0.005360441042252306,0.030832197763698006,-0.2189309392646388,0.006206784356644037,0.03544963715272143,-0.04004723014991818,0.06578076106163477,0.09769004133038696,0.47368421052631576,-0.09883207502281119
2000-05-31,18.2622,20.7593,15.0726,16.7099,11601600.0,0.0021771262075787946,0.027225207409108807,-0.008469040149436906,0.02877772319554092,-0.11493070371959391,-0.0033994371222865723,0.027880253763653655,-0.04340663197422945,0.051696834640713174,-0.08883199168822793,0.36363636363636365,-0.15557441073622422
2000-06-30,17.3841,18.8265,14.0827,15.029,13363200.0,-0.003692655436281278,0.01929169326177287,-0.007963491158181724,0.012100440557160037,-0.05067184837718619,-0.005929759862038655,0.015667282042336014,-0.026450059965950956,0.0384137392276398,-0.1455743274016409,0.2727272727272727,-0.14272489038172556
2000-07-31,16.8544,17.8486,13.603,14.7595,10223200.0,-0.0015451875169274982,0.019435275912519655,-0.006149984623071081,0.025692562981799155,-0.047593158578363326,-0.0039687649412135945,0.02243911573856687,-0.04938091125407196,0.030622618158075987,-0.13272480704714235,0.4,0.0818180066547959
2000-08-31,14.9794,17.8242,14.2175,16.4199,12623300.0,0.012817287790084642,0.020588671502803906,-0.0027922358915067522,0.010960797065904965,-0.16167970859892744,0.004303002145580245,0.017546685723914112,-0.01920941240866192,0.05864923243347997,0.09181808998937917,0.43478260869565216,-0.08825305583268171
2000-09-30,16.4914,18.0219,13.3354,15.2501,12835000.0,-0.007783427100748024,0.029892219117488357,-0.0005597383327701877,0.02269104306371152,0.06445346057903034,-0.003981485643917584,0.02585159075720092,-0.07070148048205072,0.03054969894138626,-0.07825297249809847,0.35,0.08798164734504067
2000-10-31,14.1166,16.9028,12.9348,15.5698,12407600.0,-0.003392024422529882,0.027502341200769005,0.007951643285215743,0.02267548078578859,0.121388320362672,0.0025498967577178263,0.02512291287502484,-0.04203146087317,0.04876748332296188,0.0979817306796239,0.5454545454545454,0.07817578511880197
2000-11-30,14.4185,17.4819,13.8367,15.7476,10138600.0,0.009620130691094304,0.021684814717695622,-0.0030734727055276327,0.011900850151573519,-0.12038937598065269,0.002638648822952239,0.01773449406579183,-0.0306001629764574,0.05561381540193411,0.08817586845338539,0.42857142857142855,0.14897530804553188
2000-12-31,16.2046,19.6436,15.5539,18.9968,12894500.0,0.003983274693869227,0.014784167332301262,0.0134458293891643,0.022374389317049992,0.09860882164681994,0.00896356663876137,0.01926169063454693,-0.024378436314051566,0.050315651210703916,0.1589753913801151,0.65,0.11269980031328065
2001-01-31,17.1481,20.9656,16.1267,19.3867,14433600.0,0.008322990957538016,0.024647367887952912,-0.00010123142500540926,0.032972541410985996,-0.07602046429290166,0.0036896686471391328,0.029094325779798407,-0.05429244534358579,0.0534766529217241,0.12269988364786391,0.5714285714285714,-0.052784343032459644
2001-02-28,19.0273,20.2819,16.612,18.2304,11828300.0,0.0007028706990655498,0.016835228311531728,-0.005776557886262213,0.019423221251902326,-0.06338854445514652,-0.0028968118483387625,0.018094391702271603,-0.030348858174159332,0.03737195187448972,-0.04278425969787641,0.2631578947368421,-0.0017309995266810239
2001-03-31,18.354,20.3266,16.7883,18.5064,12358100.0,-0.0012369818810050947,0.01661485012371121,0.002092972179384473,0.01213580592434659,0.03539251278328015,0.000507279769675155,0.014169227515456127,-0.0333317405042477,0.021626564500809575,0.008269083807902172,0.5,-0.20242595142519448
2001-04-30,18.4713,18.943,10.1353,15.238,28565100.0,-0.02271152361907511,0.08626521879400224,0.00038201237203154824,0.02353629854907176,0.20822383629199148,-0.010557030992176869,0.061030653431757925,-0.23303790336627994,0.07993110838786466,-0.19242586809061127,0.35,-0.03704652844340995
2001-05-31,16.0321,17.0644,14.8519,15.6043,12561900.0,0.0007866658400374593,0.009975949037410529,-0.0009083651722072504,0.01139974339097578,-0.017858675294654347,-0.00010120754732881718,0.010512533604796214,-0.024754905236806124,0.01809854745682893,-0.027046445108826717,0.45454545454545453,0.012691065299369092
2001-06-30,15.8689,18.0014,15.1407,16.2331,14130700.0,0.00240225411705418,0.009691858103553903,0.0009468727058325415,0.025507976183177922,-0.011204687289329662,0.0016017943408822787,0.019558966400038888,-0.059778077565443066,0.03146926344860512,0.022691148633952316,0.5238095238095238,-0.004908788614603615
