,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,9.3441,10.9898,9.1983,9.7631,1985600.0,0.0074798782621919736,0.02228503619163737,0.00031620909681776254,0.009885774962026035,-0.06384060429473237,0.0035398602212361576,0.016550231421912004,-0.018816396514120814,0.047084820228487256,0.04386484486093073,0.47619047619047616,0.08804894557183532
1999-12-31,9.6955,11.1737,9.6042,10.6943,2741400.0,0.00216365347931462,0.007071134247230799,0.00663115287040669,0.011901995960052768,0.05130614678132739,0.004503772207981894,0.009927558421299791,-0.011426570645081124,0.020670988630608456,0.09804902890641862,0.5909090909090909,-0.004007015084413111
2000-01-31,10.6304,11.8972,10.1417,10.6943,1248500.0,0.004147708121559883,0.018766700207406357,-0.0028547953815373896,0.0083209442448528,-0.06587732690941284,0.0004621799620350025,0.01428465887696268,-0.02733118327295525,0.034386487228904805,0.005993068250170181,0.45,0.0545624098620925
2000-02-29,10.6894,11.8502,10.2105,11.4023,1497400.0,-0.0009730173859397143,0.014764061329111271,0.007010667546794247,0.010389271605615001,0.0788638319413999,0.003228922052341318,0.012946847280602072,-0.031419396572420766,0.022931416290520534,0.06456249319667592,0.55,0.00713203188059489
2000-03-31,11.6495,13.1554,9.9748,11.8508,2309100.0,-0.009526766517690044,0.012315197050031045,0.010260591559709412,0.023008469239249773,0.2183947638934134,0.001266337888164205,0.02107123196383924,-0.035665783592797595,0.05965685163095635,0.017132115215178104,0.34782608695652173,0.047021134421432936
2000-04-30,12.1084,13.2381,11.2925,12.8189,985700.0,0.0016124145345522423,0.012013384943305854,0.006016446980216994,0.016205860207772056,0.047265153525752,0.004059099226588215,0.01426662353471388,-0.022886282792874635,0.03053061930385903,0.0570212177560162,0.5789473684210527,-0.08208066823460251
2000-05-31,13.0047,13.3856,10.979,12.1003,1618400.0,-0.0002324362138693914,0.014138814982275786,-0.0054563796438887365,0.013795785761112659,-0.057695813944082186,-0.002968787534355715,0.013866032768281664,-0.041024396050336254,0.022256064239952966,-0.07208058490001926,0.3181818181818182,0.10136696135087139
2000-06-30,12.0954,14.4784,12.0309,13.5203,1781400.0,0.005248011199610136,0.01090272913868251,0.005091426636570292,0.013208633579794663,0.0035255810061718407,0.005165990714208313,0.011863039167757038,-0.01705745124754321,0.029555844771289586,0.11136704468545469,0.5909090909090909,0.06650026819699327
2000-07-31,13.9115,16.0284,13.2224,15.0175,1250800.0,0.0025051525552375825,0.005939797715357858,0.00654201037797475,0.017383344675520947,0.042873730782609254,0.004629814567204513,0.013078965832247502,-0.020532012823389234,0.027841392750096894,0.07650035153157647,0.6,-0.11439484339809892
2000-08-31,15.0529,15.147,12.7165,13.5607,1416400.0,-0.0034267858145086818,0.012913764880543695,-0.005647702166529618,0.01294433690657662,-0.03350456785326861,-0.0046381947337928294,0.012669623827896527,-0.02771604103422609,0.014876799214443626,-0.10439476006351564,0.391304347826087,0.013253668708646417
