,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2001-06-30,3.5548,3.7521,3.2766,3.5119,14786600.0,0.0013378942284583695,0.013461748641763168,-0.0037628921824481854,0.027922189859772472,-0.024166037826074405,-0.00149587599982305,0.021564057487028495,-0.043967243459381855,0.03450166238513974,-0.012141601318799641,0.3,-0.038031209974520135
2001-07-31,3.4549,4.012,2.8887,3.3594,4040100.0,-0.0053743422833810355,0.018125442811976998,0.002482622701927632,0.02544512442166981,0.07567793027163328,-0.0010530115414612684,0.022252581026345516,-0.046235993619092586,0.04313353912287665,-0.028031126639936822,0.42857142857142855,-0.04564185985532422
2001-08-31,3.4072,3.6409,2.9987,3.2879,2216700.0,-0.0025326028930438447,0.020018022179216343,-0.0014372937827855647,0.010387196866527042,0.008078503537011672,-0.001935161560175692,0.015118369752185286,-0.034838779780793416,0.023414085036945975,-0.035641776520740964,0.43478260869565216,-0.06128850489084826
2001-09-30,3.2403,3.4584,2.7516,3.0783,1450100.0,0.0048311091867153655,0.01514438309680144,-0.010034384584569622,0.023760829803881466,-0.10926173179684917,-0.003663458682590342,0.021224906636022087,-0.04991280722107705,0.02613452835387764,-0.05128842155626498,0.4,0.085251461642798
2001-10-31,2.9459,3.2943,2.7617,3.2403,1987200.0,0.002197528593766429,0.022717238635410975,0.004534324913455549,0.02737101313882641,0.032436613023802296,0.0034721447681423127,0.024799517590854126,-0.039870168191509237,0.0660260052237509,0.09525154497738116,0.6086956521739131,-0.03341462461244369
2001-11-30,3.1414,3.5193,2.8662,3.0687,1932100.0,0.0024502470210392424,0.021139477207057653,-0.00587602523874872,0.019386096944555987,-0.0866885008155891,-0.0021292027218441367,0.02010026869206672,-0.04007640662276657,0.03489861229144031,-0.02341454127786049,0.38095238095238093,-0.002377874595274657
2001-12-31,3.0975,3.5984,2.873,3.1212,1183800.0,-0.0005102331950392644,0.024410889532885637,0.000459209875535338,0.016555495236355168,0.00918419751070676,0.0,0.02005318456740661,-0.03767465943823556,0.03744837484993191,0.007622208739308569,0.45,-0.09894265492699894
2002-01-31,3.3125,3.4326,2.8439,3.0306,718100.0,-0.005828145516785381,0.019949097313258227,-0.0019791040469507456,0.017019697074159085,0.030683165134610224,-0.003711172708376331,0.017996735959967376,-0.03722595623646896,0.030304867611858466,-0.08894257159241571,0.38095238095238093,0.09780293901846587
2002-02-28,3.0546,3.5784,2.9012,3.4023,1428200.0,0.0054979268258282255,0.030807053300972914,0.005765128153570465,0.015999342442782567,0.013667866929078842,0.005646372007907247,0.02294193396257515,-0.0339432806154758,0.04089724306753939,0.10780302235304903,0.5263157894736842,0.03506221446061306
2002-03-31,3.5667,3.7644,3.3875,3.7311,2186000.0,0.0030071519478530716,0.008622167445439241,0.004438963317721511,0.011792970784828365,0.01732526564653747,0.003760736879362777,0.010154671979771868,-0.012092659303930331,0.023029057102541106,0.0450622977951964,0.4,0.05529333884993739
2002-04-30,3.7408,4.2572,3.5787,3.9932,2601500.0,0.0018815601857209209,0.021902019877162185,0.0036535296927661816,0.012485328286932051,0.02137322476321879,0.0028097346894112953,0.017164742156232184,-0.02765760714820864,0.046987202976456865,0.0652934221845207,0.4090909090909091,0.030660583759360614
2002-05-31,4.017,4.5026,3.8399,4.1837,1802200.0,0.0024047288065186744,0.024169302027410747,0.0012955656502217992,0.012659064919663723,-0.009796065912746954,0.0018237385817917399,0.01852884213914455,-0.03059843989138944,0.04293102118171599,0.040660667093943954,0.36363636363636365,-0.012456043712916235
2002-06-30,4.3621,4.523,3.9516,4.3514,812500.0,-0.004154834359650768,0.018705878137107897,0.004878786606111985,0.012812680063074932,0.08618137529797676,0.0005997029907506805,0.01609575192964299,-0.029318409345613583,0.03343886673209995,-0.002455960378332971,0.45,-0.05354642557045823
2002-07-31,4.2101,4.8525,3.353,4.0307,1269200.0,-0.0036230610231490655,0.02275975631873665,-0.002524518926855114,0.03643958541773235,0.008460902036084406,-0.0030476342108046147,0.02995564531864031,-0.07126771478002758,0.046724617284066294,-0.04354634223587491,0.4090909090909091,0.07077449995277307
2002-08-31,3.8454,4.4926,3.7274,4.1689,600800.0,0.006430830667988041,0.02340910155625651,-0.0006431915089114055,0.019543879630907337,-0.07138341327790587,0.002725390480088331,0.021229260811387065,-0.038087365780335336,0.03808191450525156,0.08077458328735622,0.5,-0.10546562632494269
2002-09-30,4.1197,4.5637,3.6214,3.7446,510000.0,-0.0029505307543064387,0.01817929380978268,-0.007484018736617193,0.02150583663195141,-0.04828541057741398,-0.005336577060785783,0.01958422959770582,-0.050955417378191425,0.03328699884974573,-0.0954655429903594,0.35,-0.051993388918159154
2002-10-31,3.7302,3.998,3.2596,3.5768,644100.0,0.0022480684152146324,0.018926689682646058,-0.004476657814602029,0.026132025080112267,-0.07620057792737067,-0.0014199640737762738,0.022868518042494453,-0.0716436670724534,0.02656988827417628,-0.04199330558357591,0.5217391304347826,-0.004479674523257601
2002-11-30,3.5768,3.8062,3.2314,3.5966,469600.0,0.003172543998715015,0.012184439762093236,-0.0023032487177109704,0.01995347545867432,-0.05158538316554484,0.0002905478321750225,0.01652100707685935,-0.027269787276004376,0.03433614576476618,0.005520408811325638,0.4,0.10658578190966735
2002-12-31,3.6311,4.302,3.4379,4.0801,446500.0,0.005166662153009883,0.012135809481121652,0.00649420641208829,0.015084588796627265,0.02493631115588224,0.005896811495503007,0.013499307810404782,-0.019551376685133626,0.030189432553551887,0.11658586524425074,0.6190476190476191,-0.09054361617328562
2003-01-31,4.1442,4.3326,3.6415,3.8235,788100.0,-0.0035027544803828046,0.01596596022492196,-0.004238818521953069,0.013634503137426932,-0.015102213418038524,-0.00390758970324645,0.014328796377865263,-0.030387887189612606,0.0171436314307456,-0.08054353283870225,0.47619047619047616,-0.002187955982017856
2003-02-28,3.7742,3.8681,3.5304,3.8038,560900.0,-0.0003241514345966867,0.012626252707804528,0.0007812127352565312,0.011952158293052528,0.010405338829338806,0.00028993977087732326,0.01189926579092783,-0.021099013800864874,0.020013108117092893,0.007812127352565327,0.42105263157894735,-0.03966857845800448
2003-03-31,3.8929,4.1213,3.4807,3.7791,534600.0,-0.0024400527522976884,0.010320188710874098,0.0001179496664883403,0.024784962456425922,0.023257921102050938,-0.0010331514219653725,0.019231804405234438,-0.05601161231646423,0.027397524939006823,-0.02966849512342124,0.47619047619047616,-0.018959773590458525
2003-04-30,3.9127,4.239,3.6498,3.8778,454500.0,-0.002865479992276586,0.008872314672513242,0.0024617766183554087,0.017091687576684556,0.05286886273239877,6.451114357101107e-05,0.013938739872068244,-0.018903188802812165,0.02629993691751209,-0.008959690255875317,0.3333333333333333,0.09893203730520815
2003-05-31,4.0274,4.7121,4.0212,4.4909,437300.0,0.007365554317163224,0.015357247880328485,0.005714364931510543,0.012194174071467504,-0.00343197460785305,0.006457400155054249,0.013351986099320342,-0.017445841074466006,0.03917699216203596,0.10893212063979141,0.5714285714285714,-0.043356189654217954
2003-06-30,4.5632,4.8962,4.3054,4.4135,762300.0,0.002862133012832915,0.019690394291601295,-0.005166690904011158,0.0131217319653497,-0.08259279705961897,-0.0015537201414313252,0.016451809184368647,-0.022439138606343834,0.0340648419984082,-0.03335610631963462,0.3333333333333333,0.004199311959295514
2003-07-31,4.5802,4.8317,4.0762,4.6457,643600.0,-0.00011349854894304734,0.02115375505377872,0.0030808121351689854,0.014713135326481181,0.035023918976289314,0.001559711809401351,0.01767136557325886,-0.03251977719281873,0.04106882035062509,0.014199395293878762,0.5,-0.006672293241908748
2003-08-31,4.62,4.8975,4.3573,4.6354,537700.0,-0.0009944026259409958,0.017224169722487307,0.0008136021484971783,0.008446691424852496,0.017899247266937923,0.0,0.012779554196074891,-0.02756100972923914,0.021128684075875093,0.0033277900926745245,0.42857142857142855,-0.023286752308047637
2003-09-30,4.6974,5.15,4.463,4.6354,817100.0,-0.00024417168688353443,0.019754814901973772,-0.00090741047822312,0.014627773343315682,-0.007783970078502511,-0.0006089530221203065,0.016644766300095495,-0.028665539495987158,0.03235324290222796,-0.01328666897346438,0.42857142857142855,-0.015569639940116895
2003-10-31,4.8793,5.324,4.6563,4.8522,881200.0,0.0032785791060768064,0.013710255514050931,-0.0018412075679224982,0.008153278653665542,-0.054880281875838044,0.00048596819298627673,0.011053874904686537,-0.016686244575646825,0.023142202065003392,-0.005569556605533629,0.391304347826087,0.011760178435385755
2003-11-30,5.0912,5.4089,4.7816,5.2032,884300.0,0.0034360156905234307,0.012170318272202357,0.0011967855154726426,0.007346539826435443,-0.01552027036946102,0.002191998926606326,0.009532749969656602,-0.020889913662939907,0.017224893243993122,0.02176026176996896,0.5263157894736842,0.10028711506560753
2003-12-31,5.2239,5.8908,5.121,5.833,2644600.0,0.0033043586914510924,0.012082062107788389,0.007022146498698165,0.015458257669597169,0.044200024571168894,0.005251771352390035,0.013740021825400925,-0.016813562881840438,0.034439534497660906,0.11028719840019077,0.5909090909090909,-0.047655879715830345
2004-01-31,5.8692,6.2545,5.4391,5.6523,3290600.0,-0.005592272366704688,0.02530423525762854,0.0009170952040673086,0.021497466499128124,0.05950140334101528,-0.0021662894347194268,0.02295213982819814,-0.047411272120077896,0.03781297597986777,-0.037655796381247164,0.45,0.08452546231569825
2004-02-29,5.6215,6.3416,5.3009,6.1788,3223200.0,0.003933613225196614,0.005594738866748278,0.005759263008645843,0.018657316946714526,0.02612372428488552,0.00494786310489063,0.014072878217142678,-0.0332928351916959,0.03505709316239791,0.09452554565028157,0.5789473684210527,-0.04483477146234328
2004-03-31,6.5956,6.7907,5.8989,6.3698,3052800.0,-0.0023531237192779162,0.01885024151148239,0.0010876876122573227,0.01343699775513531,0.03658348853986704,-0.00047631753844051323,0.015809345940657044,-0.030468764106844404,0.023931128682460168,-0.03483468812776008,0.391304347826087,-0.0005614604049700437
2004-04-30,6.4429,7.1664,6.3499,6.504,3100400.0,0.008158314320334339,0.00918303329062312,-0.004779593504946894,0.01465121895405041,-0.12600035743742488,0.0010424650164296612,0.01385979568707424,-0.03002520880164683,0.022330534809587244,0.009438622929613153,0.47619047619047616,-0.00599932313880971
2004-05-31,6.6105,7.1131,6.0895,6.637,2862900.0,0.0,0.033850011171118036,0.0006424085879985552,0.01825284880867788,0.006424085879985553,0.00033810978315713437,0.025998973589383287,-0.06551819302586881,0.04345811081919071,0.004000760195773562,0.5,-0.059486058440544276
2004-06-30,7.1021,7.2459,6.4362,6.7592,1968600.0,-0.00283392381677092,0.015494034476247205,-0.0003570594207230907,0.020131820876864805,0.021577660722984282,-0.0014716483989446138,0.01777607868710233,-0.023164926898121774,0.03510265022307402,-0.049485975105961026,0.38095238095238093,-0.03219890016598674
2004-07-31,6.7914,6.8619,6.2218,6.6423,1942900.0,-0.0018527802001502528,0.009373580124856468,7.256680810010316e-05,0.014893502538236464,0.01747325669045341,-0.000793839345612557,0.012438111362127835,-0.022897535118392653,0.02184074457943086,-0.02219881683140342,0.42857142857142855,0.007276369770052058
2004-08-31,6.6852,7.1299,6.4532,6.8017,1929400.0,0.004386331949685962,0.012978206262007623,-0.001759162974852649,0.01124829926942635,-0.06321411222023876,0.0011672631796895466,0.01220445535949113,-0.017710607847097215,0.022172139320663975,0.01727645310463543,0.4090909090909091,0.09041747130865899
2004-09-30,6.9401,7.925,6.7783,7.6732,3152800.0,0.0009368127693989673,0.01526901684523859,0.008923444941615647,0.015587106256685345,0.08972657943318141,0.005329460464118141,0.015577419505459196,-0.023521303166158525,0.03430430014841157,0.1004175546432423,0.47619047619047616,-0.03379949508877624
2004-10-31,7.9342,8.3826,7.4716,7.7476,2649200.0,-0.0004516056244644338,0.01813651898039681,-0.0009919448265848128,0.013455907308244476,-0.006846942472253037,-0.0007487921856306423,0.015292802253683534,-0.03137960951641405,0.028382603273083618,-0.02379941175419297,0.47619047619047616,0.07665661160425967
2004-11-30,7.6843,8.4489,7.3388,8.3799,2831300.0,0.00030382915081049607,0.014234440132223006,0.006945701619043529,0.008914173402147492,0.07366825545218436,0.003956859008338665,0.011774070054652459,-0.0201043919499444,0.026939407006802085,0.08665669493884277,0.5238095238095238,0.036661020678868325
2004-12-31,8.0537,8.7682,7.4827,8.4384,8421500.0,-0.0032877063295321473,0.02277289519115859,0.005425789415473104,0.015345764018130821,0.09256074686552562,0.0012765057273753655,0.019261451080929345,-0.04701515556262015,0.039379374603670136,0.046661104013451526,0.5454545454545454,0.0035793187426483635
2005-01-31,8.031,8.4654,7.4732,8.1408,9211700.0,0.0005778092618817294,0.0187179216862568,-0.0006501519714907644,0.015817047006807076,-0.011701803071843209,-6.848612410379367e-05,0.016769082253554078,-0.04192722103411839,0.023078272109126274,0.013579402077231469,0.5,0.125530399128085
2005-02-28,8.4454,9.9744,8.119,9.6712,10654600.0,0.005691503282525157,0.02077549989867133,0.010414114193407764,0.00867925317069287,0.05860911567387639,0.008315176010793271,0.014947829620759863,-0.021241005703543703,0.032027127868636374,0.13553048246266827,0.7894736842105263,-0.037709105558890794
2005-03-31,9.3638,10.0454,8.5304,9.1079,10314200.0,0.00011312397795744111,0.012913339361006894,-0.0034866325357883325,0.0204638719300026,-0.03948419767324607,-0.001772462767337964,0.016965208628888638,-0.03305716360516486,0.03288688011037033,-0.027709022224307506,0.4090909090909091,-0.02035100130192511
2005-04-30,9.3906,9.758,8.4949,9.2939,8594900.0,-0.0030924276383287935,0.011913855580309681,0.0025301680677235583,0.018098773677880146,0.055663697489918285,0.0,0.01550494481054688,-0.02149233342853618,0.026851084722846252,-0.010350917967341904,0.38095238095238093,-0.0031565301478964037
2005-05-31,9.6694,10.2068,8.619,9.7358,7454900.0,-0.0051425647852447005,0.01839848505029473,0.006578200648585538,0.01777246799862161,0.11864329020164321,0.0013038562033619305,0.018562346011332564,-0.04006465739437859,0.023949595161528947,0.00684355318668697,0.5714285714285714,0.10019033302011011
2005-06-30,10.0463,11.3936,9.954,11.2166,7664100.0,0.006662390980246835,0.011505237222196232,0.00487459659655378,0.012544525259506393,-0.013003347240376772,0.005725927255455235,0.011793488749289103,-0.019490899720028043,0.020656201245551564,0.11019041635469334,0.6363636363636364,0.039068135777711975
2005-07-31,11.4213,12.7839,11.1537,11.9957,8791100.0,0.0037382144059386275,0.020977024869723204,0.0011579240022979499,0.014100224820510052,-0.02206468963046815,0.002380166825075113,0.01722589951408044,-0.023592720197551653,0.04063846668288518,0.04906821911229515,0.5,0.09504163284705507
2005-08-31,12.1726,14.2646,11.8589,13.5208,8497300.0,0.007517127139607904,0.01462005689456376,0.0024892037321299445,0.018287804475347877,-0.04530082661051971,0.004774623462801744,0.01653349741834913,-0.029047156032357524,0.03408570382770826,0.10504171618163835,0.5652173913043478,-0.04949620275260302
2005-09-30,14.1919,14.6792,13.2779,13.6423,8268500.0,-0.0007924168949690428,0.014679608536807274,-0.0017143140706490166,0.019788174414729583,-0.011725702722417797,-0.0012994603415930283,0.017234989958193114,-0.035025851914844974,0.028719226521539465,-0.039496119418019816,0.38095238095238093,-0.10738970443730368
2005-10-31,13.5273,13.5273,10.6992,12.272,15672500.0,-0.012716432343982516,0.02275167278558202,0.0007811705290534654,0.03219803529026979,0.12304076691543075,-0.0052927507638127255,0.028479042002568518,-0.07539112712976248,0.03622612496034705,-0.09738962110272041,0.5238095238095238,-0.03573343377063132
2005-11-30,12.3991,13.6284,11.4683,12.0841,11013500.0,-0.001397528831730277,0.02753379234125747,-0.0010337830160575899,0.018048623904912634,0.0012061463089390045,-0.0011974686331102991,0.02215146538301452,-0.04246319661558706,0.036616234501038125,-0.025733350436048047,0.47619047619047616,-0.013855047238112329
2005-12-31,12.7354,13.4717,12.0603,12.6864,7500000.0,0.007278502327002063,0.008955608213762288,-0.004518555580153905,0.01579556798995445,-0.11521063232471151,0.0007901204780662807,0.014189539098335612,-0.028583046718307692,0.021750729921034218,-0.0038549639035290427,0.6190476190476191,0.10371037418456318
