,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,14.0961,14.979,5.4301,7.2842,46213500.0,-0.08151718698923621,0.23055296258172922,0.004493583894856646,0.035021263410384286,0.783084105746549,-0.03421126300298514,0.15796761964257253,-0.6782487759824418,0.09163226422972337,-0.6601905444504043,0.38095238095238093,0.18110958386710882
1999-12-31,7.109,9.1741,6.0118,8.6061,7541400.0,0.0,0.029848097583433222,0.0166729790864157,0.026043001596433687,0.1834027699505727,0.008733465235741558,0.028510251242267595,-0.04153859206780042,0.04891580020201136,0.19110966720169195,0.5909090909090909,-0.08751803246109938
2000-01-31,9.929,12.4341,7.5966,9.1884,5091200.0,-0.0006691172889888976,0.04081462072123565,0.0,0.038152675878225635,0.006022055600900078,-0.00031695029478421465,0.03831842244504659,-0.07981053225713852,0.08434480743780037,-0.07751794912651609,0.35,-0.2836329108848406
2000-02-29,9.0234,9.4351,5.0802,6.8633,3300300.0,-0.016716799081375713,0.02271144948021064,-0.013525466034393242,0.056198306792195396,0.015196531388449008,-0.015037150109279675,0.04255647851853434,-0.1209662851740716,0.0976711640751815,-0.2736328275502573,0.25,0.04693928283613236
2000-03-31,6.9754,8.1507,6.1843,7.3841,2212700.0,-0.0017627832108938258,0.02283580060818275,0.00688926405376324,0.021276699632585796,0.10029900075409715,0.002956515297100938,0.021910268805842875,-0.04187032949522096,0.05067823663660587,0.056939366170715766,0.391304347826087,0.047415502378448875
2000-04-30,7.7975,9.7906,6.2373,8.2583,2234100.0,0.013444655631883962,0.024210719844430812,-0.002666856574078702,0.03837396979059911,-0.1342258107958587,0.0044938155174602595,0.032997200650575854,-0.09301134446111892,0.0575539931228386,0.05741558571303213,0.5789473684210527,-0.1392574215266655
2000-05-31,7.7879,8.1887,6.3424,6.8436,1935100.0,-0.007518789578423423,0.014866030258955727,-0.006910466448702241,0.01936226488026418,-0.000827235151490413,-0.007200144129521852,0.016940928409984318,-0.03865265651575234,0.03922124679271044,-0.1292573381920823,0.18181818181818182,-0.33424851586081417
2000-06-30,6.7974,7.3273,3.6889,4.915,8612600.0,0.0016560475114236971,0.015155279664841696,-0.03009292321538423,0.0515829825224163,-0.3475826304834635,-0.014974365726428074,0.04120386414232764,-0.153336513285236,0.036375556408337006,-0.32424843252623087,0.36363636363636365,-0.0638225121799621
2000-07-31,5.8092,6.2791,5.1092,5.5048,2338000.0,0.0024586191208545807,0.019929708603342942,-0.0010157509299293821,0.02079450055452428,-0.03228508138698505,0.000630003304652495,0.01989755310495086,-0.04399225019727049,0.043008492738863424,-0.05382242884537879,0.45,0.221148880050906
2000-08-31,5.3275,7.7113,4.7669,6.7129,5090000.0,0.018810689845516194,0.03185800460854704,0.0027216444594183784,0.018576424274694556,-0.1554471649421414,0.010034846907644657,0.026133594871625015,-0.03360629048747654,0.08839116131635594,0.2311489633854892,0.5217391304347826,-0.2919487503870047
2000-09-30,6.4871,7.0718,4.1134,4.8933,2528200.0,-0.012707064100100189,0.04107419546384104,-0.017619584303176804,0.03394818684830019,-0.06183226613086634,-0.015292601049087882,0.03650216454698863,-0.10974144929444418,0.04878915402811823,-0.2819486670524214,0.2,-0.1222005256480602
2000-10-31,4.5461,5.8697,3.2735,4.0636,5536400.0,0.0,0.05616318439831886,-0.014583978583845565,0.03150441825635699,-0.16042376442230122,-0.007639226877252439,0.0444005160129366,-0.09364453358488745,0.11729318562713842,-0.11220044231347698,0.22727272727272727,-0.10223798966469001
2000-11-30,4.1209,4.8031,3.3228,3.7578,2538600.0,-0.005011194277465646,0.0391295922861563,-0.0030122592691615283,0.0350643587357409,0.011965896536414,-0.003911780022898381,0.035956019475634995,-0.06836630302676983,0.04510074849719081,-0.09223790633010676,0.42857142857142855,-0.2979005641147053
2000-12-31,3.8159,3.9339,2.0729,2.8613,4065500.0,-0.039954581152217554,0.036951762223026714,0.008703361760448858,0.04722942460942373,0.44662484797444657,-0.014345137513972074,0.04842746833650991,-0.10869998710278517,0.06824422836757627,-0.2879004807801219,0.2,0.24425361361288625
2001-01-31,2.9216,4.3425,2.3388,3.7674,2265500.0,0.018406604258729198,0.07042186950508827,0.006239508941779512,0.01714543960299905,-0.09702483996898814,0.011714701834406871,0.04776387522868724,-0.11119101530492292,0.12846199714195095,0.25425369694746935,0.5238095238095238,-0.12234279050180276
2001-02-28,3.3615,3.8809,2.7599,3.0043,1266800.0,-0.00033246096561306837,0.018888881395043494,-0.017170834498715926,0.02972122211452744,-0.1690486572622547,-0.00968711292844799,0.026243010577049142,-0.06679903100950679,0.027035566538577083,-0.11234270716721954,0.3684210526315789,-0.1752955329368685
2001-03-31,3.1505,3.9242,2.1983,2.6705,2198300.0,-0.003820419197817637,0.038386350297789196,-0.00866610914966784,0.05037368927061533,-0.05712300866816988,-0.006358637744024887,0.04402254360610928,-0.07754460469724922,0.11779160173727299,-0.16529544960228523,0.36363636363636365,0.16680774665691595
2001-04-30,2.3976,3.4052,1.924,2.8613,1569700.0,0.00284123936308758,0.050726732615043055,0.00797777117415661,0.017469420852297714,0.054206557473777894,0.00554467715838707,0.03609956436081408,-0.0971875233905859,0.06775663223209083,0.1768078299914992,0.6,0.005499451991718517
