,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2016-04-30,41.56,49.6362,36.979,40.8,46604546.0,0.0029259689865013577,0.03440981801887992,-0.00432642974738003,0.030842541341441394,-0.05941965063192978,-0.001153505301306923,0.031539831036179626,-0.05991496909068239,0.0671514515131193,-0.018456084820910785,0.4117647058823529,-0.14369374474877597
2016-05-31,39.9722,41.9201,33.332,34.97,36574610.0,-0.01650877166551866,0.025069401237161566,0.0006784292001444925,0.014248229949988167,0.15604166619125737,-0.007055811189403927,0.02117613971145132,-0.07047167410471245,0.02130459785977923,-0.13369366141419273,0.2857142857142857,0.05664174710911181
2016-06-30,34.0533,38.9073,29.3285,36.4,30194313.0,0.0030663812886115418,0.018966815690643634,0.004164893511174984,0.036261102316594435,0.015150015736809408,0.00364179245281144,0.028629230910993432,-0.04893942904022186,0.060809004595605565,0.06664183044369514,0.5454545454545454,-0.0571642764693294
2016-07-31,37.4241,41.6946,32.5254,35.7,19557528.0,0.0011700751663910047,0.02146244645839024,-0.004196419909903204,0.021689492769993733,-0.05249487559655108,-0.001654395926395421,0.02115474378810131,-0.04276833185093798,0.03493100975241337,-0.047164193134746145,0.35,-0.0012862107531358344
2016-08-31,35.3407,43.188,32.2926,35.65,16610834.0,0.006910554119581969,0.022942969856682892,-0.005407424234740388,0.01829626219662803,-0.13399463201270434,0.00019165683540613786,0.02098450269417799,-0.04685146650033678,0.04389938826797124,0.008713872581447435,0.43478260869565216,-0.0674076949730048
2016-09-30,35.8607,37.2003,32.2881,33.86,15334548.0,-0.0058795902311782455,0.0213613147226492,0.0,0.015442394538443907,0.05291631208060421,-0.0026458156040302105,0.018073302572431737,-0.031875208530448784,0.024794658613215947,-0.05740761163842156,0.47619047619047616,-0.29754293495870365
2016-10-31,34.4752,35.5677,23.8447,25.86,31618284.0,-0.001412100512783522,0.011152203244754626,-0.023856704966978004,0.04521130958653812,-0.24971485002170635,-0.013756632962590488,0.03548847965412781,-0.14814040895056602,0.02109093476212731,-0.28754285162412035,0.23809523809523808,0.01993939647572171
2016-11-30,25.0196,29.3551,20.8814,25.78,35274050.0,-0.0027784738091934814,0.012922804933793037,0.0032304299672784335,0.0344020575324627,0.0605409939228041,0.0005264232678660718,0.026506936530362256,-0.062035390919452205,0.08531842307240423,0.029939479810304984,0.38095238095238093,0.019292484982062402
2016-12-31,24.4434,30.3474,23.561,25.17,61627792.0,0.0058820850282604985,0.037025337336260206,-0.004920904602227039,0.013195964581440275,-0.10706871587884192,-5.955926850764737e-05,0.02644361165195765,-0.04254452315437396,0.06412223028301955,0.02929256831664563,0.38095238095238093,-0.3134098025049281
2017-01-31,26.0329,28.2697,19.398,19.22,105001200.0,0.0018818343923220225,0.018313966220236448,-0.030980800722490452,0.08399886309736385,-0.32674451675580274,-0.015414289352316124,0.06293782545596573,-0.2665179568361844,0.03117623383944812,-0.3034097191703448,0.3,0.013710926056573364
2017-02-28,18.1251,21.5003,16.75,18.56,119086315.0,-0.0010013404682598925,0.029260077842266034,-0.0004837418731770349,0.02286206017081469,0.0031733050143087915,-0.0007137856932138605,0.02508611046237061,-0.038059561824345334,0.053204036063464244,0.02371100939115657,0.42105263157894735,-0.01607449287098995
2017-03-31,18.4115,19.907,16.0742,18.3,79732152.0,-0.004120330151064344,0.013595196526932687,0.00216821899769389,0.021229809078410156,0.06722192948297012,-0.0006902124335598528,0.01804349465219825,-0.04136978965857718,0.04045495469231364,-0.006074409536406743,0.43478260869565216,0.06023002926287085
2017-04-30,18.0936,21.4912,16.4339,19.41,81270114.0,-0.004085104617069402,0.02122111381158177,0.008883965961689454,0.03223373958117659,0.12152049655344976,0.0031199345933521855,0.027919018083456384,-0.03256225768148768,0.08857208421485119,0.07023011259745417,0.47368421052631576,-0.05534442215356124
2017-05-31,18.6571,21.4491,16.9174,17.83,72129963.0,-0.001964491102741972,0.017923339270265272,-0.004087610383161441,0.013539325971497136,-0.02531880318735613,-0.003076601202009313,0.01540772487574805,-0.037142445294357174,0.03545195308720395,-0.04534433881897793,0.4090909090909091,0.05488770513892975
2017-06-30,18.8934,23.5628,17.7644,20.16,76189300.0,0.010029058902402532,0.022734007518357274,-0.0007633804033715789,0.02037747082724683,-0.10868777346111269,0.004375876408901807,0.021695673927319237,-0.03670136685042813,0.047823650262436956,0.06488778847351317,0.5909090909090909,-0.14867628057060545
2017-07-31,20.8039,21.1739,16.2888,18.11,69819022.0,-0.009608876238370565,0.023311770491165673,-0.0038455862261911554,0.021574256940587445,0.04802402388342353,-0.0065755657056445595,0.021977112899284963,-0.06584656579758619,0.04229556266311807,-0.13867619723602223,0.3,-0.03522881450396929
2017-08-31,15.4858,18.3402,14.2414,15.1,103874726.0,0.002614925521219691,0.018651380369012826,-0.00819299107648482,0.0193931417527214,-0.12446514813001475,-0.0032803017138918603,0.019401829279606597,-0.04010562545722918,0.03428231701861195,-0.02522873116938611,0.43478260869565216,-0.044787394407164234
2017-09-30,15.5517,18.1141,14.2234,15.02,66264184.0,0.0074683608220150865,0.016289715576826114,-0.009155054891293535,0.01535006223116691,-0.15876579631107113,-0.0012808053428841877,0.017563262794558186,-0.02973716209576205,0.03744398778213043,-0.03478731107258099,0.4,-0.27908002183337305
2017-10-31,15.09,17.7378,8.9401,11.53,118315962.0,-0.0006653384490736602,0.016172389950884065,-0.023796694891645973,0.07822802159215987,-0.2551102593173691,-0.012781763252325823,0.05759897690153964,-0.24561255248022285,0.05756519601370691,-0.2690799384987899,0.4090909090909091,0.060086069077181704
2017-11-30,11.1225,13.5758,9.7088,11.93,147514271.0,-0.0037023786494234656,0.0287917445603702,0.00804184234482412,0.03297889438978424,0.12178167363787651,0.0027569428974127063,0.030941820182428303,-0.06062462181643502,0.05657903954795929,0.0700861524117649,0.5238095238095238,0.13150812762516456
2017-12-31,11.5624,15.7228,11.0876,13.32,104013162.0,0.00661899558281472,0.017955705010397054,0.006754604220152638,0.04074664476417597,0.007975081956193897,0.006690368549834677,0.031200024380618974,-0.059740995356183824,0.08981867781064956,0.1415082109597479,0.5,-0.13150123066446204
2018-01-31,14.5101,15.6475,10.1475,12.85,119195143.0,-0.012531645591954335,0.04772741082113349,0.002656040763631573,0.019812067357663662,0.14200125872753633,-0.004178418096382086,0.035011443146413614,-0.12488029752714525,0.03806962493683219,-0.1215011473298788,0.42857142857142855,0.1574086398622958
2018-02-28,12.7301,18.583,11.1356,15.05,103451492.0,0.023199628309553133,0.06062952472528589,-0.001582102874608582,0.029546163192320524,-0.20141805522251088,0.009431999873907736,0.04622059768040026,-0.047038374177816866,0.1484984908666096,0.16740872319687916,0.47368421052631576,0.032725580318798075
2018-03-31,13.7498,17.5943,12.7428,14.35,72101080.0,-0.0028942932547591444,0.030995334467407203,0.0021150055090169077,0.020567971132594454,0.04931369989201828,-0.00013917893468231579,0.025173410316090227,-0.044272823677987905,0.05673364600779385,0.04272566365338143,0.42857142857142855,0.08277260202123297
2018-04-30,13.99,18.1964,12.8687,15.35,60791387.0,0.00274556072156493,0.03713025143730071,0.0061875126237938005,0.02398413247686358,0.043352592367647436,0.004638634267790809,0.0297712979879829,-0.04433047694303216,0.05994550464262627,0.09277268535581625,0.47619047619047616,0.05897957470901108
2018-05-31,17.6589,20.9631,14.1236,18.92,77305385.0,0.005891126266736313,0.02366707608896031,0.009035295571609436,0.02729983595329052,0.04047698862034066,0.007538072093098425,0.025045725794346458,-0.050104405537136465,0.06661604635039042,0.0689796580435942,0.5909090909090909,0.0657432933837538
2018-06-30,19.5423,24.157,18.9877,21.08,83953610.0,0.01300394456089984,0.028866071355669837,-0.0027608245995615166,0.02111579191116725,-0.14740457164327525,0.004333321522646094,0.02550023799736323,-0.03541842720354271,0.05730210645295841,0.07574337671833721,0.42857142857142855,-0.14048053521353987
