,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,20.8033,22.1902,13.1359,17.25,9487500.0,-0.02167339806348714,0.020667925496324548,0.005429021336511131,0.04090372248286605,0.2547798172730067,-0.006767067393488091,0.035380956008867204,-0.062144763989076424,0.07347566103559489,-0.18729948449186687,0.23809523809523808,-0.1615604710448302
1999-12-31,19.9333,21.2023,14.8065,17.13,8400900.0,-0.002312552638539822,0.025386028440083613,-0.006402891326501111,0.03851347701973516,-0.047306278206113994,-0.004455110998900497,0.03218739735880277,-0.049540445560135815,0.06790486870146406,-0.151560387710247,0.2727272727272727,0.10042638778154965
2000-01-31,17.13,25.0014,15.7508,19.13,7358700.0,0.010040271120043453,0.027523618708820675,0.0020064031035741613,0.046257827895807395,-0.07029840904464946,0.005811919532428036,0.037730187322186255,-0.05672406557268461,0.0881072675102672,0.11042647111613292,0.45,-0.2890122428520315
2000-02-29,20.6601,21.6778,14.0208,15.63,5981500.0,-0.025145902897276497,0.017882280592138908,-0.0007648220838257114,0.03653437362995612,0.21866490523723137,-0.012313755100723453,0.031079473821289668,-0.04477122391258481,0.09097177820572666,-0.2790121595174483,0.2,0.10083756226217386
2000-03-31,15.4402,20.7641,12.5167,17.25,7724800.0,-0.01198011998126205,0.02657090039114385,0.018897776613732375,0.0389164079179517,0.346574519177409,0.004862369070553091,0.036654159732370066,-0.048755682005328094,0.09097177820572666,0.11083764559675705,0.43478260869565216,-0.16621846526156153
2000-04-30,15.7826,16.0669,12.0771,13.5,4881500.0,-0.012005381127497161,0.029244440013467068,-0.009732834396056234,0.025480152057922492,-0.0012852949405850467,-0.010742855165585534,0.026404943204710072,-0.05262525995337475,0.05668414302242697,-0.1562183819269782,0.2631578947368421,0.10855533206205979
2000-05-31,14.38,18.0241,12.1957,16.19,8751600.0,0.0013480161556692848,0.018097275340110915,0.011986934228872072,0.03406477381006069,0.11837611496089995,0.0069207827654421735,0.02751778751458099,-0.03193304710300904,0.06870833598922843,0.1185554153966431,0.5,0.05884894060550259
2000-06-30,15.9903,21.3071,14.4813,17.13,7566900.0,0.012454028401141537,0.03698068680498841,-0.005458243654000211,0.02871043559930481,-0.1845809642054177,0.0030714097055910975,0.03334041997244461,-0.07923890012100321,0.05389235023721639,0.06884902394008587,0.5454545454545454,0.02252010384465796
2000-07-31,19.9699,21.9502,16.189,20.63,4835500.0,0.006148634226393026,0.02896875035627749,0.004663543443212603,0.02520933494147032,-0.008702273605411204,0.00536700749840333,0.026292743159369584,-0.04501308731192699,0.041747881544019094,0.03252018717924119,0.5,-0.015800098152396146
2000-08-31,20.8707,23.3771,16.8988,20.75,3968500.0,-0.0009198806089742995,0.02592177856551597,0.0007665671741452496,0.03051336787371293,0.01839761217948599,0.0,0.02786419664756368,-0.061343630241051716,0.06923526634936694,-0.005800014817812828,0.4782608695652174,0.1652170556561809
