,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
1999-11-30,9.4184,10.0886,8.0088,9.0488,30561700.0,-0.011019587345698313,0.01845329997716636,0.004436574595576276,0.02835358014582108,0.14797860666262386,-0.002518698277997289,0.02507459332084558,-0.04950130250161022,0.03952754122983837,-0.040033070546815736,0.47619047619047616,0.10186993013393852
1999-12-31,9.3083,11.3308,8.4486,10.4101,29782000.0,0.0001214498899853922,0.025434381437595386,0.010154376239631325,0.02235481778767934,0.11048363973609066,0.005376792263609452,0.023818913960326524,-0.039308418472023376,0.050973882103432455,0.11187001346852164,0.5454545454545454,-0.17600936434801373
2000-01-31,10.0097,11.1981,7.4601,8.4786,39470700.0,0.0023047818946273996,0.028198161333446065,-0.018675231806507674,0.026026947638979153,-0.20749535511672335,-0.008737330579654218,0.028424052305432195,-0.05474689054084125,0.03887267616420553,-0.1660092810134305,0.4,-0.062298416118097916
2000-02-29,8.6293,9.0854,7.0945,8.1896,46365100.0,-0.007225748311866237,0.02129724943755583,0.0016274132790376594,0.027498134785219702,0.08130586759717273,-0.002566189579811555,0.024500766265129856,-0.03608905140314045,0.04147410145912156,-0.052298332783514624,0.3,0.21060954687608127
2000-03-31,8.1479,11.5016,7.2341,10.1591,45546500.0,0.005867049874226727,0.03170293637672486,0.013282464943591052,0.0322655170802123,0.10071908058082535,0.00991182173024363,0.03146980541716642,-0.04246520302749346,0.07593274395258076,0.22060963021066457,0.6086956521739131,0.015948030368837896
2000-04-30,9.7422,11.8444,8.6963,9.9983,33292200.0,-0.002036911337711167,0.03189057673527334,0.0021288583206931833,0.04668897757461872,0.03758387390862117,0.0002774051391801387,0.039715854819767756,-0.07910234329604426,0.05718360098504549,0.025948113703421073,0.5263157894736842,-0.0581765333339205
2000-05-31,10.0586,11.7633,8.5483,9.5855,31412000.0,0.0032677195777622626,0.03645990632189582,-0.006525959403455159,0.017708412358052025,-0.10446274921562937,-0.0018623027457325772,0.027930466807295527,-0.047980960143992224,0.0608719856175961,-0.04817644999933729,0.4090909090909091,-0.10120215734323669
2000-06-30,10.4019,10.9244,8.2593,9.4952,34773500.0,-0.0033962905228669183,0.031106854344024947,-0.001150215392096668,0.03178593457098398,0.021310535915605833,-0.0022197749781777396,0.03069088567734003,-0.05235020492230147,0.07729684610106524,-0.09120207400865339,0.36363636363636365,0.033571422978528
2000-07-31,9.0132,10.089,8.479,9.4146,27011000.0,0.007282934262984912,0.015500351415676551,-0.0036163912465476235,0.016541114101322474,-0.10171032083234044,0.0015464471527046302,0.016578563495198807,-0.025742351454819623,0.03569313477661673,0.04357150631311132,0.55,0.043522219697058606
2000-08-31,9.5743,10.7389,8.8306,10.1007,28324300.0,0.0013575809839775576,0.01863258341812107,0.0034979005519831796,0.019334573911997083,0.02839899678402258,0.0025250280210715333,0.018595479241732056,-0.025246614303117365,0.03334400141995131,0.053522303031641856,0.5217391304347826,0.11353860978409344
